concept	facet	property	facet_property	cluster_label
violin	accessories	tuner	accessories: tuner	0
stereo	device	headphones	device: headphones	0
cell phone	accessories	bluetooth headset	accessories: bluetooth headset	0
cell phone	accessories	headphones	accessories: headphones	0
stereo	type	headphones	type: headphones	0
stereo	type	earbuds	type: earbuds	0
cell phone	accessories	wireless earbuds	accessories: wireless earbuds	0
cell phone	accessories	charger	accessories: charger	1
violin	accessories	case	accessories: case	1
cell phone	accessories	screen protector	accessories: screen protector	1
cell phone	accessories	cases	accessories: cases	1
cell phone	accessories	case	accessories: case	1
cell phone	accessories	apps	accessories: apps	1
cell phone	accessories	chargers	accessories: chargers	1
screwdriver	accessories	storage	accessories: storage	1
earmuffs	accessories	cases	accessories: cases	1
bathtub	accessories	bath toys	accessories: bath toys	2
bathtub	accessories	bath bombs	accessories: bath bombs	2
bathtub	accessories	towel bars	accessories: towel bars	2
bathtub	accessories	bath salts	accessories: bath salts	2
bathtub	accessories	shower curtain	accessories: shower curtain	2
bathtub	accessories	bathtub mat	accessories: bathtub mat	2
bathtub	accessories	bath pillow	accessories: bath pillow	2
hair dryer	accessories	diffuser	accessories: diffuser	2
rifle	accessories	grip	accessories: grip	3
violin	accessories	shoulder rest	accessories: shoulder rest	3
rifle	accessories	stock extension	accessories: stock extension	3
rifle	accessories	stock	accessories: stock	3
screwdriver	accessories	sockets	accessories: sockets	3
rifle	accessories	scope	accessories: scope	3
rifle	accessories	magazine	accessories: magazine	3
rifle	accessories	red dot sight	accessories: red dot sight	3
rifle	accessories	silencer	accessories: silencer	3
hair dryer	accessories	comb	accessories: comb	4
earmuffs	accessories	headbands	accessories: headbands	4
earmuffs	accessories	strings	accessories: strings	4
shoes	accessories	laces	accessories: laces	4
shoes	accessories	zippers	accessories: zippers	4
earmuffs	accessories	cleaning cloths	accessories: cleaning cloths	4
shoes	accessories	socks	accessories: socks	4
screwdriver	accessories	extensions	accessories: extensions	4
violin	accessories	music stand	accessories: music stand	4
shoes	accessories	buckles	accessories: buckles	4
hair dryer	accessories	brush	accessories: brush	4
shoes	accessories	insoles	accessories: insoles	4
corkscrew	purpose	removing	purpose: removing	5
prune	action	to remove	action: to remove	5
prune	action	remove	action: remove	5
pistol	action	automatic	action: automatic	5
cow	uses	hide	uses: hide	5
cow	products	hide	products: hide	5
shotgun	actions	slide-action	actions: slide-action	6
shotgun	actions	break-action	actions: break-action	6
shotgun	categories	break-action	categories: break-action	6
rifle	categories	break-action	categories: break-action	6
shotgun	features	break-action	features: break-action	6
rifle	type	break-action	type: break-action	6
shotgun	type	break-action	type: break-action	6
sailboat	activities	diving	activities: diving	7
sailboat	activities	swimming	activities: swimming	7
sailboat	type	sailing	type: sailing	7
canoe	type	sailing	type: sailing	7
sled	activities	racing	activities: racing	7
skateboard	activities	racing	activities: racing	7
sailboat	activities	racing	activities: racing	7
ship	operations	sailing	operations: sailing	7
sailboat	activities	sailing	activities: sailing	7
sailboat	activities	fishing	activities: fishing	7
skateboard	activities	cruising	activities: cruising	7
sailboat	activities	cruising	activities: cruising	7
boat	used for	sailing	used for: sailing	7
yacht	used for	sailing	used for: sailing	7
kite	activities	flying	activities: flying	7
sled	activities	sliding	activities: sliding	7
skateboard	activities	street skating	activities: street skating	8
skateboard	activities	vert skating	activities: vert skating	8
skateboard	activities	skating	activities: skating	8
skateboard	activities	longboarding	activities: longboarding	8
skateboard	activities	park skating	activities: park skating	8
frisbee	activities	juggling	activities: juggling	8
walrus	adaptations	efficient diving	adaptations: efficient diving	9
octopus	adaptations	large eyes	adaptations: large eyes	9
salamander	adaptations	respiratory system	adaptations: respiratory system	9
seal	adaptations	diving ability	adaptations: diving ability	9
walrus	adaptations	large body size	adaptations: large body size	9
crocodile	adaptations	efficient hunter	adaptations: efficient hunter	9
walrus	adaptations	flippers for swimming	adaptations: flippers for swimming	9
walrus	adaptations	tusk use	adaptations: tusk use	9
woodpecker	adaptations	specialized skull structure	adaptations: specialized skull structure	9
salamander	adaptations	swimming	adaptations: swimming	9
deer	adaptations	swift flight	adaptations: swift flight	9
salamander	adaptations	jumping	adaptations: jumping	9
squid	adaptations	jet propulsion	adaptations: jet propulsion	9
octopus	adaptations	jet propulsion	adaptations: jet propulsion	9
walrus	adaptations	strong swimming	adaptations: strong swimming	9
crocodile	adaptations	strong swimming	adaptations: strong swimming	9
salamander	adaptations	climbing	adaptations: climbing	9
salamander	adaptations	burrowing	adaptations: burrowing	9
turtle	adaptations	long neck	adaptations: long neck	9
salamander	adaptations	regenerative abilities	adaptations: regenerative abilities	10
salamander	features	regenerative abilities	features: regenerative abilities	10
octopus	adaptations	arm regeneration	adaptations: arm regeneration	10
salamander	adaptations	regeneration	adaptations: regeneration	10
seagull	adaptations	adaptability to human presence	adaptations: adaptability to human presence	11
woodpecker	characteristics	ability to withstand impact	characteristics: ability to withstand impact	11
woodpecker	adaptations	ability to withstand impact	adaptations: ability to withstand impact	11
woodpecker	unique features	ability to withstand head trauma	unique features: ability to withstand head trauma	11
swan	physical characteristics	waterproof feathers	physical characteristics: waterproof feathers	12
seagull	adaptations	water-resistant feathers	adaptations: water-resistant feathers	12
seagull	adaptations	water-repellent feathers	adaptations: water-repellent feathers	12
otter	adaptations	water-repellent fur	adaptations: water-repellent fur	12
bear	adaptations	insulating fur	adaptations: insulating fur	12
otter	physical characteristics	water-repellent fur	physical characteristics: water-repellent fur	12
seagull	adaptations	salt-excreting glands	adaptations: salt-excreting glands	12
woodpecker	physical characteristics	keen eyesight	physical characteristics: keen eyesight	13
hawk	adaptations	exceptional vision	adaptations: exceptional vision	13
eagle	physical characteristics	keen eyesight	physical characteristics: keen eyesight	13
falcon	physical characteristics	keen eyesight	physical characteristics: keen eyesight	13
hawk	physical characteristics	keen eyesight	physical characteristics: keen eyesight	13
seagull	physical characteristics	keen eyesight	physical characteristics: keen eyesight	13
otter	adaptations	good eyesight	adaptations: good eyesight	13
woodpecker	adaptations	keen sense of hearing	adaptations: keen sense of hearing	13
seagull	adaptations	sharp eyesight	adaptations: sharp eyesight	13
woodpecker	adaptations	keen eyesight	adaptations: keen eyesight	13
seagull	adaptations	keen eyesight	adaptations: keen eyesight	13
bear	adaptations	thick fur	adaptations: thick fur	13
otter	adaptations	strong tail	adaptations: strong tail	14
woodpecker	adaptations	stiff tail	adaptations: stiff tail	14
cheetah	unique features	specialized paws	unique features: specialized paws	14
turtle	adaptations	retractable head	adaptations: retractable head	14
turtle	adaptations	strong neck	adaptations: strong neck	14
woodpecker	adaptations	strong neck	adaptations: strong neck	14
crocodile	adaptations	powerful tail	adaptations: powerful tail	14
bear	adaptations	powerful claws	adaptations: powerful claws	14
octopus	adaptations	suckers	adaptations: suckers	15
missile	technology	stealth	technology: stealth	15
cheetah	hunting	stealth	hunting: stealth	15
deer	adaptations	stealth	adaptations: stealth	15
rattlesnake	defense mechanisms	strike	defense mechanisms: strike	15
hawk	adaptations	silent flight	adaptations: silent flight	15
skis	adjustments	length	adjustments: length	16
skis	adjustments	angle	adjustments: angle	16
skis	adjustments	tuning	adjustments: tuning	16
prune	reasons	to reduce size	reasons: to reduce size	16
skis	adjustments	storage	adjustments: storage	16
tricycle	age range	adults	age range: adults	17
tricycle	age range	seniors	age range: seniors	17
tricycle	users	elderly	users: elderly	17
tricycle	age range	elderly	age range: elderly	17
cannon	components	ammunition	components: ammunition	18
bullet	uses	ammunition	uses: ammunition	18
crossbow	ammunition	quarrels	ammunition: quarrels	18
shotgun	ammunition	cylinders	ammunition: cylinders	18
crossbow	ammunition	bolts	ammunition: bolts	18
shotgun	ammunition	slugs	ammunition: slugs	18
bullet	use	ammunition	use: ammunition	18
crossbow	ammunition	projectiles	ammunition: projectiles	18
shotgun	ammunition	pellets	ammunition: pellets	18
shotgun	ammunition	shells	ammunition: shells	18
crossbow	ammunition	arrows	ammunition: arrows	18
shotgun	ammunition	cartridges	ammunition: cartridges	18
shotgun	ammunition	buckshot	ammunition: buckshot	18
squid	physical characteristics	tentacles	physical characteristics: tentacles	19
octopus	physical characteristics	tentacles	physical characteristics: tentacles	19
octopus	anatomy	suckers	anatomy: suckers	19
squid	biology	tentacles	biology: tentacles	19
octopus	biology	tentacles	biology: tentacles	19
octopus	anatomy	tentacles	anatomy: tentacles	19
octopus	anatomy	shell	anatomy: shell	19
octopus	anatomy	beak	anatomy: beak	19
squid	physical characteristics	statocysts	physical characteristics: statocysts	19
octopus	anatomy	ink sac	anatomy: ink sac	19
clam	features	byssal sac	features: byssal sac	19
octopus	biology	ink	biology: ink	19
octopus	anatomy	head	anatomy: head	20
octopus	anatomy	eyes	anatomy: eyes	20
octopus	anatomy	arms	anatomy: arms	20
octopus	anatomy	skin	anatomy: skin	20
balloon	shapes	animal	shapes: animal	21
bull	animal	large size	animal: large size	21
bull	animal type	large	animal type: large	21
balloon	shape	animal	shape: animal	21
lamb	animal	cute	animal: cute	21
crow	animal	black	animal: black	21
seal	animal	swimmer	animal: swimmer	21
peacock	animal	colorful	animal: colorful	21
pie	shapes	animal	shapes: animal	21
peacock	animal	large	animal: large	21
walrus	animal	large	animal: large	21
bull	animal	large	animal: large	21
turkey	animal	large	animal: large	21
peacock	animal	majestic	animal: majestic	21
dolphin	animal	intelligent	animal: intelligent	21
crow	animal	intelligent	animal: intelligent	21
turkey	animal	wild	animal: wild	21
otter	animal	playful	animal: playful	21
seal	animal	fin-footed	animal: fin-footed	22
turkey	animal	galliform	animal: galliform	22
chicken	animal	feathered	animal: feathered	22
peacock	animal	feathered	animal: feathered	22
lamb	animal	woolly	animal: woolly	22
swan	animal	migratory	animal: migratory	22
lamb	animal	soft wool	animal: soft wool	22
flamingo	animal	large wingspan	animal: large wingspan	22
duck	animal	feathers	animal: feathers	22
chicken	biology	feathered	biology: feathered	22
goat	category	mammal	category: mammal	23
pigeon	category	mammal	category: mammal	23
hare	category	mammal	category: mammal	23
deer	category	mammal	category: mammal	23
cow	category	mammal	category: mammal	23
seal	category	mammal	category: mammal	23
bull	category	mammal	category: mammal	23
cheetah	category	mammal	category: mammal	23
lion	category	mammal	category: mammal	23
bear	category	mammal	category: mammal	23
tiger	category	mammal	category: mammal	23
pig	category	mammal	category: mammal	23
otter	category	mammal	category: mammal	23
bull	animal type	mammal	animal type: mammal	23
whale	category	mammal	category: mammal	23
walrus	animal group	mammal	animal group: mammal	23
otter	animal category	mammal	animal category: mammal	23
lamb	animal	mammal	animal: mammal	23
otter	animal	mammal	animal: mammal	23
seal	animal	mammal	animal: mammal	23
walrus	category	mammal	category: mammal	23
bull	animal	mammal	animal: mammal	23
walrus	animal type	mammal	animal type: mammal	23
walrus	animal	mammal	animal: mammal	23
dolphin	category	mammal	category: mammal	23
lamb	category	mammal	category: mammal	23
otter	category	semi-aquatic	category: semi-aquatic	24
seal	category	semi-aquatic	category: semi-aquatic	24
hare	category	fast-moving animal	category: fast-moving animal	24
otter	animal category	semi-aquatic	animal category: semi-aquatic	24
otter	animal	semi-aquatic	animal: semi-aquatic	24
seal	animal	semi-aquatic	animal: semi-aquatic	24
lion	animal characteristics	big cat	animal characteristics: big cat	25
cheetah	animal characteristics	big cat	animal characteristics: big cat	25
walrus	animal characteristics	large	animal characteristics: large	25
walrus	animal characteristics	fat	animal characteristics: fat	25
cheetah	animal characteristics	solitary	animal characteristics: solitary	25
lion	animal characteristics	roar	animal characteristics: roar	25
lion	animal characteristics	predator	animal characteristics: predator	25
pig	animal characteristics	hooves	animal characteristics: hooves	25
cheetah	animal characteristics	long legs	animal characteristics: long legs	25
seal	animal	flippers	animal: flippers	26
dolphin	animal	cetacean	animal: cetacean	26
seal	category	pinniped	category: pinniped	26
walrus	category	pinniped	category: pinniped	26
seal	animal	pinniped	animal: pinniped	26
walrus	animal group	pinniped	animal group: pinniped	26
walrus	animal type	pinniped	animal type: pinniped	26
lamb	animal type	sheep	animal type: sheep	27
lamb	animal type	ovine	animal type: ovine	27
lamb	category	sheep	category: sheep	27
cheese	type	sheep	type: sheep	27
bull	animal	cattle	animal: cattle	27
lamb	animal	sheep	animal: sheep	27
peas	appearance	seeds	appearance: seeds	28
cherry	properties	seeds	properties: seeds	28
rhubarb	appearance	fruit	appearance: fruit	28
rhubarb	appearance	flowers	appearance: flowers	28
strawberry	appearance	seeds	appearance: seeds	28
banana	appearance	seeds	appearance: seeds	28
tomato	appearance	seeds	appearance: seeds	28
lemon	appearance	juice	appearance: juice	28
grapefruit	appearance	seeds	appearance: seeds	28
grape	appearance	seeds	appearance: seeds	28
lemon	appearance	seeds	appearance: seeds	28
