concept	facet	property	facet_property	cluster_label
inshore grounds	access	wading	access: wading	0
inshore grounds	access	swimming	access: swimming	0
national park	access	camping	access: camping	0
national park	access	boating	access: boating	0
national park	access	driving	access: driving	0
drinking water	access	filtered water	access: filtered water	1
drinking water	distribution	public water supply	distribution: public water supply	1
drinking water	availability	public water supply	availability: public water supply	1
drinking water	access	public water supply	access: public water supply	1
nature reserve	management	public access	management: public access	2
national park	access	restricted access	access: restricted access	2
national park	access	public access	access: public access	2
inshore grounds	access	boat access	access: boat access	2
inshore grounds	access	beach access	access: beach access	2
national park	access	guided tours	access: guided tours	2
national park	access	research access	access: research access	2
inshore grounds	access	pier access	access: pier access	2
biological standard	accuracy	reliability	accuracy: reliability	3
biological standard	accuracy	repeatability	accuracy: repeatability	3
biological standard	accuracy	specificity	accuracy: specificity	3
biological standard	accuracy	sensitivity	accuracy: sensitivity	3
biological standard	accuracy	precision	accuracy: precision	3
disaster area	response	rehabilitation	response: rehabilitation	4
protection of animal life	actions	lobbying	actions: lobbying	4
area management	activities	renovation	activities: renovation	4
disaster area	needs	rehabilitation	needs: rehabilitation	4
polluted area	rehabilitation	restoration	rehabilitation: restoration	4
natural hazard	response	rehabilitation	response: rehabilitation	4
oil pollution	response	rehabilitation	response: rehabilitation	4
agricultural disaster	response	rehabilitation	response: rehabilitation	4
protection of animal life	actions	legislative advocacy	actions: legislative advocacy	4
man-made disaster	response	rehabilitation	response: rehabilitation	4
protection of animal life	actions	rehabilitation	actions: rehabilitation	4
soil resources	management	rehabilitation	management: rehabilitation	4
protection of animals	goals	rehabilitation	goals: rehabilitation	4
polluted area	cleaning methods	rehabilitation	cleaning methods: rehabilitation	4
protection of animal life	actions	relocation	actions: relocation	4
protection of animal life	goals	rehabilitation	goals: rehabilitation	4
destruction of crops	methods	rehabilitation	methods: rehabilitation	4
protection of animal life	methods	rehabilitation	methods: rehabilitation	4
protection of animals	methods	rehabilitation	methods: rehabilitation	4
pollution control	methods	rehabilitation	methods: rehabilitation	4
