concept	property	cluster_label
inshore grounds	wading	0
inshore grounds	swimming	0
national park	camping	0
national park	boating	0
national park	driving	0
drinking water	filtered water	1
drinking water	public water supply	1
drinking water	public water supply	1
drinking water	public water supply	1
nature reserve	public access	2
national park	restricted access	2
national park	public access	2
inshore grounds	boat access	2
inshore grounds	beach access	2
national park	guided tours	2
national park	research access	2
inshore grounds	pier access	2
biological standard	reliability	3
biological standard	repeatability	3
biological standard	specificity	3
biological standard	sensitivity	3
biological standard	precision	3
disaster area	rehabilitation	4
protection of animal life	lobbying	4
area management	renovation	4
disaster area	rehabilitation	4
polluted area	restoration	4
natural hazard	rehabilitation	4
oil pollution	rehabilitation	4
agricultural disaster	rehabilitation	4
protection of animal life	legislative advocacy	4
man-made disaster	rehabilitation	4
protection of animal life	rehabilitation	4
soil resources	rehabilitation	4
protection of animals	rehabilitation	4
polluted area	rehabilitation	4
protection of animal life	relocation	4
protection of animal life	rehabilitation	4
destruction of crops	rehabilitation	4
protection of animal life	rehabilitation	4
protection of animals	rehabilitation	4
pollution control	rehabilitation	4
environmental tax	promoting eco-friendly practices	5
ecological balance	eco-friendly practices	5
fight against wastage	choose eco-friendly products	5
environmental impact	eco-friendly practices	5
environment	sustainable living	5
protection of plant life	using eco-friendly products	5
prevention of pollution	eco-friendly	5
conservation of resources	eco-friendly practices	5
fight against wastage	choose eco-friendly options	5
eu environmental policy	eco-innovation	5
prevention of pollution	eco-friendly practices	5
fight against wastage	eco-friendly practices	5
water protection	individual actions	5
environmental protection	individual actions	5
environmental protection	eco-friendly practices	5
protection of animal life	fundraising	6
environment	education	6
environmental protection	education	6
protection of plant life	education	6
protection of animal life	education	6
quality of the environment	education	6
man-made disaster	community recovery	6
protection of animal life	community involvement	6
water protection	community involvement	6
environmental protection	community involvement	6
national city park	community building	6
national city park	community engagement	6
prevention of pollution	community involvement	6
fight against wastage	community involvement	6
environmental education	community engagement	6
coastal protection	community engagement	6
national city park	community events	6
ecological balance	community engagement	6
local pollution	community engagement	6
environmental indicator	community engagement	6
environmental monitoring	community engagement	6
national city park	community engagement	6
water protection	community efforts	6
environmental protection	community engagement	6
protection of plant life	community engagement	6
national city park	community gathering	6
fight against wastage	community	6
area management	community engagement	6
adaptation to climate change	community engagement	6
environmental education	community engagement	6
countryside conservation	community engagement	6
environmental protection	community engagement	6
national city park	community events	6
reduction of gas emissions	community engagement	6
fight against wastage	buy second-hand	7
replacement of resources	reusing	7
fight against wastage	repurpose	7
protection of animal life	rescue	7
replacement of resources	repurposing	7
fight against wastage	repurposing	7
fight against wastage	refuse	7
fight against wastage	repurpose	7
fight against wastage	recycle	7
environment	recycle	7
replacement of resources	repurpose	7
waste management	rethink	7
waste management	repurpose	7
fight against wastage	repurpose	7
water protection	technology development	8
reduction of gas emissions	research and development	8
climate change policy	research and development	8
cost of pollution	research and development	8
climate change	research and development	8
deposit on a polluting product	research and development	8
environmental tax	research and development	8
environmental protection	technology development	8
protection of plant life	research and development	8
protection of animal life	research and monitoring	8
protection of animal life	research and development	8
water protection	research and development	8
adaptation to climate change	research and development	8
pollution control measures	research and development	8
climate change policy	research and development	8
prevention of pollution	research and development	8
countryside conservation	research and monitoring	8
water protection	educational programs	9
prevention of pollution	public awareness campaigns	9
metal pollution	awareness campaigns	9
prevention of pollution	awareness campaigns	9
fight against wastage	participate in community initiatives	9
fight against wastage	community clean-up events	9
fight against wastage	awareness campaigns	9
protection of animal life	awareness campaigns	9
noise pollution	awareness campaigns	9
fight against wastage	awareness campaigns	9
inshore grounds	fishing	10
national city park	fishing	10
inshore grounds	boating	10
national city park	boating	10
national park	boating	10
inshore grounds	beach volleyball	10
inshore grounds	boating	10
watercourse	boating	10
lake	boating	10
national park	fishing	10
national city park	walking	10
inshore grounds	beachcombing	10
national city park	picnicking	10
inshore grounds	kayaking	10
lake	boating	10
inshore grounds	boating	10
inshore grounds	surfing	10
national park	hiking	10
national city park	hiking	10
nature reserve	hiking	10
national park	camping	10
nature reserve	camping	10
national city park	biking	10
inshore grounds	snorkeling	10
national city park	cycling	10
nature reserve	wildlife watching	11
inshore grounds	wildlife observation	11
nature reserve	photography	11
national park	photography	11
nature reserve	wildlife observation	11
national city park	wildlife watching	11
national city park	birdwatching	11
national city park	historical tours	11
nature reserve	wildlife viewing	11
nature reserve	birdwatching	11
inshore grounds	birdwatching	11
national park	wildlife watching	11
national park	wildlife watching	11
national park	research	12
arctic	research	12
frigid zone	research	12
norwegian sea	research	12
area management	design	12
nature reserve	research	12
