concept	property	cluster_label
internet	mobile device	0
energy analyser	smartphone	0
retrieval systems	mobile	0
internet	tablet	0
internet	smartphone	0
internet	mobile	0
tower viewer	smartphone	0
magnetic stripe	mobile device	0
tower viewer	smartphone	0
automatic storage	mobile device	0
internet	search engine	0
wheel speed sensor	wired	1
communication equipment	wired	1
internet	wired	1
audio equipment	wired	1
communication equipment	wired	1
carbon dioxide sensor	wired	1
portable data terminal	wired	1
internet	wireless	1
headphones	wired	1
carbon dioxide sensor	wired	1
air film device	wired	1
retrieval systems	interactive	1
headphones	wired	1
communication equipment	wired	1
automatic storage	offline	1
retrieval systems	offline	1
automatic storage	local	1
audio equipment	wired	1
bradford robotic telescope	researcher access	2
retrieval systems	online	2
automatic storage	online	2
bradford robotic telescope	online	2
bradford robotic telescope	public access	2
automatic storage	remote	2
southern african large telescope	public access	2
automatic storage	direct access	2
retrieval systems	automatic	2
bradford robotic telescope	remote access	2
internet	public	2
ball state university observatory	open to the public	2
internet	app	3
internet	computer	3
internet	laptop	3
internet	browser	3
internet	router	3
retrieval systems	desktop	3
spotting scope	lenses	4
binoculars	lens cleaning cloth	4
traveling microscope	lens cleaning cloth	4
monocular	lens cleaning cloth	4
zenith telescope	filters	4
meade lx200	filters	4
spotting scope	filters	4
binoculars	tripod	4
astroscan	filters	4
zenith telescope	tripod	4
tower viewer	tripod	4
small telescope	tripod	4
astroscan	tripod	4
platform truck	stabilizers	4
solar telescope	polarizing filter	4
tower viewer	tripod	4
binoculars	tripod adapter	4
spotting scope	tripod	4
binoculars	rain cover	5
visor	storage bags	5
firefighter's helmet	visor lights	5
racing helmet	helmet cleaner	5
racing helmet	helmet stand	5
hiboy	helmets	5
optical microscope	stage clips	5
racing helmet	helmet bag	5
racing helmet	helmet cleaning kit	5
hiboy	saddle bag	5
welding helmet	welding safety glasses	6
welding helmet	welding gloves	6
welding helmet	welding jacket	6
welding helmet	welding shield with magnifying lens	6
welding helmet	welding shield with solar filter	6
monocular	case	7
spotting scope	cases	7
visor	cases	7
sunglasses	cases	7
spotting scope	case	7
binoculars	case	7
small telescope	case	7
tower viewer	case	7
communication equipment	case	7
visor	replacement parts	7
communication equipment	stand	7
headphones	cable	7
headphones	headphones case	7
traveling microscope	carrying case	7
communication equipment	microphone	7
communication equipment	charger	7
hiboy	charger	7
finderscope	eyepiece	8
monocular	eyepiece	8
meade lx200	star diagonal	8
small telescope	eyepiece	8
spotting scope	eyepiece	8
tower viewer	eyepiece	8
binoculars	objective lens caps	8
small telescope	eyepieces	8
spotting scope	eyepiece filters	8
small telescope	eyepiece filters	8
zenith telescope	eyepieces	8
meade lx200	eyepieces	8
spotting scope	eyepieces	8
astroscan	eyepieces	8
small telescope	eyepiece lens	8
small telescope	moon filter	9
solar telescope	solar viewing glasses	9
solar telescope	solar viewing glasses	9
solar telescope	solar filter	9
solar telescope	solar filters	9
solar telescope	solar spectroscope	9
optical microscope	coverslips	10
personal protective equipment	earplugs	10
riot protection helmet	ear protection	10
headphones	earbuds	10
hockey pants	bibs	10
binoculars	eyecups	10
communication equipment	headphones	10
custodian helmet	earplugs	10
motorcycle helmet	earplugs	10
spotting scope	cleaning cloths	10
visor	cleaning cloths	10
sunglasses	cleaning cloths	10
firefighter's helmet	earpiece	10
solar telescope	sunscreen	11
diving helmet	wetsuit	11
firefighter's helmet	face mask	11
motorcycle helmet	goggle	11
motorcycle helmet	face shield	11
diving helmet	flotation device	11
custodian helmet	goggles	11
spotting scope	sunshade	11
solar telescope	goggles	11
riot protection helmet	goggles	11
welding helmet	goggles	11
motorcycle helmet	goggles	11
welding helmet	sunglasses	11
hockey pants	helmet	11
custodian helmet	visor	11
sunglasses	clip-on shades	11
firefighter's helmet	goggles	11
spotting scope	barrel extensions	12
pfund telescope	barlow lens	12
meade lx200	camera adapters	12
small telescope	barlow lens	12
modified dall-kirkham telescope	barlow lens	12
meade lx200	barlow lenses	12
astroscan	camera adapters	12
kappōgi	kimono	13
kappōgi	obi belt	13
kappōgi	yukata	13
firefighter's helmet	communications equipment	14
firefighter's helmet	communications devices	14
riot protection helmet	communications devices	14
meade lx200	image capture devices	14
pallet jack	maintenance tools	14
motorcycle helmet	communications device	14
firefighter's helmet	communication devices	14
riot protection helmet	communication devices	14
motorcycle helmet	communications systems	14
emergency vehicle equipment	oxygen tank	15
riot protection helmet	breathing apparatus	15
diving helmet	oxygen tank	15
firefighter's helmet	respirators	15
visor	strap adjusters	16
small telescope	carrying strap	16
tower viewer	carrying strap	16
sunglasses	straps	16
monocular	strap	16
headgear	bands	16
binoculars	strap	16
headgear	flowers	17
kappōgi	sash	17
headgear	badges	17
headgear	bows	17
sunglasses	chains	17
motorcycle helmet	communicator	17
motorcycle helmet	shields	17
firefighter's helmet	badge	17
firefighter's helmet	nameplate	17
riot protection helmet	gloves	18
firefighter's helmet	lights	18
spotting scope	mounts	18
platform truck	lifting aids	18
spotting scope	mount	18
welding helmet	glasses	18
optical microscope	slides	18
hockey pants	gloves	18
pallet jack	loading equipment	18
small telescope	filter	18
spotting scope	filter	18
riot protection helmet	lighting	18
equipment	accessories	18
firefighter's helmet	radio	18
vista (telescope)	star charts	19
meade lx200	star charts	19
small telescope	star chart	19
finderscope	filter	20
headphones	auxiliary cord	20
john deere mc	attachments	20
john deere mc	implements	20
finderscope	adapter	20
platform truck	attachments	20
turntable	needle	20
spotting scope	adapter	20
tower viewer	adapter	20
binoculars	adapter	20
meade lx200	mounting hardware	20
riot protection helmet	night vision	21
binoculars	night vision	21
riot protection helmet	night vision devices	21
monocular	magnifying glass	22
welding helmet	prescription inserts	22
visor	magnifying glasses	22
camping equipment	water purification tablets	23
camping equipment	flashlight	23
camping equipment	camping lantern	23
camping equipment	camping chair	23
net radiometer	precision measurements	24
net radiometer	precision measurement	24
glossmeter	precision measurement	24
anemometer	precision measurement	24
vane anemometer	precision measurement	24
colony counter	precision measurement	24
cathetometer	measuring errors	24
cinetheodolite	precision measurement	24
anemometer	precise measurement	24
pyrheliometer	low uncertainty	24
tachometer	precise measurement	24
snickometer	precise measurement	24
variometer	precise measurement	24
macrometer	precision and accuracy	24
scientific instrument	accuracy	24
macrometer	accuracy	24
cathetometer	measurement errors	24
electrometer	precision measurement	24
odometer	error margin	24
odometer	precise measurement	24
john deere mc	easy to use	25
timing light	easy to use	25
timing light	easy to use	25
tail-pulse generator	easy to use	25
small telescope	easy to use	25
scientific instrument	sensitivity	26
internet	latency	26
airspeed indicator	sensitivity	26
