concept	property	cluster_label
computer architecture	register-transfer level	0
computer architecture	assembly language	0
computer architecture	machine code	0
computer architecture	instruction set architecture	0
gender and sexuality	community support	1
gender and sexuality	understanding	1
gender and sexuality	legal recognition	1
gender and sexuality	respect	1
gender and sexuality	exclusive	1
gender and sexuality	self-acceptance	1
gender and sexuality	tolerance	1
gender and sexuality	tolerant	1
gender and sexuality	accepting	1
gender and sexuality	support	1
gender and sexuality	rejecting	1
gender and sexuality	celebration	1
gender and sexuality	acceptance	1
data storage systems	read-only	2
data storage systems	read-write	2
knowledge	confidential	2
hardware systems	standalone	2
knowledge	restricted	2
communication technology and new media	offline	2
data storage systems	random	2
data storage systems	offline	2
hardware systems	wired	3
data storage systems	direct	3
communication technology and new media	wireless	3
hardware systems	networked	3
communication technology and new media	wired	3
digital communications	wired	3
systems and communications	wired	3
hardware systems	wireless	3
systems and communications	wired	3
knowledge	private	4
knowledge	shared	4
knowledge	public	4
data storage systems	sequential	5
data storage systems	sequential	5
data storage systems	sequential access	5
data storage systems	parallel	5
data storage systems	random access	5
data storage systems	random	5
data storage systems	offline	5
data storage systems	direct access	5
data storage systems	random access	5
data storage systems	sequential access	5
acoustics, dynamics, and controls	interference	6
acoustics, dynamics, and controls	amplitude	6
acoustics, dynamics, and controls	propagation	6
applied dynamics	vibration	6
instrumentation	acoustic	6
acoustics, dynamics, and controls	absorption	6
acoustics, dynamics, and controls	sound waves	6
acoustics, dynamics, and controls	frequency	6
acoustics, dynamics, and controls	echo	6
acoustics, dynamics, and controls	frequency response	6
acoustics, dynamics, and controls	vibration	6
acoustics, dynamics, and controls	study of sound	6
acoustics, dynamics, and controls	sound pressure level	6
acoustics, dynamics, and controls	sound quality	6
acoustics, dynamics, and controls	reverberation	6
acoustics, dynamics, and controls	echoes	6
acoustics, dynamics, and controls	resonance	6
acoustics, dynamics, and controls	vibration	6
stars	fusion	7
knowledge	practice	7
entomology	identification	7
power and energy	transduction	7
the sun and the solar system	condensation	7
race and ethnicity	ascription	7
stars	nucleation	7
knowledge	induction	7
knowledge	learning	7
knowledge	deduction	7
knowledge	exploration	7
knowledge	inference	7
knowledge	inquiry	7
engineering physics	testing	8
work, economy and organizations	exchange	8
work, economy and organizations	consumption	8
software engineering	development	8
petroleum engineering	drilling	8
software engineering	testing	8
computer engineering	testing	8
computer engineering	development	8
forest management	research	8
forest management	education	8
horticulture	growing	8
computer engineering	debugging	8
forest management	logging	8
construction engineering/management	testing	8
theory	testing	8
computer engineering	integration	8
family	nurturing	9
horticulture	cultivating	9
horticulture	nurturing	9
international nutrition	private sector	10
public health	community organizations	10
public affairs	government agencies	10
international economics	central banks	10
public administration	public servants	10
space vehicles	government agencies	10
public affairs	government officials	10
international relations	multinational corporations	10
international economics	multinational corporations	10
public policy	private sector	10
public administration	government officials	10
public policy	government agencies	10
forest management	government agencies	10
american politics	congressional representatives	10
politics and social change	government	10
public policy	government	10
public health	government	10
american politics	interest groups	10
public policy	interest groups	10
public policy	civil society	10
public affairs	civil society	10
public policy	legislators	10
public health	government agencies	10
public affairs	ngo representatives	11
international nutrition	non-governmental organizations	11
public health	non-profit organizations	11
international relations	non-governmental organizations	11
public policy	non-governmental organizations	11
public affairs	non-governmental organizations	11
public health	non-governmental organizations	11
public health	community	12
forest management	indigenous communities	12
forest management	local communities	12
politics and social change	community	12
social control	community	12
public policy	lobby groups	12
language documentation	community members	12
public affairs	community groups	12
public health	community groups	12
public health	communities	12
public affairs	community leaders	12
public health	community leaders	12
politics and social change	community leaders	12
politics and social change	community groups	12
deviance	institution	13
work, economy, and organizations	customer	13
deviance	group	13
work, economy, and organizations	employees	13
work, economy, and organizations	manager	13
theatre history	ensemble	13
work, economy, and organizations	employee	13
work, economy, and organizations	investor	13
politics and social change	individuals	14
public health	individuals	14
environmental health	individuals	14
international economics	individuals	14
crime	individual	14
international relations	individuals	14
social control	individual	14
public affairs	individuals	14
communication technology and new media	individuals	14
language documentation	language speakers	14
deviance	individual	14
public affairs	activists	15
public policy	bureaucrats	15
public affairs	bureaucrats	15
social influence and political communication	activists	15
politics and social change	activists	15
diplomatic history	diplomats	15
public affairs	lobbyists	15
public policy	lobbyists	15
politics and social change	lobbyists	15
american politics	lobbyists	15
diplomatic history	ambassadors	15
dramatic literature, criticism and theory	actors	15
social influence and political communication	lobbyists	15
forest management	researchers	15
public health	researchers	15
military history	armies	15
forest management	foresters	15
social influence and political communication	experts	15
forest management	loggers	15
social influence and political communication	influencers	15
forest management	conservationists	15
theatre history	tragedians	15
