concept	facet	property	facet_property
hair dryer	accessories	diffuser	accessories: diffuser
bathtub	accessories	bath salts	accessories: bath salts
cell phone	accessories	charger	accessories: charger
cell phone	accessories	headphones	accessories: headphones
cell phone	accessories	case	accessories: case
cell phone	accessories	screen protector	accessories: screen protector
earmuffs	accessories	headbands	accessories: headbands
earmuffs	accessories	strings	accessories: strings
earmuffs	accessories	cases	accessories: cases
earmuffs	accessories	cleaning cloths	accessories: cleaning cloths
rifle	accessories	stock extension	accessories: stock extension
cell phone	accessories	apps	accessories: apps
cell phone	accessories	chargers	accessories: chargers
cell phone	accessories	cases	accessories: cases
bathtub	accessories	bath bombs	accessories: bath bombs
screwdriver	accessories	storage	accessories: storage
rifle	accessories	magazine	accessories: magazine
rifle	accessories	grip	accessories: grip
rifle	accessories	stock	accessories: stock
rifle	accessories	silencer	accessories: silencer
rifle	accessories	scope	accessories: scope
screwdriver	accessories	sockets	accessories: sockets
cell phone	accessories	wireless earbuds	accessories: wireless earbuds
shoes	accessories	laces	accessories: laces
shoes	accessories	buckles	accessories: buckles
shoes	accessories	zippers	accessories: zippers
shoes	accessories	insoles	accessories: insoles
shoes	accessories	socks	accessories: socks
hair dryer	accessories	attachment	accessories: attachment
screwdriver	accessories	extensions	accessories: extensions
bathtub	accessories	bath toys	accessories: bath toys
screwdriver	accessories	bits	accessories: bits
violin	accessories	music stand	accessories: music stand
hair dryer	accessories	comb	accessories: comb
hair dryer	accessories	brush	accessories: brush
cell phone	accessories	bluetooth headset	accessories: bluetooth headset
bathtub	accessories	towel bars	accessories: towel bars
bathtub	accessories	shower curtain	accessories: shower curtain
rifle	accessories	red dot sight	accessories: red dot sight
violin	accessories	case	accessories: case
bathtub	accessories	bathtub mat	accessories: bathtub mat
violin	accessories	tuner	accessories: tuner
violin	accessories	shoulder rest	accessories: shoulder rest
bathtub	accessories	bath pillow	accessories: bath pillow
missile	accuracy	smart	accuracy: smart
missile	accuracy	precision-guided	accuracy: precision-guided
missile	accuracy	dumb	accuracy: dumb
prune	action	to trim	action: to trim
pistol	action	manual	action: manual
pistol	action	single-action	action: single-action
revolver	action	single-action	action: single-action
revolver	action	semi-automatic	action: semi-automatic
revolver	action	manual	action: manual
pistol	action	automatic	action: automatic
prune	action	to cut off	action: to cut off
prune	action	to remove	action: to remove
prune	action	cut	action: cut
pistol	action	double-action/single-action	action: double-action/single-action
prune	action	trim	action: trim
pistol	action	double-action	action: double-action
prune	action	remove	action: remove
shotgun	actions	lever-action	actions: lever-action
shotgun	actions	slide-action	actions: slide-action
shotgun	actions	break-action	actions: break-action
shotgun	actions	bolt-action	actions: bolt-action
grenade	activation	pull-string	activation: pull-string
grenade	activation	lever	activation: lever
grenade	activation	timer	activation: timer
sailboat	activities	racing	activities: racing
skateboard	activities	freestyle	activities: freestyle
skateboard	activities	longboarding	activities: longboarding
sailboat	activities	sailing	activities: sailing
skateboard	activities	jumping	activities: jumping
sailboat	activities	cruising	activities: cruising
skateboard	activities	racing	activities: racing
skateboard	activities	street skating	activities: street skating
skateboard	activities	skating	activities: skating
kite	activities	kite fighting	activities: kite fighting
skateboard	activities	vert skating	activities: vert skating
kite	activities	kite flying festivals	activities: kite flying festivals
skateboard	activities	park skating	activities: park skating
frisbee	activities	throwing	activities: throwing
sled	activities	gliding	activities: gliding
frisbee	activities	catching	activities: catching
frisbee	activities	juggling	activities: juggling
frisbee	activities	trick shots	activities: trick shots
sailboat	activities	fishing	activities: fishing
skateboard	activities	cruising	activities: cruising
skateboard	activities	tricks	activities: tricks
sled	activities	sliding	activities: sliding
kite	activities	flying competitions	activities: flying competitions
kite	activities	flying	activities: flying
sailboat	activities	diving	activities: diving
sled	activities	tobogganing	activities: tobogganing
sled	activities	racing	activities: racing
sailboat	activities	anchoring	activities: anchoring
sailboat	activities	swimming	activities: swimming
crocodile	adaptations	strong swimming	adaptations: strong swimming
salamander	adaptations	webbed feet	adaptations: webbed feet
salamander	adaptations	camouflage	adaptations: camouflage
woodpecker	adaptations	keen sense of smell	adaptations: keen sense of smell
seal	adaptations	flippers	adaptations: flippers
seal	adaptations	blubber	adaptations: blubber
woodpecker	adaptations	specialized beak	adaptations: specialized beak
squid	adaptations	ink release	adaptations: ink release
seal	adaptations	diving ability	adaptations: diving ability
salamander	adaptations	jumping	adaptations: jumping
salamander	adaptations	swimming	adaptations: swimming
salamander	adaptations	climbing	adaptations: climbing
salamander	adaptations	burrowing	adaptations: burrowing
octopus	adaptations	suckers	adaptations: suckers
octopus	adaptations	tentacles	adaptations: tentacles
seagull	adaptations	sharp talons	adaptations: sharp talons
octopus	adaptations	colour-changing skin	adaptations: colour-changing skin
octopus	adaptations	arm regeneration	adaptations: arm regeneration
octopus	adaptations	jet propulsion	adaptations: jet propulsion
octopus	adaptations	ink release	adaptations: ink release
seal	adaptations	streamlined body	adaptations: streamlined body
salamander	adaptations	respiratory system	adaptations: respiratory system
squid	adaptations	bioluminescence	adaptations: bioluminescence
squid	adaptations	jet propulsion	adaptations: jet propulsion
otter	adaptations	water-repellent fur	adaptations: water-repellent fur
hawk	adaptations	silent flight	adaptations: silent flight
otter	adaptations	webbed feet	adaptations: webbed feet
turtle	adaptations	long neck	adaptations: long neck
otter	adaptations	strong tail	adaptations: strong tail
woodpecker	adaptations	strong neck	adaptations: strong neck
hawk	adaptations	exceptional vision	adaptations: exceptional vision
otter	adaptations	good eyesight	adaptations: good eyesight
salamander	adaptations	regeneration	adaptations: regeneration
hawk	adaptations	strong wings	adaptations: strong wings
woodpecker	adaptations	specialized skull structure	adaptations: specialized skull structure
walrus	adaptations	strong swimming	adaptations: strong swimming
walrus	adaptations	efficient diving	adaptations: efficient diving
walrus	adaptations	tusk use	adaptations: tusk use
hawk	adaptations	sharp talons	adaptations: sharp talons
walrus	adaptations	whiskers for sensing	adaptations: whiskers for sensing
walrus	adaptations	tusks for defense	adaptations: tusks for defense
walrus	adaptations	flippers for swimming	adaptations: flippers for swimming
salamander	adaptations	regrowing limbs	adaptations: regrowing limbs
seagull	adaptations	webbed feet	adaptations: webbed feet
squid	adaptations	webbed tentacles	adaptations: webbed tentacles
woodpecker	adaptations	stiff tail	adaptations: stiff tail
crocodile	adaptations	efficient hunter	adaptations: efficient hunter
salamander	adaptations	poisonous secretions	adaptations: poisonous secretions
octopus	adaptations	strong beak	adaptations: strong beak
salamander	adaptations	regenerative abilities	adaptations: regenerative abilities
bear	adaptations	thick fur	adaptations: thick fur
bear	adaptations	omnivorous diet	adaptations: omnivorous diet
bear	adaptations	insulating fur	adaptations: insulating fur
woodpecker	adaptations	sharpened beak	adaptations: sharpened beak
woodpecker	adaptations	keen sense of hearing	adaptations: keen sense of hearing
woodpecker	adaptations	ability to withstand impact	adaptations: ability to withstand impact
