concept	facet	property	facet_property
drinking water	access	filtered water	access: filtered water
inshore grounds	access	wading	access: wading
inshore grounds	access	swimming	access: swimming
drinking water	access	private well	access: private well
inshore grounds	access	beach access	access: beach access
drinking water	access	water purification systems	access: water purification systems
drinking water	access	rainwater harvesting	access: rainwater harvesting
national park	access	hiking	access: hiking
national park	access	driving	access: driving
national park	access	boating	access: boating
drinking water	access	bottled water	access: bottled water
national park	access	camping	access: camping
national park	access	guided tours	access: guided tours
drinking water	access	private wells	access: private wells
drinking water	access	public water supply	access: public water supply
national park	access	research access	access: research access
national park	access	public access	access: public access
national park	access	restricted access	access: restricted access
inshore grounds	access	boat access	access: boat access
inshore grounds	access	pier access	access: pier access
biological standard	accuracy	precision	accuracy: precision
biological standard	accuracy	repeatability	accuracy: repeatability
biological standard	accuracy	reliability	accuracy: reliability
biological standard	accuracy	specificity	accuracy: specificity
biological standard	accuracy	sensitivity	accuracy: sensitivity
water protection	actions	water recycling facilities	actions: water recycling facilities
water protection	actions	water treatment	actions: water treatment
water protection	actions	water quality monitoring	actions: water quality monitoring
quality of the environment	actions	conservation	actions: conservation
quality of the environment	actions	sustainability	actions: sustainability
quality of the environment	actions	recycling	actions: recycling
quality of the environment	actions	renewable energy	actions: renewable energy
water protection	actions	pollution prevention	actions: pollution prevention
quality of the environment	actions	environmental regulations	actions: environmental regulations
eu environmental policy	actions	climate change mitigation	actions: climate change mitigation
eu environmental policy	actions	green infrastructure	actions: green infrastructure
water protection	actions	water harvesting	actions: water harvesting
environment	actions	wildlife protection	actions: wildlife protection
water protection	actions	water reuse	actions: water reuse
water protection	actions	watershed restoration	actions: watershed restoration
environmental protection	actions	technology development	actions: technology development
environmental protection	actions	individual behavior change	actions: individual behavior change
water protection	actions	waste reduction	actions: waste reduction
water protection	actions	water-saving measures	actions: water-saving measures
water protection	actions	policy making	actions: policy making
water protection	actions	community involvement	actions: community involvement
water protection	actions	research	actions: research
water protection	actions	technology development	actions: technology development
water protection	actions	water conservation technologies	actions: water conservation technologies
environmental protection	actions	government regulations	actions: government regulations
water protection	actions	watershed management	actions: watershed management
environmental protection	actions	individual actions	actions: individual actions
environment	actions	reduce	actions: reduce
prevention of pollution	actions	conserve water	actions: conserve water
protection of animal life	actions	relocation	actions: relocation
environmental protection	actions	recycling	actions: recycling
protection of animal life	actions	habitat restoration	actions: habitat restoration
protection of animal life	actions	research and monitoring	actions: research and monitoring
environmental protection	actions	waste reduction	actions: waste reduction
environmental protection	actions	energy conservation	actions: energy conservation
protection of animal life	actions	reintroduction	actions: reintroduction
environmental protection	actions	renewable energy	actions: renewable energy
environmental protection	actions	regulation	actions: regulation
environmental protection	actions	policy making	actions: policy making
environment	actions	waste reduction	actions: waste reduction
environment	actions	education	actions: education
protection of animal life	actions	rehabilitation	actions: rehabilitation
protection of animal life	actions	rescue	actions: rescue
environmental protection	actions	eco-friendly practices	actions: eco-friendly practices
prevention of pollution	actions	properly dispose of waste	actions: properly dispose of waste
water protection	actions	policy changes	actions: policy changes
protection of animal life	actions	research	actions: research
prevention of pollution	actions	avoid single-use plastics	actions: avoid single-use plastics
prevention of pollution	actions	use public transport	actions: use public transport
prevention of pollution	actions	reduce energy consumption	actions: reduce energy consumption
fight against wastage	actions	participate in community initiatives	actions: participate in community initiatives
fight against wastage	actions	buy second-hand	actions: buy second-hand
environment	actions	reuse	actions: reuse
water protection	actions	technological innovations	actions: technological innovations
fight against wastage	actions	repair and maintain	actions: repair and maintain
environmental protection	actions	education	actions: education
environmental protection	actions	research	actions: research
environmental protection	actions	community engagement	actions: community engagement
fight against wastage	actions	choose eco-friendly options	actions: choose eco-friendly options
fight against wastage	actions	reduce consumption	actions: reduce consumption
environment	actions	recycle	actions: recycle
environmental protection	actions	policy changes	actions: policy changes
quality of the environment	actions	waste reduction	actions: waste reduction
water protection	actions	public awareness	actions: public awareness
protection of animal life	actions	education and awareness	actions: education and awareness
protection of plant life	actions	supporting conservation efforts	actions: supporting conservation efforts
water protection	actions	water conservation	actions: water conservation
water protection	actions	wetland preservation	actions: wetland preservation
water protection	actions	infrastructure development	actions: infrastructure development
protection of animal life	actions	legislative advocacy	actions: legislative advocacy
environmental protection	actions	technological innovations	actions: technological innovations
protection of plant life	actions	using eco-friendly products	actions: using eco-friendly products
environmental protection	actions	community involvement	actions: community involvement
environment	actions	ecotourism	actions: ecotourism
environment	actions	sustainable living	actions: sustainable living
protection of plant life	actions	monitoring	actions: monitoring
protection of plant life	actions	research	actions: research
protection of plant life	actions	education	actions: education
protection of plant life	actions	community engagement	actions: community engagement
environmental protection	actions	government policies	actions: government policies
protection of plant life	actions	recycling	actions: recycling
protection of plant life	actions	reducing carbon footprint	actions: reducing carbon footprint
countryside conservation	actions	research and monitoring	actions: research and monitoring
quality of the environment	actions	adaptation	actions: adaptation
quality of the environment	actions	mitigation	actions: mitigation
water protection	actions	individual actions	actions: individual actions
water protection	actions	community efforts	actions: community efforts
water protection	actions	government regulations	actions: government regulations
water protection	actions	educational programs	actions: educational programs
fight against wastage	actions	repurpose	actions: repurpose
fight against wastage	actions	refuse	actions: refuse
fight against wastage	actions	recycle	actions: recycle
fight against wastage	actions	reuse	actions: reuse
fight against wastage	actions	reduce	actions: reduce
countryside conservation	actions	land acquisition	actions: land acquisition
countryside conservation	actions	habitat restoration	actions: habitat restoration
countryside conservation	actions	wildlife monitoring	actions: wildlife monitoring
countryside conservation	actions	education and outreach	actions: education and outreach
protection of plant life	actions	policy making	actions: policy making
environment	actions	renewable energy	actions: renewable energy
water protection	actions	research and development	actions: research and development
environment	actions	recycling	actions: recycling
protection of animal life	actions	lobbying	actions: lobbying
protection of animal life	actions	education	actions: education
protection of animal life	actions	community involvement	actions: community involvement
quality of the environment	actions	regulation	actions: regulation
protection of animal life	actions	direct action	actions: direct action
protection of animal life	actions	enforcement	actions: enforcement
quality of the environment	actions	education	actions: education
protection of animal life	actions	fundraising	actions: fundraising
quality of the environment	actions	research	actions: research
protection of animal life	actions	habitat preservation	actions: habitat preservation
protection of animal life	actions	awareness campaigns	actions: awareness campaigns
eu environmental policy	actions	green taxation	actions: green taxation
protection of animal life	actions	species reintroduction	actions: species reintroduction
protection of animal life	actions	research and development	actions: research and development
environment	actions	conservation	actions: conservation
eu environmental policy	actions	eco-innovation	actions: eco-innovation
protection of animal life	actions	monitoring	actions: monitoring
inshore grounds	activities	beach volleyball	activities: beach volleyball
area management	activities	construction	activities: construction
inshore grounds	activities	boating	activities: boating
national park	activities	fishing	activities: fishing
area management	activities	design	activities: design
area management	activities	planning	activities: planning
inshore grounds	activities	birdwatching	activities: birdwatching
inshore grounds	activities	beachcombing	activities: beachcombing
inshore grounds	activities	fishing	activities: fishing
inshore grounds	activities	kayaking	activities: kayaking
inshore grounds	activities	snorkeling	activities: snorkeling
national park	activities	wildlife watching	activities: wildlife watching
