concept	facet	property	facet_property	cluster_label
island	access	accessible	access: accessible	0
national park	access	private	access: private	0
national park	access	public	access: public	0
nature reserve	access	public	access: public	0
nature reserve	access	by permit	access: by permit	0
nature reserve	access	restricted	access: restricted	0
national park	access	park entrance	access: park entrance	0
nature reserve	access	private	access: private	0
island	accessibility	remote	accessibility: remote	0
island	access	isolated	access: isolated	0
national park	access	limited access	access: limited access	0
nature reserve	access	publicly accessible	access: publicly accessible	0
nature reserve	access	by permit only	access: by permit only	0
nature reserve	access	limited	access: limited	0
lake	used for	boating	used for: boating	1
inshore grounds	access	beach access	access: beach access	1
island	access	by boat	access: by boat	1
inshore grounds	access	pier	access: pier	1
inshore grounds	access	boat launch	access: boat launch	1
inshore grounds	features	jetty	features: jetty	1
island	accessibility	isolated	accessibility: isolated	1
island	accessibility	accessible by boat	accessibility: accessible by boat	1
island	accessibility	connected by bridge	accessibility: connected by bridge	1
island	accessibility	accessible by plane	accessibility: accessible by plane	1
island	accessibility	connected by ferry	accessibility: connected by ferry	1
water protection	actions	report leaks	actions: report leaks	2
nuisance	remedy	reporting	remedy: reporting	2
protection of animals	actions	reporting animal cruelty	actions: reporting animal cruelty	2
protection of animal life	actions	reporting animal abuse	actions: reporting animal abuse	2
man-made disaster	response	government investigation	response: government investigation	2
protection of animals	actions	reporting abuse	actions: reporting abuse	2
nuisance	remedy	report	remedy: report	2
unauthorised dumping	definition	without permission	definition: without permission	2
dumping of waste	process	throwing away	process: throwing away	3
waste disposal	methods	using bins	methods: using bins	3
conservation of resources	methods	recycle	methods: recycle	3
waste management	methods	recycle	methods: recycle	3
used oil	disposal method	recycle	disposal method: recycle	3
environmental impact	solutions	recycle	solutions: recycle	3
waste storage	solutions	recycle	solutions: recycle	3
fight against wastage	solutions	recycle	solutions: recycle	3
electronic waste	solutions	recycle	solutions: recycle	3
environmental protection	actions	reduce, reuse, recycle	actions: reduce, reuse, recycle	3
protection of plant life	actions	reduce, reuse, recycle	actions: reduce, reuse, recycle	3
fight against wastage	individual actions	recycle	individual actions: recycle	3
deposit on a polluting product	collection method	returning to store	collection method: returning to store	3
waste management	practices	recycle	practices: recycle	3
fight against wastage	strategies	recycle	strategies: recycle	3
waste	actions	recycle	actions: recycle	3
fight against wastage	individual actions	recycle materials	individual actions: recycle materials	3
environmental protection	actions	recycle	actions: recycle	3
environmental protection	individual actions	reduce, reuse, recycle	individual actions: reduce, reuse, recycle	3
protection of plant life	actions	recycle	actions: recycle	3
electronic waste	recycling methods	melting	recycling methods: melting	3
prevention of pollution	individual actions	separating trash	individual actions: separating trash	3
conservation of resources	principles	recycle	principles: recycle	3
cost of pollution	individual responsibility	recycle	individual responsibility: recycle	3
waste recycling	practices	recycle	practices: recycle	3
used oil	disposal	recycle	disposal: recycle	3
waste management	practices	reduce	practices: reduce	4
environmental impact	solutions	reduce	solutions: reduce	4
waste storage	solutions	reduce	solutions: reduce	4
fight against wastage	solutions	reduce	solutions: reduce	4
electronic waste	solutions	reduce	solutions: reduce	4
waste management	methods	reduce	methods: reduce	4
waste recycling	practices	reduce	practices: reduce	4
fight against wastage	strategies	reduce	strategies: reduce	4
environmental protection	actions	reduce	actions: reduce	4
