concept	property	cluster_label
kitchen	hotel	0
date	hotel	0
touring	cabin	0
dessert bar	hotel	0
tourism	resort	0
louis dressing	waldorf astoria	0
touring	hostel	0
tourism	hostel	0
touring	hotel	0
touring	accommodation	0
tourism	hotel	0
may west	first woman to lead an expedition	1
may west	pioneering woman	1
may west	discovered the grand canyon	1
may west	paved the way for women in exploration	1
may west	first woman to explore the grand canyon	1
supreme	6-time nba champion	2
supreme	34,444 career points	2
supreme	nba most valuable player	2
supreme	nba finals mvp	2
supreme	basketball legend	2
supreme	5-time nba mvp	2
cooking wine	low	3
baking soda	neutralizes acidity	3
blush wine	medium	3
cooking wine	acidity	3
cooking wine	medium	3
cooking wine	high acidity	3
sangiovese	balanced	3
starter culture	acid-producing	3
starter culture	specific ph range	3
lemon	acidity	3
mannish water	ph balanced	3
sangiovese	medium	3
lime	acidity	3
cooking wine	high	3
blush wine	high	3
starter culture	specific ph	3
start	start with	4
start	initiation	4
start	initiate	4
pinch	press	4
dripping cake	serve	4
start	begin	4
start	initiate	4
start	to initiate	4
start	begin	4
dripping cake	present	4
crazy cow	charging	4
start	initiate	4
start	action	4
snowball	fight	5
crazy cow	attacks	5
crazy cow	attacks	5
infusion	maceration	5
crazy cow	runs away	6
game cake	escape	6
tourist	wants to escape	6
crazy cow	roams free	6
crazy cow	breaks fences	6
vortex ring	shedding	6
crazy cow	runs away	6
pinch	let go	6
stasulli	gliding	7
tourist	flying	7
piki	jumping	7
pinch	catch	7
vortex ring	proper takeoff techniques	7
crazy cow	spinning	7
vori vori	jumping	7
pinch	drop	7
mahyawa	flight	7
tourist	driving	8
touring	shopping	8
penia	borrowing	8
date	buying gift	8
financier	trading	8
tourist	shopping	8
tourist	buying souvenirs	8
tourist	shopping	8
tourist	shopping	8
king cake	finding a bean	8
port	unloading	9
port	loading	9
port	unloading	9
port	loading	9
port	unloading	9
port	loading	9
port	loading	9
port	loading and unloading	9
port	unloading	9
port	unloading	9
port	loading	9
port	warehousing	9
penia	personal finance	10
penia	budgeting	10
financier	making deals	10
financier	managing finances	10
penia	budgeting	10
financier	lending money	10
financier	managing assets	10
financier	trading stocks	10
financier	lending	10
financier	managing money	10
port	transshipment	11
port	warehousing	11
port	transferring	11
port	export	11
port	export	11
