concept	property	cluster_label
island	accessible	0
national park	private	0
national park	public	0
nature reserve	public	0
nature reserve	by permit	0
nature reserve	restricted	0
national park	park entrance	0
nature reserve	private	0
island	remote	0
island	isolated	0
national park	limited access	0
nature reserve	publicly accessible	0
nature reserve	by permit only	0
nature reserve	limited	0
lake	boating	1
inshore grounds	beach access	1
island	by boat	1
inshore grounds	pier	1
inshore grounds	boat launch	1
inshore grounds	jetty	1
island	isolated	1
island	accessible by boat	1
island	connected by bridge	1
island	accessible by plane	1
island	connected by ferry	1
water protection	report leaks	2
nuisance	reporting	2
protection of animals	reporting animal cruelty	2
protection of animal life	reporting animal abuse	2
man-made disaster	government investigation	2
protection of animals	reporting abuse	2
nuisance	report	2
unauthorised dumping	without permission	2
dumping of waste	throwing away	3
waste disposal	using bins	3
conservation of resources	recycle	3
waste management	recycle	3
used oil	recycle	3
environmental impact	recycle	3
waste storage	recycle	3
fight against wastage	recycle	3
electronic waste	recycle	3
environmental protection	reduce, reuse, recycle	3
protection of plant life	reduce, reuse, recycle	3
fight against wastage	recycle	3
deposit on a polluting product	returning to store	3
waste management	recycle	3
fight against wastage	recycle	3
waste	recycle	3
fight against wastage	recycle materials	3
environmental protection	recycle	3
environmental protection	reduce, reuse, recycle	3
protection of plant life	recycle	3
electronic waste	melting	3
prevention of pollution	separating trash	3
conservation of resources	recycle	3
cost of pollution	recycle	3
waste recycling	recycle	3
used oil	recycle	3
waste management	reduce	4
environmental impact	reduce	4
waste storage	reduce	4
fight against wastage	reduce	4
electronic waste	reduce	4
waste management	reduce	4
waste recycling	reduce	4
fight against wastage	reduce	4
environmental protection	reduce	4
fight against wastage	reduce	4
dumping of waste	reducing	4
conservation of resources	reduce	4
fight against wastage	reducing	4
waste	reduce	4
fight against wastage	reduce use	4
prevention of pollution	conserving water	5
environmental protection	conserving water	5
environmental protection	conserve water	5
prevention of pollution	conserving water	5
water protection	protect water sources	5
water management	water harvesting	5
water protection	reduce water usage	5
water management	water metering	5
environmental protection	conserve water	5
baltic sea	human activities	5
water protection	water reuse	5
bad weather	staying indoors	5
protection of animals	adopting pets	6
protection of animal life	adopting pets	6
protection of animals	adoption	6
protection of animals	adoption and fostering	6
animal resources	captive breeding	6
protection of animal life	animal rescue	6
protection of animals	adopting animals	6
protection of animals	adopting	6
electronic waste	donation	7
protection of animals	donating	7
protection of animals	volunteering	7
protection of animal life	donations	7
electronic waste	donation	7
protection of animals	donating to animal welfare	7
waste disposal	donating	7
protection of animal life	donating to conservation	7
environmental protection	use eco-friendly products	8
protection of plant life	use eco-friendly products	8
water protection	use eco-friendly products	8
protection of plant life	avoid single-use plastics	8
protection of plant life	using eco-friendly products	8
environmental protection	planting trees	8
fight against wastage	avoid single-use plastics	8
environmental protection	plant trees	8
protection of plant life	plant trees	8
chemical pollution	using eco-friendly products	8
prevention of pollution	using eco-friendly products	8
conservation of resources	use renewable energy	8
national park	hiking	9
mountain	hiking	9
national park	picnicking	9
national city park	picnicking	9
national city park	cycling	9
humid zone	trekking	9
mountain	hiking	9
environmental education	outdoor education	9
polar region	trekking	9
environmental education	outdoor activities	9
mountain	sightseeing	9
desert	hiking	9
mountain	popular for hiking	9
protected area	hiking	9
mountain	camping	9
national city park	hiking	9
desert	exploring	9
national park	camping	9
desert	camping	9
mountain	trekking	9
mountain	hiking	9
nature reserve	camping	9
national city park	jogging	9
mountain	sightseeing	9
mountain	hiking	9
nature reserve	hiking	9
lake	camping	9
lake	hiking	9
red sea	diving	10
humid zone	swimming	10
sea	swimming	10
national park	swimming	10
sea	diving	10
red sea	diving	10
adriatic sea	diving	10
tyrrhenian sea	diving	10
sea	swimming	10
inshore grounds	swimming	10
red sea	diving	10
tyrrhenian sea	snorkeling	10
red sea	snorkeling	10
resources of the sea	diving	10
lake	swimming	10
use of water	swimming	10
inshore grounds	snorkeling	10
resources of the sea	diving	10
seismic monitoring	underwater	10
national park	wildlife photography	11
desert	photography	11
national park	photography	11
nature reserve	photography	11
north sea	birdwatching	11
national city park	wildlife viewing	11
national park	wildlife viewing	11
nature reserve	wildlife viewing	11
protected area	wildlife watching	11
national park	wildlife watching	11
nature reserve	birdwatching	11
national city park	birdwatching	11
wildlife	wildlife watching	11
nature reserve	wildlife observation	11
nature reserve	wildlife research	11
marine mammal	playing	12
national city park	playing	12
whale	play	12
dolphin	playing	12
hunting regulations	game	12
national city park	playing sports	12
fire protection	ladders	13
mountain	climbing	13
mountain	climbing	13
mountain	climbing	13
dolphin	jumping	13
industrial hazard	fall from height	13
mountain	climbing	13
mountain	popular activity	13
rodent	climbing	13
reptile	climbing	13
mountain	climbing	13
protection of animal life	documentaries	14
exploitation of the seas	industries	14
water management	private companies	14
exploitation of the seas	companies	14
water management	companies	14
degradation of the environment	companies	14
pollution control	companies	14
climate change policy	companies	14
pollution control measures	companies	14
unauthorised dumping	company	14
waste management	companies	14
climate change policy	civil society	15
adaptation to climate change	community	15
waste management	community	15
adaptation to climate change	education	15
adaptation to climate change	awareness	15
management of resources	community	15
evaluation of resources	society	15
waste management	community	15
countryside conservation	local communities	15
risk prevention	community	15
unauthorised dumping	organisation	15
degradation of the environment	communities	15
destruction of crops	community	15
countryside conservation	local communities	15
fight against wastage	communities	15
water management	individuals	16
fight against insects	humans	16
industrial pollution	individuals	16
adaptation to climate change	individuals	16
exploitation of the seas	individuals	16
degradation of the environment	individuals	16
prevention of pollution	individuals	16
pollution control	individuals	16
waste management	individuals	16
water management	individuals	16
climate change policy	individuals	16
exploitation of the seas	individuals	16
countryside conservation	individuals	16
unauthorised dumping	individual	16
unauthorised dumping	individual	16
water management	individual	16
waste management	individual	16
dust	film	16
pollution control measures	individuals	16
environmental protection	government agencies	17
waste recycling	government agencies	17
protection of plant life	government agencies	17
pollution control measures	government agencies	17
water protection	government agencies	17
countryside conservation	government agencies	17
coastal protection	government	17
fight against wastage	policy makers	17
environmental economics	government agencies	17
protection of animals	government agencies	17
countryside conservation	government agencies	17
pollution control	government agencies	17
countryside conservation	government agencies	17
water management	agencies	17
environmental education	government agency	17
countryside conservation	government agencies	17
protection of animals	government agencies	17
evaluation of resources	organizations	17
local pollution	government agencies	17
environmental law	government agencies	17
environmental policy	government agencies	17
water protection	government agencies	17
countryside conservation	government agencies	17
protection of animal life	government agencies	17
risk prevention	government	17
wild mammal	strong sense of smell	18
marsupial	strong sense of smell	18
wildlife	strong sense of smell	18
wild mammal	strong sense of smell	18
bear	strong sense of smell	18
reptile	breathe through skin	18
bear	strong sense of smell	18
marsupial	strong sense of smell	18
marine mammal	ability to hold breath	18
marine mammal	highly developed sense of echolocation	18
wild mammal	good eyesight	18
fur-bearing animal	strong sense of smell	18
plant life	colors	19
polluted area	color	19
plant life	color	19
acidification	color change	19
animal resources	shelter	20
cyclone	shelter	20
animal resources	shelter	20
anti-pollution device	homes	20
natural hazard	shelter	20
cyclone	shelter	20
cyclone	shelter	20
protection of animals	sanctuaries	20
island	refuge	20
island	refugee	20
fur-bearing animal	shelter	20
national city park	shelters	20
island	refuge	20
animal resources	shelter	20
island	refuge	20
animal life	shelter	20
island	refugee camp	20
cyclone	shelter	20
reptile	hiding in burrows	21
animal life	burrowing	21
arid zone	burrowing	21
marine life	filter feeding	21
reptile	burrowing	21
rodent	burrowing	21
rodent	burrowing	21
animal life	burrowing	21
marine life	burrow	21
wildlife	camouflage	22
marine life	camouflage	22
wild mammal	camouflage	22
plant life	camouflage	22
fur-bearing animal	camouflage	22
wildlife	camouflage	22
animal life	camouflage	22
marine life	camouflage	22
reptile	camouflage	22
marine life	shell	23
inshore grounds	shell	23
animal life	shell	23
marine life	shells	23
marine life	shell	23
marine life	bioluminescence	24
chiroptera	night vision	24
marine life	bioluminescence	24
marine life	bioluminescent	24
marine mammal	streamlined body	25
marine life	amphibian	25
marine life	breathes through gills	25
marine mammal	streamlined	25
dolphin	aquatic	25
marine life	breathing with gills	25
dolphin	aquatic body	25
marine life	adapted to water	25
english channel	english channel swim	25
dolphin	agile	25
marine mammal	streamlined body for swimming	25
dolphin	fast	25
marine life	finned	25
marine mammal	eyes adapted to water	25
dolphin	fin	26
marine mammal	dorsal fin	26
marine life	fins	26
marine mammal	dorsal fin	26
marine mammal	dorsal fin	26
dolphin	fin	26
marine life	gills	26
animal life	fins	26
marine life	gills	26
marine life	fins	26
whale	dorsal fin	26
marine mammal	dorsal fin	26
dolphin	dorsal fin	26
dolphin	dorsal fin	26
dust	insulation	27
fur-bearing animal	insulation	27
marine mammal	insulation	27
marine mammal	blubber insulation	27
climate change policy	developing countries	28
deforestation	developing country	28
agricultural disaster	developing country	28
degradation of the environment	developing countries	28
reduction of gas emissions	developing countries	28
clean development mechanism	developing countries	28
destruction of crops	developing country	28
over-exploitation of resources	developing countries	28
export of waste	developing countries	28
industrial pollution	developing countries	28
exhaustion of resources	industrialized nations	28
exhaustion of resources	global scale	28
clean development mechanism	developing countries	28
clean development mechanism	developing countries	28
exhaustion of resources	developing countries	28
climate change	developing countries	28
exhaustion of resources	developing countries	28
water pollution	climate change	29
marine ecosystem	climate change	29
