concept	property	cluster_label
internet	online	0
atm	online	0
drive-in rack	accessing	0
ssh-1	remote login	0
automatic storage	offline	0
retrieval systems	offline	0
internet	using search engine	0
morris cdsw	offline	0
automatic storage	mobile access	0
automatic storage	24/7	0
internet	using apps	0
internet	through browser	0
internet	mobile phone	0
internet	using search engines	0
automatic storage	online access	0
automatic storage	mobile	0
internet	mobile	0
internet	browser	0
internet	with wi-fi	0
internet	tablet	0
internet	computer	0
internet	wirelessly	0
internet	mobile device	0
automatic storage	online	0
retrieval systems	online	0
retrieval systems	random access	1
retrieval systems	approximate match	1
retrieval systems	hash table	1
very small array	sequential access	1
retrieval systems	random	1
retrieval systems	hashed access	1
morris cdsw	random access	1
very small array	random access	1
morris cd	random access	1
very small array	random access	1
automatic storage	random access	1
very small array	sequential access	1
internet	through devices	2
atm	by card	2
automatic storage	slow	2
retrieval systems	local	2
automatic storage	local	2
atm	with card	2
internet	with password	2
retrieval systems	sequential	2
atm	with cash	2
retrieval systems	directory	2
atm	public	2
sliding rack	accessing	2
drive-in rack	accessing	2
small array	direct	2
small array	indirect	2
retrieval systems	precision	3
anemometer	reliable measurement	3
vane anemometer	reliable measurement	3
rotary index table	precise measurement	3
macrometer	precise measurement	3
hydrometer	precise measurement	3
energy analyser	accuracy	3
rotary index table	accuracy	3
ampere balance	accurate measurement	3
automated analyzer	accuracy	3
chronophone	accuracy	3
unit load formation equipment	accuracy	3
automated analyser	accuracy	3
cathetometer	accurate measurements	3
schlenk line	accurate measurement	3
graphometer	accurate measurements	3
hydrometer	accuracy	3
net radiometer	accurate measurements	3
hook gauge evaporimeter	accurate measurements	3
pyrheliometer	accurate measurements	3
cathetometer	accurate measurements	3
hypsometer	accurate measurements	3
combustion pipette	measuring in microliters	3
saccharimeter	accurate measurement	3
hook gauge evaporimeter	reliable measurements	3
odometer	measures in miles	3
vertometer	measures small angles	3
odometer	calibration required	3
retrieval systems	precision	3
conveyor	accuracy	3
balancer	accuracy	3
sortation conveyor	accuracy	3
cinetheodolite	accurate measurements	3
light gas gun	accuracy	3
pendulum	accuracy	3
vane anemometer	accurate readings	3
sound level meter	precision	3
heliometer	precise measurements	3
strainmeter	precise measurements	3
snickometer	precise measurements	3
rotary index table	accuracy	3
macrometer	accuracy	3
dynameter	low margin of error	3
odometer	measures distance accurately	3
weighing bottle	measurable	3
macrometer	precise measurements	3
lensmeter	precise measurement	3
cyanometer	precise measurement	3
vertometer	precise measurement	3
timing light	measurable	3
vane anemometer	precise measurement	3
anemometer	precise measurement	3
cathetometer	measures in degrees	3
heliometer	important for astronomy	3
pyrheliometer	precise measurement	3
time pressure gauge	precise measurement	3
hook gauge evaporimeter	precise measurement	3
clarity meter	precise measurement	3
wheel speed sensor	precise measurement	3
airspeed indicator	precise measurement	3
snickometer	precise measurement	3
tachometer	precise measurement	3
macrometer	precise measurement	3
hypsometer	precise measurement	3
odometer	precise measurement	3
mass interconnect	dimensional accuracy	3
industrial robot	high	4
retrieval systems	query response time	4
retrieval systems	response time	4
retrieval systems	f1 score	4
livermore optical transient imaging system	accurate	4
atom probe	precise analysis	4
identification equipment	dependent on data quality	4
retrieval systems	recall	4
industrial robot	repeatability	4
vane anemometer	reliable data	4
hook gauge evaporimeter	reliable data	4
automatic pressure tracking adiabatic calorimeter	reliable data	4
lensmeter	reliable results	4
light gas gun	repeatability	4
sysmex xe-2100	accurate results	4
interferometre	accurate distance measurements	4
machine vision	accurate inspection	4
industrial robot	low	4
hook gauge evaporimeter	reliable results	4
retrieval systems	accuracy	4
colony counter	reliable results	4
sclerometer	reliable results	4
ampere balance	reliable readings	4
glossmeter	repeatable results	4
twist compression tester	repeatable results	4
anemometer	low error margin	4
carbon dioxide sensor	low error margin	4
tachometer	low error margin	4
drosometer	low error margin	4
ampere balance	low error margin	4
palomar testbed interferometer	accurate	4
combustion pipette	reliable results	4
glossmeter	reliable results	4
mooney viscometer	reliable results	4
automated analyser	reliable results	4
automatic pressure tracking adiabatic calorimeter	reliable results	4
saccharimeter	reliable results	4
hydrometer	reliable results	4
c7p	good for basic tasks	4
hypsometer	reliable results	4
lensmeter	precise	5
clarity meter	precise	5
picture line-up generation equipment	precise	5
pilot direction indicator	precise	5
wheel speed sensor	fast response	5
sound level meter	calibrated for specific frequencies	5
carbon dioxide sensor	fast response	5
odometer	requires regular calibration	5
actinometer	reliable	5
nichols radiometer	precise	5
rapid dna	precise	5
glossmeter	precise	5
dynameter	precise	5
identification equipment	precise	5
airspeed indicator	precise	5
snickometer	precise	5
ampere balance	precise	5
weighing bottle	precise	5
positioning equipment	precise	5
automated analyser	precise	5
time pressure gauge	reliable	5
macrometer	precise	5
cathetometer	precise	5
nephelometer	precise	5
sysmex xe-2100	precise	5
sortation conveyor	precise	5
saccharimeter	reliable	5
sysmex xe-2100	reliable	5
tail-pulse generator	reliable	5
drosometer	precise	5
noise dosimeter	±1 db	5
methanometer	dependent on calibration	5
timing light	dependent on calibration	5
automated analyser	dependent on calibration	5
vertometer	dependent on calibration	5
permeameter	dependent on calibration	5
hypsometer	dependent on calibration	5
carbon dioxide sensor	±1-5%	5
pyrheliometer	low uncertainty	5
