concept	facet	property	facet_property
bird	abilities	swims	abilities: swims
bird	abilities	flies	abilities: flies
bird	abilities	sings	abilities: sings
bird	abilities	builds nest	abilities: builds nest
earmuffs	accessories	headband	accessories: headband
earmuffs	accessories	adjustable strap	accessories: adjustable strap
blender	accessories	spout	accessories: spout
blender	accessories	safety lid	accessories: safety lid
cell phone	accessories	case	accessories: case
cell phone	accessories	headphones	accessories: headphones
cell phone	accessories	charger	accessories: charger
blender	accessories	timer	accessories: timer
rifle	accuracy	precise	accuracy: precise
rifle	accuracy	high	accuracy: high
crossbow	accuracy	variable	accuracy: variable
crossbow	accuracy	high	accuracy: high
crossbow	accuracy	medium	accuracy: medium
crossbow	accuracy	low	accuracy: low
shotgun	action	slide-action	action: slide-action
pistol	action	single-shot	action: single-shot
pistol	action	revolver	action: revolver
pistol	action	semi-automatic	action: semi-automatic
revolver	action	trigger pull	action: trigger pull
revolver	action	double-action	action: double-action
revolver	action	single-action	action: single-action
shotgun	action	break-action	action: break-action
grenade	activation	timer	activation: timer
grenade	activation	pull pin	activation: pull pin
grenade	activation method	trigger	activation method: trigger
grenade	activation method	throw	activation method: throw
grenade	activation method	flick	activation method: flick
grenade	activation method	pull pin	activation method: pull pin
grenade	activation method	pulling pin	activation method: pulling pin
grenade	activation method	lever	activation method: lever
sled	activity	sliding	activity: sliding
sled	activity	racing	activity: racing
sled	activity	speed racing	activity: speed racing
sled	activity	tobogganing	activity: tobogganing
sled	activity	snow sledding	activity: snow sledding
woodpecker	adaptation	strong neck	adaptation: strong neck
salamander	adaptation	living in water	adaptation: living in water
woodpecker	adaptation	specialized beak	adaptation: specialized beak
walrus	adaptation	blubber	adaptation: blubber
walrus	adaptation	flippers	adaptation: flippers
turtle	adaptation	basking in sun	adaptation: basking in sun
otter	adaptation	webbed feet	adaptation: webbed feet
otter	adaptation	water-repellent fur	adaptation: water-repellent fur
turtle	adaptation	swimming	adaptation: swimming
turtle	adaptation	retreating into shell	adaptation: retreating into shell
salamander	adaptation	breathing through skin	adaptation: breathing through skin
walrus	adaptation	thick fur	adaptation: thick fur
seal	adaptations	flippers for swimming	adaptations: flippers for swimming
turtle	adaptations	webbed feet for swimming	adaptations: webbed feet for swimming
turtle	adaptations	flippers for swimming	adaptations: flippers for swimming
turtle	adaptations	shell for protection	adaptations: shell for protection
frog	adaptations	sticky tongue	adaptations: sticky tongue
frog	adaptations	camouflage	adaptations: camouflage
seagull	adaptations	water-resistant feathers	adaptations: water-resistant feathers
seal	adaptations	flippers	adaptations: flippers
seal	adaptations	streamlined body	adaptations: streamlined body
seal	adaptations	blubber	adaptations: blubber
seal	adaptations	blubber for insulation	adaptations: blubber for insulation
bird	adaptations	lightweight bones	adaptations: lightweight bones
bird	adaptations	sharp eyesight	adaptations: sharp eyesight
frog	adaptations	webbed feet	adaptations: webbed feet
bird	adaptations	strong wings	adaptations: strong wings
seagull	adaptations	salt-excreting glands	adaptations: salt-excreting glands
otter	adaptations	strong swimming ability	adaptations: strong swimming ability
otter	adaptations	webbed feet	adaptations: webbed feet
otter	adaptations	water-repellent fur	adaptations: water-repellent fur
sled	additional feature	handle	additional feature: handle
sled	additional feature	seat	additional feature: seat
sled	additional feature	brakes	additional feature: brakes
crossbow	advantages	accuracy	advantages: accuracy
crossbow	advantages	long-range	advantages: long-range
crossbow	advantages	powerful	advantages: powerful
microwave	advantages	fast cooking	advantages: fast cooking
microwave	advantages	easy to use	advantages: easy to use
lamb	age	baby	age: baby
lamb	age	sheep	age: sheep
lamb	age	young	age: young
lamb	age	newborn	age: newborn
lamb	age	immature	age: immature
crayon	age group	adults	age group: adults
tricycle	age group	children	age group: children
toy	age group	adult	age group: adult
toy	age group	child	age group: child
tricycle	age group	adults	age group: adults
buggy	age group	children	age group: children
crayon	age group	infants	age group: infants
toy	age group	infant	age group: infant
toy	age group	toddler	age group: toddler
crayon	age group	children	age group: children
buggy	age group	adults	age group: adults
toy	age range	adult	age range: adult
toy	age range	child	age range: child
toy	age range	infant	age range: infant
cheese	aged	short	aged: short
cheese	aged	no	aged: no
cheese	aged	yes	aged: yes
cheese	aged	long	aged: long
balloon	air-filled	no	air-filled: no
balloon	air-filled	yes	air-filled: yes
jet	aircraft part	tail	aircraft part: tail
jet	aircraft part	cockpit	aircraft part: cockpit
jet	aircraft part	wing	aircraft part: wing
