concept	facet	property	facet_property
island	access	accessible	access: accessible
use of water	access	tap water	access: tap water
use of water	access	well water	access: well water
use of water	access	bottled water	access: bottled water
nature reserve	access	public	access: public
nature reserve	access	by permit	access: by permit
nature reserve	access	restricted	access: restricted
national park	access	public	access: public
national park	access	private	access: private
inshore grounds	access	beach access	access: beach access
nature reserve	access	private	access: private
island	access	by boat	access: by boat
island	access	isolated	access: isolated
inshore grounds	access	pier	access: pier
national park	access	limited access	access: limited access
nature reserve	access	publicly accessible	access: publicly accessible
nature reserve	access	by permit only	access: by permit only
inshore grounds	access	boat launch	access: boat launch
national park	access	ranger station	access: ranger station
national park	access	trailhead	access: trailhead
national park	access	park entrance	access: park entrance
nature reserve	access	limited	access: limited
island	accessibility	accessible by plane	accessibility: accessible by plane
island	accessibility	remote	accessibility: remote
island	accessibility	isolated	accessibility: isolated
island	accessibility	connected by bridge	accessibility: connected by bridge
island	accessibility	accessible by boat	accessibility: accessible by boat
island	accessibility	connected by ferry	accessibility: connected by ferry
environmental indicator	actionable	yes	actionable: yes
environmental indicator	actionable	no	actionable: no
environmental protection	actions	sustainable living	actions: sustainable living
protection of plant life	actions	plant trees	actions: plant trees
protection of plant life	actions	reduce, reuse, recycle	actions: reduce, reuse, recycle
protection of animals	actions	adopting	actions: adopting
protection of animal life	actions	research	actions: research
protection of animal life	actions	relocation	actions: relocation
protection of animal life	actions	rehabilitation	actions: rehabilitation
protection of animal life	actions	adopting pets	actions: adopting pets
protection of animal life	actions	reporting animal abuse	actions: reporting animal abuse
protection of animal life	actions	donating to conservation	actions: donating to conservation
protection of animals	actions	volunteering	actions: volunteering
protection of animal life	actions	rescue	actions: rescue
environmental protection	actions	reducing carbon footprint	actions: reducing carbon footprint
protection of plant life	actions	support sustainable agriculture	actions: support sustainable agriculture
waste	actions	proper disposal	actions: proper disposal
waste	actions	recycle	actions: recycle
waste	actions	reuse	actions: reuse
waste	actions	reduce	actions: reduce
environmental protection	actions	turning off lights when not in use	actions: turning off lights when not in use
environmental protection	actions	using reusable bags	actions: using reusable bags
environment	actions	recycling	actions: recycling
environment	actions	conservation	actions: conservation
water protection	actions	report leaks	actions: report leaks
environment	actions	sustainability	actions: sustainability
environmental protection	actions	conserving water	actions: conserving water
protection of plant life	actions	avoid single-use plastics	actions: avoid single-use plastics
protection of plant life	actions	participate in clean-ups	actions: participate in clean-ups
environmental protection	actions	reduce	actions: reduce
environmental protection	actions	conservation	actions: conservation
protection of plant life	actions	conservation	actions: conservation
protection of plant life	actions	sustainability	actions: sustainability
fire protection	actions	evacuation	actions: evacuation
fire protection	actions	containment	actions: containment
fire protection	actions	suppression	actions: suppression
protection of plant life	actions	reforestation	actions: reforestation
environmental protection	actions	planting trees	actions: planting trees
water protection	actions	monitor water quality	actions: monitor water quality
water protection	actions	use eco-friendly products	actions: use eco-friendly products
protection of animals	actions	reporting abuse	actions: reporting abuse
protection of animals	actions	adopting animals	actions: adopting animals
environmental protection	actions	reducing plastic use	actions: reducing plastic use
protection of animals	actions	donating	actions: donating
protection of plant life	actions	recycling	actions: recycling
protection of plant life	actions	reducing waste	actions: reducing waste
protection of plant life	actions	sustainable practices	actions: sustainable practices
protection of plant life	actions	support conservation efforts	actions: support conservation efforts
protection of plant life	actions	use eco-friendly products	actions: use eco-friendly products
protection of plant life	actions	recycle	actions: recycle
protection of plant life	actions	reduce carbon footprint	actions: reduce carbon footprint
protection of plant life	actions	sustainable agriculture	actions: sustainable agriculture
environmental protection	actions	conservation efforts	actions: conservation efforts
environmental protection	actions	recycle	actions: recycle
water protection	actions	reduce water waste	actions: reduce water waste
environmental protection	actions	reuse	actions: reuse
environmental protection	actions	using public transportation	actions: using public transportation
protection of animals	actions	raising awareness	actions: raising awareness
water protection	actions	support conservation efforts	actions: support conservation efforts
environmental protection	actions	recycling	actions: recycling
water management	actions	water pricing	actions: water pricing
water protection	actions	reduce water usage	actions: reduce water usage
protection of animals	actions	adopting pets	actions: adopting pets
water management	actions	water metering	actions: water metering
environmental protection	actions	conserve water	actions: conserve water
water management	actions	water harvesting	actions: water harvesting
environmental protection	actions	reduce, reuse, recycle	actions: reduce, reuse, recycle
water protection	actions	water conservation	actions: water conservation
protection of animals	actions	rescue and rehabilitation	actions: rescue and rehabilitation
protection of animals	actions	adoption and fostering	actions: adoption and fostering
protection of animals	actions	research and conservation	actions: research and conservation
protection of animals	actions	reporting animal cruelty	actions: reporting animal cruelty
water protection	actions	water treatment	actions: water treatment
water protection	actions	protect water sources	actions: protect water sources
protection of animals	actions	donating to animal welfare	actions: donating to animal welfare
protection of plant life	actions	using eco-friendly products	actions: using eco-friendly products
water protection	actions	repair leaks	actions: repair leaks
conservation of resources	actions	implement recycling programs	actions: implement recycling programs
conservation of resources	actions	use renewable energy	actions: use renewable energy
water protection	actions	water reuse	actions: water reuse
conservation of resources	actions	reduce consumption	actions: reduce consumption
environmental protection	actions	reduce carbon footprint	actions: reduce carbon footprint
environmental protection	actions	use eco-friendly products	actions: use eco-friendly products
environmental protection	actions	plant trees	actions: plant trees
environmental protection	actions	use public transport	actions: use public transport
protected species	actions taken	reintroduction programs	actions taken: reintroduction programs
countryside conservation	actions taken	monitoring	actions taken: monitoring
countryside conservation	actions taken	research	actions taken: research
protected species	actions taken	conservation efforts	actions taken: conservation efforts
protected species	actions taken	habitat preservation	actions taken: habitat preservation
countryside conservation	actions taken	community engagement	actions taken: community engagement
countryside conservation	actions taken	education	actions taken: education
national city park	activities	hiking	activities: hiking
inshore grounds	activities	swimming	activities: swimming
national park	activities	swimming	activities: swimming
national park	activities	wildlife photography	activities: wildlife photography
