concept	facet	property	facet_property
anemometer	accuracy	highly accurate	accuracy: highly accurate
nephelometer	accuracy	high precision	accuracy: high precision
lensmeter	accuracy	precise	accuracy: precise
pilot direction indicator	accuracy	reliable	accuracy: reliable
weighing bottle	accuracy	highly accurate	accuracy: highly accurate
nephelometer	accuracy	sensitive to particle size	accuracy: sensitive to particle size
weighing bottle	accuracy	precise	accuracy: precise
anemometer	accuracy	precise measurement	accuracy: precise measurement
pilot direction indicator	accuracy	high	accuracy: high
positioning equipment	accuracy	high precision	accuracy: high precision
positioning equipment	accuracy	millimeter level	accuracy: millimeter level
pilot direction indicator	accuracy	precise	accuracy: precise
lensmeter	accuracy	highly accurate	accuracy: highly accurate
electronic data interchange	advantages	reduced errors	advantages: reduced errors
electronic data interchange	advantages	improved accuracy	advantages: improved accuracy
infinite-axis telescope	advantages	wider field of view	advantages: wider field of view
flat belt conveyor	advantages	efficient	advantages: efficient
infinite-axis telescope	advantages	increased resolution	advantages: increased resolution
multiple-effect evaporator	advantages	high concentration ratio	advantages: high concentration ratio
multiple-effect evaporator	advantages	energy efficient	advantages: energy efficient
uni-engine	advantages	lightweight	advantages: lightweight
pneumatic conveyor	advantages	increased efficiency	advantages: increased efficiency
pneumatic conveyor	advantages	reduced labor costs	advantages: reduced labor costs
flat belt conveyor	advantages	cost-effective	advantages: cost-effective
electronic data interchange	advantages	increased efficiency	advantages: increased efficiency
flat belt conveyor	advantages	easy to maintain	advantages: easy to maintain
pneumatic conveyor	advantages	cost-effective	advantages: cost-effective
electronic data interchange	advantages	improved communication	advantages: improved communication
electronic data interchange	advantages	faster processing	advantages: faster processing
pneumatic conveyor	advantages	efficient	advantages: efficient
petrographic microscope	advantages	accurate results	advantages: accurate results
petrographic microscope	advantages	high resolution	advantages: high resolution
infinite-axis telescope	advantages	accurate observations	advantages: accurate observations
infinite-axis telescope	advantages	wide field of view	advantages: wide field of view
uni-engine	advantages	affordable	advantages: affordable
tilt table	alternative name	adjustable medical table	alternative name: adjustable medical table
tilt table	alternative name	tilting examination table	alternative name: tilting examination table
positioning equipment	application	surveying	application: surveying
petrographic microscope	application	mineralogy	application: mineralogy
image-stabilized binoculars	application	astronomy	application: astronomy
electroscope	application	industrial quality control	application: industrial quality control
image-stabilized binoculars	application	birdwatching	application: birdwatching
magnetograph	application	space weather forecasting	application: space weather forecasting
magnetograph	application	astrophysics research	application: astrophysics research
infinite-axis telescope	application	astronomy research	application: astronomy research
image-stabilized binoculars	application	hunting	application: hunting
petrographic microscope	application	research	application: research
positioning equipment	application	construction	application: construction
petrographic microscope	application	geology	application: geology
electroscope	application	scientific research	application: scientific research
pneumatic conveyor	application	packaging	application: packaging
pneumatic conveyor	application	warehousing	application: warehousing
pneumatic conveyor	application	manufacturing	application: manufacturing
multiple-effect evaporator	application	wastewater treatment	application: wastewater treatment
infinite-axis telescope	application	space exploration	application: space exploration
positioning equipment	application	aviation	application: aviation
multiple-effect evaporator	application	food processing	application: food processing
vector magnetograph	application	space weather forecasting	application: space weather forecasting
vector magnetograph	application	astrophysics	application: astrophysics
multiple-effect evaporator	application	chemical industry	application: chemical industry
larmor neutron microscope	application	physics research	application: physics research
larmor neutron microscope	application	material science	application: material science
nephelometer	applications	air quality monitoring	applications: air quality monitoring
nephelometer	applications	climate research	applications: climate research
nephelometer	applications	cloud physics	applications: cloud physics
c7 processor	architecture	64-bit	architecture: 64-bit
c7 processor	architecture	7th generation	architecture: 7th generation
c7 processor	architecture	x86-64	architecture: x86-64
l'eplattenier helmet	associated with	french culture	associated with: french culture
l'eplattenier helmet	associated with	cycling history	associated with: cycling history
mathiole	availability	hard to find	availability: hard to find
mathiole	availability	limited	availability: limited
image-stabilized binoculars	benefit	reduced eye strain	benefit: reduced eye strain
image-stabilized binoculars	benefit	better image quality	benefit: better image quality
selective pallet rack	benefits	improved inventory management	benefits: improved inventory management
selective pallet rack	benefits	increased storage capacity	benefits: increased storage capacity
intermodal containers	benefits	cost-effective	benefits: cost-effective
intermodal containers	benefits	reusable	benefits: reusable
intermodal containers	benefits	efficient	benefits: efficient
ebro trucks	brand	ebro	brand: ebro
ebro trucks	brand	spanish	brand: spanish
meade lx200	brands	meade instruments	brands: meade instruments
esa space debris telescope	budget	€50 million	budget: €50 million
esa space debris telescope	budget	€100 million	budget: €100 million
galileoscope	category	telescope	category: telescope
c7 processor	category	microprocessor	category: microprocessor
combustion pipette	category	chemistry tool	category: chemistry tool
galileoscope	category	optical instrument	category: optical instrument
meade lx200	category	optical instrument	category: optical instrument
meade lx200	category	astronomy	category: astronomy
meade lx200	category	telescope	category: telescope
combustion pipette	category	science equipment	category: science equipment
morris c8	category	sports car	category: sports car
anemometer	category	measurement	category: measurement
anemometer	category	instrument	category: instrument
c7 processor	category	cpus	category: cpus
mathiole	category	rare fruit	category: rare fruit
mathiole	category	type of fruit	category: type of fruit
banana	category	fruit	category: fruit
banana	category	healthy snack	category: healthy snack
banana	category	food	category: food
larmor neutron microscope	category	scientific instrument	category: scientific instrument
larmor neutron microscope	category	microscope	category: microscope
larmor neutron microscope	category	research tool	category: research tool
infinite-axis telescope	category	optical instrument	category: optical instrument
infinite-axis telescope	category	astronomy tool	category: astronomy tool
galileoscope	category	astronomy	category: astronomy
morris c8	category	car	category: car
c7 processor	category	computer hardware	category: computer hardware
anemometer	category	weather	category: weather
morris c8	category	electric vehicle	category: electric vehicle
riot protection helmet	certifications	niosh	certifications: niosh
riot protection helmet	certifications	osha	certifications: osha
riot protection helmet	certifications	european standards	certifications: european standards
infinite-axis telescope	challenges	complex design	challenges: complex design
infinite-axis telescope	challenges	difficulty in construction	challenges: difficulty in construction
infinite-axis telescope	challenges	high manufacturing costs	challenges: high manufacturing costs
electronic data interchange	characteristics	electronic	characteristics: electronic
electronic data interchange	characteristics	secure	characteristics: secure
electronic data interchange	characteristics	machine-readable	characteristics: machine-readable
electronic data interchange	characteristics	standardized format	characteristics: standardized format
electronic data interchange	characteristics	structured data	characteristics: structured data
electronic data interchange	characteristics	standardized	characteristics: standardized
electronic data interchange	characteristics	real-time	characteristics: real-time
southern african large telescope	collaboration	south africa	collaboration: south africa
southern african large telescope	collaboration	italy	collaboration: italy
esa space debris telescope	collaboration	european union	collaboration: european union
esa space debris telescope	collaboration	space agencies	collaboration: space agencies
esa space debris telescope	collaboration	european space agency	collaboration: european space agency
southern african large telescope	collaboration	germany	collaboration: germany
southern african large telescope	collaboration	england	collaboration: england
banana	color	yellow	color: yellow
banana	color	green	color: green
weighing bottle	commonly found in	laboratory	commonly found in: laboratory
weighing bottle	commonly found in	pharmacy	commonly found in: pharmacy
weighing bottle	commonly found in	kitchen	commonly found in: kitchen
larmor neutron microscope	component	neutron source	component: neutron source
larmor neutron microscope	component	magnetic coils	component: magnetic coils
positioning equipment	component	receiver	component: receiver
larmor neutron microscope	component	detector	component: detector
positioning equipment	component	antenna	component: antenna
positioning equipment	component	transmitter	component: transmitter
disdrometer	components	drop counter	components: drop counter
disdrometer	components	velocity sensor	components: velocity sensor
meade lx200	components	hand controller	components: hand controller
meade lx200	components	mount	components: mount
meade lx200	components	optical tube assembly	components: optical tube assembly
half-mile telescope	components	optical system	components: optical system
disdrometer	components	rain gauge	components: rain gauge
electroscope	components	metallic sphere	components: metallic sphere
electroscope	components	insulating material	components: insulating material
half-mile telescope	components	mirror	components: mirror
anemometer	components	vanes	components: vanes
anemometer	components	propellers	components: propellers
anemometer	components	cups	components: cups
multiple-effect evaporator	components	pumps	components: pumps
multiple-effect evaporator	components	condenser	components: condenser
multiple-effect evaporator	components	heat exchanger	components: heat exchanger
pneumatic conveyor	components	conveyor belt	components: conveyor belt
pneumatic conveyor	components	air blower	components: air blower
pneumatic conveyor	components	control system	components: control system
petrographic microscope	components	lens	components: lens
petrographic microscope	components	stage	components: stage
petrographic microscope	components	objective	components: objective
infinite-axis telescope	components	mount	components: mount
half-mile telescope	components	lens	components: lens
electroscope	components	hairs or threads	components: hairs or threads
lensmeter	components	meter	components: meter
magnetograph	components	sensors	components: sensors
magnetograph	components	magnetometers	components: magnetometers
magnetograph	components	data analysis software	components: data analysis software
lensmeter	components	scale	components: scale
combustion pipette	components	pipette	components: pipette
infinite-axis telescope	components	lens	components: lens
infinite-axis telescope	components	mirror	components: mirror
infinite-axis telescope	components	eyepiece	components: eyepiece
lensmeter	components	lens	components: lens
zymoscope	components	glass tube	components: glass tube
zymoscope	components	indicator	components: indicator
combustion pipette	components	measuring scale	components: measuring scale
zymoscope	components	buffer solution	components: buffer solution
combustion pipette	components	flame source	components: flame source
dutch open telescope	construction	open	construction: open
dutch open telescope	construction	wooden	construction: wooden
dutch open telescope	construction	built in 1869	construction: built in 1869
advanced crew escape suit	context	space mission	context: space mission
advanced crew escape suit	context	space exploration	context: space exploration
