concept	facet	property	facet_property
personality	abilities	practical	abilities: practical
personality	abilities	creative	abilities: creative
personality	abilities	analytical	abilities: analytical
personality	abilities	communicative	abilities: communicative
eugenics	abolition	after world war ii	abolition: after world war ii
eugenics	abolition	due to holocaust	abolition: due to holocaust
ethnography	academic discipline	cultural studies	academic discipline: cultural studies
ethnography	academic discipline	anthropology	academic discipline: anthropology
sociology	academic discipline	social sciences	academic discipline: social sciences
ethnography	academic discipline	social sciences	academic discipline: social sciences
sociology	academic discipline	study of human behavior	academic discipline: study of human behavior
ethnography	academic field	sociology	academic field: sociology
criminology	academic field	social science	academic field: social science
criminology	academic field	law enforcement	academic field: law enforcement
criminology	academic field	study of crime	academic field: study of crime
criminology	academic field	social sciences	academic field: social sciences
criminology	academic field	human behavior	academic field: human behavior
ethnography	academic field	social sciences	academic field: social sciences
ethnography	academic field	anthropology	academic field: anthropology
sexuality	acceptance	accepting	acceptance: accepting
sexuality	acceptance	tolerant	acceptance: tolerant
sexuality	acceptance	socially rejected	acceptance: socially rejected
sexuality	acceptance	societal	acceptance: societal
sexuality	acceptance	personal	acceptance: personal
sexuality	acceptance	socially accepted	acceptance: socially accepted
sexuality	acceptance	rejecting	acceptance: rejecting
sexuality	acceptance	stigmatized	acceptance: stigmatized
sexuality	acceptance	historical	acceptance: historical
sexuality	acceptance	rejection	acceptance: rejection
sexuality	acceptance	legally recognized	acceptance: legally recognized
sexuality	acceptance	judgmental	acceptance: judgmental
sexuality	acceptance	legally restricted	acceptance: legally restricted
biometrics	accuracy	dependent on user	accuracy: dependent on user
biometrics	accuracy	high	accuracy: high
biometrics	accuracy	dependent on circumstances	accuracy: dependent on circumstances
biometrics	accuracy	dependent on technology	accuracy: dependent on technology
metrology	accuracy	high precision	accuracy: high precision
metrology	accuracy	low tolerance	accuracy: low tolerance
biometrics	accuracy	medium	accuracy: medium
biometrics	accuracy	low	accuracy: low
biometrics	accuracy	dependent on quality	accuracy: dependent on quality
alexander the great	achievements	conquered vast territories	achievements: conquered vast territories
alexander the great	achievements	conquering vast territories	achievements: conquering vast territories
alexander the great	achievements	creating a vast empire	achievements: creating a vast empire
prehistoric	achievements	control of fire	achievements: control of fire
alexander the great	achievements	spread of greek culture	achievements: spread of greek culture
alexander the great	achievements	founding cities	achievements: founding cities
alexander the great	achievements	spreading greek culture	achievements: spreading greek culture
alexander the great	achievements	founded cities	achievements: founded cities
prehistoric	achievements	development of agriculture	achievements: development of agriculture
prehistoric	achievements	construction of monuments	achievements: construction of monuments
george washington	achievements	winning the american revolutionary war	achievements: winning the american revolutionary war
prehistoric	achievements	building monumental architecture	achievements: building monumental architecture
prehistoric	achievements	developing agriculture	achievements: developing agriculture
alexander the great	achievements	spread greek culture	achievements: spread greek culture
george washington	achievements	establishing the us government	achievements: establishing the us government
language	acquisition	learned	acquisition: learned
language	acquisition	inherited	acquisition: inherited
language	acquisition	taught	acquisition: taught
language	acquisition	infant	acquisition: infant
living language	acquisition	language acquisition device	acquisition: language acquisition device
language	acquisition	child	acquisition: child
living language	acquisition	language education	acquisition: language education
bilingualism	acquisition	early childhood	acquisition: early childhood
bilingualism	acquisition	immersion	acquisition: immersion
living language	acquisition	learning process	acquisition: learning process
bilingualism	acquisition	language classes	acquisition: language classes
language	acquisition	acquired	acquisition: acquired
bilingualism	acquisition	family influence	acquisition: family influence
bilingualism	acquisition	through language classes	acquisition: through language classes
bilingualism	acquisition	learned in childhood	acquisition: learned in childhood
bilingualism	acquisition	acquired through education	acquisition: acquired through education
language	acquisition	natural	acquisition: natural
bilingualism	acquisition	through education	acquisition: through education
bilingualism	acquisition	through immersion	acquisition: through immersion
bilingualism	acquisition	later in life	acquisition: later in life
language	acquisition	adult	acquisition: adult
language	acquisition	native	acquisition: native
bilingualism	acquisition	through family	acquisition: through family
living language	acquisition	learned	acquisition: learned
bilingualism	acquisition	through self-study	acquisition: through self-study
bilingualism	acquisition	early exposure	acquisition: early exposure
living language	acquisition	taught	acquisition: taught
language	acquisition	developed	acquisition: developed
living language	acquisition	cultivated	acquisition: cultivated
multilingualism	acquisition methods	immersion	acquisition methods: immersion
multilingualism	acquisition methods	language courses	acquisition methods: language courses
multilingualism	acquisition methods	education	acquisition methods: education
enzyme	activation	require cofactor	activation: require cofactor
enzyme	activation	influenced by ph	activation: influenced by ph
enzyme	activation	require specific temperature	activation: require specific temperature
enzyme	activation	temperature	activation: temperature
enzyme	activation	require cofactors	activation: require cofactors
enzyme	activation	activated by substrate binding	activation: activated by substrate binding
enzyme	activation	requires specific conditions	activation: requires specific conditions
enzyme	activation	requires cofactor	activation: requires cofactor
enzyme	activation	ph	activation: ph
enzyme	activation	require specific conditions	activation: require specific conditions
enzyme	activity	sensitive to ph	activity: sensitive to ph
enzyme	activity	dependent on temperature	activity: dependent on temperature
enzyme	activity	specific to substrate	activity: specific to substrate
astronautics	activity	landing	activity: landing
astronautics	activity	orbiting	activity: orbiting
astronautics	activity	launching	activity: launching
geopolitics	actors	leaders	actors: leaders
geopolitics	actors	politicians	actors: politicians
geopolitics	actors	organizations	actors: organizations
geopolitics	actors	governments	actors: governments
geopolitics	actors	military	actors: military
geopolitics	actors	bureaucrats	actors: bureaucrats
geopolitics	actors	diplomats	actors: diplomats
geopolitics	actors	corporations	actors: corporations
geopolitics	actors	ngos	actors: ngos
politics	actors	lobby groups	actors: lobby groups
geopolitics	actors	states	actors: states
geopolitics	actors	non-governmental organizations	actors: non-governmental organizations
geopolitics	actors	countries	actors: countries
politics	actors	citizens	actors: citizens
geopolitics	actors	non-state actors	actors: non-state actors
politics	actors	bureaucrats	actors: bureaucrats
geopolitics	actors	international organizations	actors: international organizations
politics	actors	leaders	actors: leaders
geopolitics	actors	nations	actors: nations
politics	actors	interest groups	actors: interest groups
politics	actors	politicians	actors: politicians
geopolitics	actors in	international organizations	actors in: international organizations
geopolitics	actors in	governments	actors in: governments
geopolitics	actors in	non-state actors	actors in: non-state actors
