********************
**gold_taxo_property: applied sciences
**gold_taxo_cons: ['agronomy', 'cybernetics', 'electrotechnology', 'industrial chemistry', 'information science', 'mathematics', 'metrology']
**best_jaccard_index: 0.375
**best_jaccard_clusters: [134]
**cluster_label: 134
**predicted_cluster_con: ['albert einstein', 'cybernetics', 'mathematics', 'metrology']
**predicted_cluster_prop: ['mathematics' 'topology' 'applied mathematics' 'algebra' 'geometry'
 'calculus' 'arithmetic' 'number theory' 'pure mathematics']
**con_intersection: ['cybernetics', 'mathematics', 'metrology']
**extra_cons_in_predicted_cluster: ['albert einstein']

********************
**gold_taxo_property: mathematics
**gold_taxo_cons: ['biometrics']
**best_jaccard_index: 1.0
**best_jaccard_clusters: [0, 27, 28, 95, 662, 710]
**cluster_label: 0
**predicted_cluster_con: ['biometrics']
**predicted_cluster_prop: ['high' 'low' 'medium']
**con_intersection: ['biometrics']
**extra_cons_in_predicted_cluster: []

**cluster_label: 27
**predicted_cluster_con: ['biometrics']
**predicted_cluster_prop: ['border control']
**con_intersection: ['biometrics']
**extra_cons_in_predicted_cluster: []

**cluster_label: 28
**predicted_cluster_con: ['biometrics']
**predicted_cluster_prop: ['authentication']
**con_intersection: ['biometrics']
**extra_cons_in_predicted_cluster: []

**cluster_label: 95
**predicted_cluster_con: ['biometrics']
**predicted_cluster_prop: ['access control']
**con_intersection: ['biometrics']
**extra_cons_in_predicted_cluster: []

**cluster_label: 662
**predicted_cluster_con: ['biometrics']
**predicted_cluster_prop: ['scanner' 'iris scan']
**con_intersection: ['biometrics']
**extra_cons_in_predicted_cluster: []

**cluster_label: 710
**predicted_cluster_con: ['biometrics']
**predicted_cluster_prop: ['facial recognition' 'face recognition']
**con_intersection: ['biometrics']
**extra_cons_in_predicted_cluster: []

********************
**gold_taxo_property: earth sciences
**gold_taxo_cons: ['cindynics', 'geography', 'geology', 'geomorphology', 'hydrology', 'meteorology', 'oceanography', 'soil science']
**best_jaccard_index: 0.5
**best_jaccard_clusters: [1107]
**cluster_label: 1107
**predicted_cluster_con: ['geography', 'geomorphology', 'hydrology', 'oceanography']
**predicted_cluster_prop: ['ocean' 'oceans']
**con_intersection: ['geography', 'geomorphology', 'hydrology', 'oceanography']
**extra_cons_in_predicted_cluster: []

********************
**gold_taxo_property: geography
**gold_taxo_cons: ['cartography', 'cultural geography', 'economic geography', 'geographical information system', 'historical geography', 'human geography', 'political geography', 'regional geography']
**best_jaccard_index: 0.75
**best_jaccard_clusters: [87]
**cluster_label: 87
**predicted_cluster_con: ['cartography', 'economic geography', 'geographical information system', 'historical geography', 'human geography', 'political geography']
**predicted_cluster_prop: ['gis' 'spatial data' 'mobile gis' 'web gis' 'gis mapping' 'gis software']
**con_intersection: ['cartography', 'economic geography', 'geographical information system', 'historical geography', 'human geography', 'political geography']
**extra_cons_in_predicted_cluster: []

********************
**gold_taxo_property: geology
**gold_taxo_cons: ['geochemistry', 'geophysics', 'hydrogeology', 'mineralogy', 'petrology', 'sedimentology', 'seismology', 'volcanology']
**best_jaccard_index: 0.75
**best_jaccard_clusters: [66]
**cluster_label: 66
