****** Processing facet_no: 0, facet: industry, facet_count: 39 ******
property 	 cluster_label
transportation 	 0
aviation 	 0
freight 	 0
transportation authorities 	 0
logistics 	 1
supply chain 	 1
warehousing 	 1
manufacturing 	 1
maritime 	 1
mining 	 1
trucking 	 1
logistics companies 	 1
software development 	 2
cloud computing 	 2
oil refining 	 2
it 	 3
shipping 	 3
trade 	 3
energy 	 3
construction 	 3
logging 	 3
shipping companies 	 3
delivery 	 3
petrochemical 	 4
agriculture 	 4
****** Finished processing facet: industry ******


****** Processing facet_no: 1, facet: type, facet_count: 320 ******
property 	 cluster_label
freight 	 0
freight forwarder 	 0
freighter 	 0
freight rail 	 0
freeway 	 0
walking 	 1
running 	 1
jumping 	 1
floating 	 1
swimming 	 2
fishing 	 2
ferry 	 2
fishing gear 	 2
vessel 	 3
diesel 	 3
plastic 	 3
buoy 	 3
yacht 	 3
military 	 3
beacon 	 3
sailboat 	 3
bacteria 	 3
virus 	 3
analog 	 3
submarine 	 3
automobile 	 3
cognitive 	 3
cement 	 3
tram 	 4
ship 	 4
boat 	 4
raft 	 4
vehicle 	 4
wagon 	 4
car 	 4
truck 	 4
marine 	 4
lake 	 4
river 	 4
pond 	 4
sea 	 4
plane 	 4
bike 	 4
road 	 4
coal 	 4
transportation 	 5
transportation vehicle 	 5
transportation company 	 5
railway infrastructure 	 5
transportation system 	 5
regulatory body 	 5
maritime transportation 	 5
jet fuel 	 6
jet ski 	 6
jet engine 	 6
internal combustion 	 6
recreational 	 7
recreational area 	 7
exploratory 	 7
sensory 	 7
beach 	 8
canoe 	 8
fungus 	 8
canal 	 8
tramcar 	 9
boxcar 	 9
flatcar 	 9
carriage 	 9
bus stop 	 9
winch 	 9
standard hatch 	 9
passenger 	 10
tourist 	 10
watercraft 	 10
waterway 	 10
freshwater 	 10
subway station 	 10
highway 	 10
crossroads 	 10
roundabout 	 10
emergency hatch 	 10
oceanic 	 11
coastal 	 11
ocean-going 	 11
oceanographic 	 11
ocean 	 11
horse-drawn 	 12
ox-drawn 	 12
donkey-drawn 	 12
containerized 	 13
