facet	count
applications	378
related to	336
skills	221
related concepts	206
roles	195
engine	177
parts	167
characteristic	149
atmosphere	143
scale	138
portability	137
organization	124
placement	124
type of vehicle	121
vessels	117
visibility	115
modes	112
personnel	109
gauge	108
enforcement	103
fields	102
result	102
requirements	100
involved parties	97
measurement	97
outcomes	97
weight	96
transported by	91
business model	90
outputs	90
services offered	89
physical structure	88
target	85
reliability	83
state	80
animal	80
operating system	79
installation	78
required for	78
transmission	76
economy	73
concerns	73
coverage area	72
water quality	71
inputs	71
common applications	71
furniture	71
principles	70
outcome	69
transportation modes	68
tool	66
event	66
type of vessel	66
design consideration	66
form	65
common use	64
issuing authority	63
example of	62
maintained by	62
aircraft	61
skills required	61
classification	61
objective	60
safety concerns	59
accuracy	59
causes	59
physical characteristic	58
document type	58
operating hours	58
physical properties	58
types of ships	57
output	57
depth	57
owned by	57
common uses	57
operating principle	56
field	55
historical context	53
task	53
commonly found in	53
industries	52
tasks	51
operational	51
network	51
physical characteristics	50
types of information	49
purposes	48
production method	48
activity	48
geographical feature	48
terrain	47
route network	47
person	46
cargo capacity	46
job	46
mathematical concept	45
model	45
equipment used	45
objects	45
cause	44
economic importance	43
types of goods	43
operational range	43
located in	43
engineering feat	42
managed by	42
orientation	40
popularity	40
use case	39
body parts involved	39
domains	39
operational environment	39
provider	39
products	38
consequences of mishandling	38
disease causing	38
revenue	38
documents required	37
headquarters	37
method of payment	37
variations	37
participants	36
operating area	36
revenue streams	36
stages	36
attachment	35
construction method	35
type of ship	35
number of seats	34
attributes	34
revenue stream	34
communication methods	34
standardization	34
engineering	34
use cases	33
logistics	33
pressure	33
input method	33
track	33
services provided	33
traffic management	33
standard	32
evaluation	32
related concept	32
production process	32
equivalent to	31
domain	31
operational area	31
commonly used in	30
safety measures	29
revenue model	29
formation	29
settings	29
in context of	29
planning	29
different from	28
construction material	28
procedures	28
operational scope	28
players	28
expiration	27
output method	27
involvement	27
powers	27
consequence	27
located on	27
geometry	27
consequences of non-compliance	27
vessel type	27
alternative	27
education	27
alternative names	27
found at	27
materials used	26
controllers' roles	26
compared to	26
hazards	26
altitude	26
connectivity	26
boundary	26
safety concern	25
power	25
relation	25
luxury	25
developed by	25
operators	25
departments	25
fleet size	24
stage	24
development	24
information	24
smell	24
sources	23
technique	23
installed at	23
operating model	23
measures	22
signaling	22
interactions	22
factors	22
design features	22
information contained	21
route length	21
departure time	21
signal strength	21
design considerations	21
power output	21
price	21
aspect	21
physical location	21
common in	21
types of transportation	21
popular brands	21
component of	21
loading	21
storage conditions	21
transportation mode	21
basis	21
regulated by	20
required skills	20
muscles involved	20
types of	20
