|concept|facet_property|cluster_label
0|cab car|type: tram|0
1|gallery car|type: tram|0
2|local transit system|type: tram|0
3|rail transportation system|type: tram|0
4|railway vehicle|type: tram|0
5|rolling stock|type: tram|0
6|train assembly|type: tram|0
7|transit route|type: tram|0
8|transit stop|type: tram|0
9|transit stop|transportation type: tram|0
10|electrified railway|equipment: electric tram|0
11|local transit system|vehicle type: tram|0
12|mode of transit|examples: trolley|0
13|mode of transit|examples: trolleybus|0
14|transit stop|transportation: tram|0
15|railway vehicle|type: tramcar|0
16|track gauge|uses: tramway|0
17|electrified railway|operation: electric tram|0
18|standard gauge railway|features: tram|0
19|track gauge|uses: tram|0
20|local transit system|mode of transport: tram|0
21|rail transportation system|mode of transport: tram|0
22|local transit system|vehicle: tram|0
23|local transit system|vehicles: trams|0
24|local transit system|vehicle type: trams|0
25|transitway|vehicle type: trams|0
26|mode of transit|examples: tram|0
27|mode of transit|examples: tramway|0
28|transitway|type: streetcar|0
29|local transit system|mode of transportation: tram|0
30|transit route|mode of transportation: tram|0
31|standard gauge railway|types: tramway|0
32|transitway|types: tramway|0
33|local transit system|mode: tram|0
34|rail transportation system|mode: tram|0
35|transit route|mode: tram|0
36|transportation device|mode: tram|0
37|transportation system|mode: tram|0
38|local transit system|vehicle type: tram car|0
39|railway vehicle|type: trolley|0
40|track gauge|used in: tram|0
41|land area|comparison: large|1
42|container terminal|size: mega|1
43|drilling ship|design: large|1
44|electric device|design: large|1
45|fishing trawler|design: large|1
46|truck trailer|design: large|1
47|railroad bridge|size: high|1
48|railroad track|size: high|1
49|refrigerated compartment|size range: large|1
50|rocket engine|size range: large|1
51|petroleum product pipeline|size: large diameter|1
52|airport classification|size: major|1
53|major air carrier|size: major|1
54|full size van|size: extra large|1
55|land vehicle|size: extra large|1
56|outfit car|size: extra large|1
57|container ship|size: hulking|1
58|ore carrier ship|size: hulking|1
59|head end car|characteristics: larger|1
60|partial container ship|size: medium to large|1
61|tractor trailer|characteristics: big|1
62|bulk cargo|characteristics: large|1
63|cab car|characteristics: large|1
64|commercial airport|characteristics: large|1
65|crane ship|characteristics: large|1
66|deck cargo|characteristics: large|1
67|deck crane|characteristics: large|1
68|deepwater port|characteristics: large|1
69|flatcar|characteristics: large|1
70|flight deck|characteristics: large|1
71|freight car|characteristics: large|1
72|freighter|characteristics: large|1
73|gallery car|characteristics: large|1
74|hangar bay|characteristics: large|1
75|hopper dredger|characteristics: large|1
76|international airport|characteristics: large|1
77|jet airplane|characteristics: large|1
78|offshore support ship|characteristics: large|1
79|petroleum tanker ship|characteristics: large|1
80|pusher tug|characteristics: large|1
81|rolling stock|characteristics: large|1
82|ship hold|characteristics: large|1
83|terminal building|characteristics: large|1
84|tractor trailer|characteristics: large|1
85|water transportation system|characteristics: large|1
86|truck trailer|design: large size|1
87|hangar bay|characteristic: large|1
88|canal lock gate|size: can be large|1
89|chemical tanker ship|size: can be large|1
90|coach railcar|size: can be large|1
91|fire engine|size: can be large|1
92|passenger railway car|size: can be large|1
93|truck trailer|size: can be large|1
94|navigation buoy|size: typically 1-10 meters|1
95|pusher tug|features: large size|1
96|canal system|size: largest|1
97|fire boat|size: typically large|1
98|fuel tank|size: typically large|1
99|navigation buoy|size: typically large|1
100|partial container ship|size: typically large|1
101|registry ton|typical size: large|1
102|transit shelter|typical size: large|1
103|fire engine|size: big|1
104|freighter|size: big|1
105|truck tractor|size: big|1
106|water area|size: big|1
107|watercraft|size: big|1
108|head end car|physical characteristics: large size|1
109|pusher tug|physical characteristics: large size|1
110|scale test car|features: large|1
111|whaling ship|features: large|1
112|airport classification|size: large|1
113|bulk cargo|size: large|1
114|bulkhead|size: large|1
115|cab car|size: large|1
116|cable ship|size: large|1
117|canal|size: large|1
118|canal lock|size: large|1
119|canal lock gate|size: large|1
120|canal structure|size: large|1
121|canal system|size: large|1
122|cargo container|size: large|1
123|cargo ship|size: large|1
124|chemical tanker ship|size: large|1
125|coach railcar|size: large|1
126|commercial airport|size: large|1
127|commercial carrier|size: large|1
128|commercial shipping|size: large|1
129|container ship|size: large|1
130|container terminal|size: large|1
131|crane ship|size: large|1
132|crew list|size: large|1
133|deck cargo|size: large|1
134|deck crane|size: large|1
135|deepwater port|size: large|1
136|dining car|size: large|1
137|drilling ship|size: large|1
138|dry bulk cargo|size: large|1
139|electric device|size: large|1
140|electric motor|size: large|1
141|electronic device|size: large|1
142|emergency road vehicle|size: large|1
143|emergency vehicle|size: large|1
144|fire boat|size: large|1
145|fire engine|size: large|1
146|fish factory ship|size: large|1
147|fishing boat|size: large|1
148|fishing trawler|size: large|1
149|fishing vessel|size: large|1
150|flatcar|size: large|1
151|flight deck|size: large|1
152|freight car|size: large|1
153|freighter|size: large|1
154|fuel tank|size: large|1
155|full size van|size: large|1
156|gallery car|size: large|1
157|general cargo ship|size: large|1
158|government organization|size: large|1
159|hangar bay|size: large|1
160|head end car|size: large|1
161|hopper dredger|size: large|1
162|international airport|size: large|1
163|jet airplane|size: large|1
164|jet engine|size: large|1
165|land area|size: large|1
166|land vehicle|size: large|1
167|light fixture|size: large|1
168|light truck|size: large|1
169|lighter|size: large|1
170|major air carrier|size: large|1
171|material handling equipment|size: large|1
172|military watercraft|size: large|1
173|minivan|size: large|1
174|motor scooter|size: large|1
175|navigation buoy|size: large|1
176|navigation light|size: large|1
177|ocean liner|size: large|1
178|offshore supply ship|size: large|1
179|offshore support ship|size: large|1
180|ore carrier ship|size: large|1
181|outfit car|size: large|1
182|parking garage|size: large|1
183|partial container ship|size: large|1
184|passenger car|size: large|1
185|passenger railway car|size: large|1
186|passenger ship|size: large|1
187|personal watercraft|size: large|1
188|petroleum product pipeline|size: large|1
189|petroleum tanker ship|size: large|1
190|pier|size: large|1
191|port crane|size: large|1
192|port facility|size: large|1
193|portable bridge|size: large|1
194|private railcar|size: large|1
195|propeller airplane|size: large|1
196|pusher tug|size: large|1
197|radar facility|size: large|1
198|railcar carrier ship|size: large|1
199|railroad bridge|size: large|1
200|railroad company|size: large|1
201|railway junction|size: large|1
202|railway vehicle|size: large|1
203|refrigerated compartment|size: large|1
204|registry ton|size: large|1
205|research ship|size: large|1
206|river port|size: large|1
207|road vehicle|size: large|1
208|rocket engine|size: large|1
209|rolling stock|size: large|1
210|scale test car|size: large|1
211|ship berth|size: large|1
212|ship berthing|size: large|1
213|ship cabin|size: large|1
214|ship compartment|size: large|1
215|ship deck|size: large|1
216|ship hatch|size: large|1
217|ship hold|size: large|1
218|ship hull|size: large|1
219|spine car|size: large|1
220|sport utility vehicle|size: large|1
221|tank car|size: large|1
222|terminal building|size: large|1
223|tractor trailer|size: large|1
224|traffic light|size: large|1
225|traffic signal|size: large|1
226|train assembly|size: large|1
227|transit shelter|size: large|1
228|transit terminal|size: large|1
229|transportation company|size: large|1
230|transportation device|size: large|1
231|truck tractor|size: large|1
232|truck trailer|size: large|1
233|tugboat|size: large|1
234|turboprop airplane|size: large|1
235|vehicle carrier ship|size: large|1
236|vehicle wheel|size: large|1
237|water area|size: large|1
238|water transportation system|size: large|1
239|watercraft|size: large|1
240|waterway junction|size: large|1
241|whaling ship|size: large|1
242|international airport|characteristics: largest|1
243|international airport|types: large|1
244|ship berthing|types: large|1
245|crane ship|characteristics: large size|1
246|deepwater port|characteristics: large size|1
247|freight car|characteristics: large size|1
248|hopper dredger|characteristics: large size|1
249|scale test car|characteristics: large size|1
250|tractor trailer|characteristics: large size|1
251|container ship|type: large|1
252|diesel engine|type: large|1
253|fishing boat|type: large|1
254|freighter|type: large|1
255|ocean liner|type: large|1
256|ship hatch|type: large|1
257|truck tractor|type: large|1
258|vehicle carrier ship|type: large|1
259|navigation buoy|size: typically small|2
260|land area|comparison: small|2
261|coach railcar|size: can be small|2
262|fire engine|size: can be small|2
263|passenger railway car|size: can be small|2
264|fishing boat|type: small|2
265|fishing vessel|type: small|2
