****** Processing facet_no: 0, facet: industry, facet_count: 39 ******
property 	 cluster_label
trucking 	 2
transportation 	 0
logistics 	 0
it 	 0
oil refining 	 0
aviation 	 0
shipping 	 0
freight 	 0
trade 	 0
maritime 	 0
mining 	 0
energy 	 0
logging 	 0
logistics companies 	 0
shipping companies 	 0
delivery 	 0
supply chain 	 -1
software development 	 -1
cloud computing 	 -1
petrochemical 	 -1
warehousing 	 -1
manufacturing 	 -1
agriculture 	 -1
construction 	 -1
transportation authorities 	 -1


****** Processing facet_no: 1, facet: type, facet_count: 320 ******
property 	 cluster_label
commuter rail 	 100
commuter 	 100
stratosphere 	 95
troposphere 	 95
mesosphere 	 95
thermosphere 	 95
fishing 	 93
fishing gear 	 93
exploratory 	 90
diplomatic 	 84
pulley 	 81
explosive 	 80
regional airliner 	 73
waterway 	 52
off-road vehicle 	 49
propeller-driven 	 37
police car 	 35
fire truck 	 34
intersection 	 29
sailboat 	 26
crane 	 23
industrial 	 22
jet fuel 	 19
military 	 19
jet engine 	 19
interchange 	 13
coastal 	 9
recreational 	 8
recreational area 	 8
high-speed 	 5
private 	 3
local 	 3
tourist 	 1
freight 	 0
train 	 0
tram 	 0
walking 	 0
running 	 0
tanker 	 0
ship 	 0
transportation 	 0
major 	 0
minor 	 0
transportation vehicle 	 0
employee 	 0
worker 	 0
boat 	 0
transportation company 	 0
freight forwarder 	 0
railway infrastructure 	 0
transportation system 	 0
liquid 	 0
freighter 	 0
fixed 	 0
government 	 0
regulatory body 	 0
aircraft 	 0
thought 	 0
action 	 0
goal 	 0
cargo ship 	 0
rescue vehicle 	 0
raft 	 0
vehicle 	 0
family car 	 0
room 	 0
quarters 	 0
international 	 0
wagon 	 0
car 	 0
truck 	 0
bus 	 0
railway vehicle 	 0
gps 	 0
shipping route 	 0
offshore 	 0
oceanic 	 0
ocean-going 	 0
oceanographic 	 0
scientific 	 0
equipment 	 0
national 	 0
dry 	 0
shipping 	 0
container 	 0
large passenger ship 	 0
maritime transportation 	 0
marine vessel 	 0
insurance 	 0
financial 	 0
natural 	 0
weight 	 0
size 	 0
amount 	 0
travel plan 	 0
aviation schedule 	 0
permanent 	 0
structure 	 0
marine 	 0
dc 	 0
lamp 	 0
ocean 	 0
lake 	 0
river 	 0
pond 	 0
sea 	 0
bus stop 	 0
train station 	 0
chemical 	 0
large 	 0
freight rail 	 0
cruise ship 	 0
ocean liner 	 0
land 	 0
model 	 0
plane 	 0
bike 	 0
foot 	 0
economic 	 0
motor 	 0
container ship 	 0
bulk carrier 	 0
passenger car 	 0
airline 	 0
shipping company 	 0
bus company 	 0
train company 	 0
road 	 0
utility 	 0
ores 	 0
coal 	 0
fine 	 0
fee 	 0
computer 	 0
phone 	 0
service vessel 	 0
passenger 	 -1
locomotive 	 -1
tramcar 	 -1
swimming 	 -1
jumping 	 -1
beach 	 -1
marina 	 -1
vessel 	 -1
large truck 	 -1
semi-trailer 	 -1
team member 	 -1
watercraft 	 -1
containerized 	 -1
bulk 	 -1
gasoline 	 -1
diesel 	 -1
plastic 	 -1
floating 	 -1
buoy 	 -1
non-powered 	 -1
ambulance 	 -1
single-engine 	 -1
small plane 	 -1
yacht 	 -1
canoe 	 -1
accommodation 	 -1
commercial 	 -1
boxcar 	 -1
tank car 	 -1
flatcar 	 -1
gondola 	 -1
carriage 	 -1
motorcycle 	 -1
ground-based 	 -1
space-based 	 -1
beacon 	 -1
lighthouse 	 -1
freshwater 	 -1
trawler 	 -1
petroleum-based 	 -1
combustible liquid 	 -1
horse-drawn 	 -1
ox-drawn 	 -1
donkey-drawn 	 -1
bacteria 	 -1
virus 	 -1
fungus 	 -1
parasite 	 -1
scooter 	 -1
jet ski 	 -1
airfield 	 -1
airstrip 	 -1
real estate 	 -1
man-made 	 -1
lock-based 	 -1
timetable 	 -1
aerospace 	 -1
heavy-lifting 	 -1
digital 	 -1
analog 	 -1
submarine 	 -1
ac 	 -1
stepper 	 -1
brushless 	 -1
forklift 	 -1
pallet jack 	 -1
conveyor belt 	 -1
chandelier 	 -1
sconce 	 -1
subway station 	 -1
radioactive 	 -1
canal 	 -1
heavy-duty 	 -1
powerful 	 -1
high-speed rail 	 -1
ferry 	 -1
winch 	 -1
gantry crane 	 -1
prototype 	 -1
experimental 	 -1
automobile 	 -1
utility vehicle 	 -1
pickup truck 	 -1
sensory 	 -1
cognitive 	 -1
highway 	 -1
freeway 	 -1
grains 	 -1
cement 	 -1
crossroads 	 -1
roundabout 	 -1
emergency hatch 	 -1
standard hatch 	 -1
four-wheel drive 	 -1
penalty 	 -1
tv 	 -1
gaming console 	 -1
internal combustion 	 -1


****** Processing facet_no: 2, facet: operations, facet_count: 27 ******
property 	 cluster_label
24/7 operations 	 89
multiple gates 	 88
schedules 	 87
scheduling flights 	 87
union 	 29
intersection 	 29
providing amenities 	 12
trains 	 2
tracks 	 0
stations 	 0
unloading 	 0
storing 	 0
moving 	 0
navigation 	 0
storage 	 0
train arrivals 	 0
baggage handling 	 0
loading 	 -1
difference 	 -1
handling baggage 	 -1
timetables 	 -1
fare payment 	 -1


****** Processing facet_no: 3, facet: ownership, facet_count: 6 ******
property 	 cluster_label
private 	 3
public 	 3
government 	 0
owned 	 0
leased 	 0
borrowed 	 0


****** Processing facet_no: 4, facet: scope, facet_count: 19 ******
property 	 cluster_label
local 	 3
national 	 0
international 	 0
personal 	 0
social 	 0
limited 	 0
specific 	 0
regional 	 -1
professional 	 -1
confined 	 -1


****** Processing facet_no: 5, facet: goals, facet_count: 10 ******
property 	 cluster_label
expansion 	 80
public health 	 27
public welfare 	 27
safety 	 0
environmental protection 	 0
economic growth 	 0
national security 	 0
efficiency 	 -1
revenue 	 -1
consumer protection 	 -1


****** Processing facet_no: 6, facet: employees, facet_count: 16 ******
property 	 cluster_label
sailors 	 26
pilots 	 16
mechanics 	 4
train engineers 	 0
law enforcement 	 0
drivers 	 0
conductors 	 -1
customer service 	 -1
flight attendants 	 -1
ground staff 	 -1
officers 	 -1
engineers 	 -1
administrators 	 -1


****** Processing facet_no: 7, facet: purpose, facet_count: 275 ******
property 	 cluster_label
commuting 	 100
fishing 	 93
exploring 	 90
diplomatic leverage 	 84
to control the train 	 71
document of title 	 59
proof of ownership 	 59
proof of delivery 	 59
studying ocean life 	 58
exploring deep sea 	 58
off-road 	 49
road trip 	 41
igniting fires 	 34
fighting fires 	 34
to achieve something 	 33
to accomplish a task 	 33
to solve a problem 	 33
extracting gas 	 28
sailing 	 26
energy supply 	 25
hauling heavy loads 	 21
military operation 	 19
military 	 19
military operations 	 19
long-distance travel 	 18
register of ships 	 17
connecting routes 	 14
connecting land 	 14
connect neighborhoods 	 14
providing data transfer 	 12
providing direction 	 12
docking 	 10
recreational 	 8
recreational use 	 8
recreation 	 8
for commercial use 	 8
for recreational use 	 8
reparation 	 8
play 	 6
work 	 6
tourism 	 1
tourist attraction 	 1
tourist excursion 	 1
transporting people 	 0
transporting goods 	 0
maintenance 	 0
exercise 	 0
transportation 	 0
transferring cargo 	 0
supporting industries 	 0
visit 	 0
attend 	 0
deliver 	 0
moving goods 	 0
passenger transport 	 0
carrying goods 	 0
shipping 	 0
trade 	 0
education 	 0
scientific study 	 0
enforcing rules 	 0
ensuring safety 	 0
safety 	 0
order 	 0
traffic management 	 0
office 	 0
storage 	 0
cargo transport 	 0
transport goods 	 0
move cargo 	 0
haul freight 	 0
storing 	 0
aid navigation 	 0
domestic economy 	 0
national development 	 0
temporary 	 0
emergency 	 0
connecting 	 0
storing and launching aircraft 	 0
housing aircraft during flight 	 0
repair 	 0
monitoring climate change 	 0
documenting shipment details 	 0
tracking cargo 	 0
international trade 	 0
domestic trade 	 0
logistics 	 0
carrying cargo 	 0
increase railway capacity 	 0
reduce costs 	 0
improve connectivity 	 0
water transportation 	 0
luxurious travel 	 0
business meetings 	 0
efficient 	 0
ensuring punctuality 	 0
managing airline operations 	 0
prevents flooding 	 0
transport 	 0
attack 	 0
monitoring weather 	 0
detecting aircraft 	 0
raising water level 	 0
lowering water level 	 0
pick up passengers 	 0
drop off passengers 	 0
storing cargo 	 0
moving people 	 0
commerce 	 0
business 	 0
evaluating performance 	 0
carry cargo 	 0
transport people 	 0
facilitating transportation 	 0
improving traffic flow 	 0
increasing accessibility 	 0
scientific research 	 0
family transportation 	 0
facilitating international trade 	 0
reducing travel time 	 0
personal 	 0
ensuring safe flight 	 0
avoiding collisions 	 0
identification 	 0
rescue operations 	 0
protect 	 0
construction 	 -1
self-defense 	 -1
commercial 	 -1
enjoying meal 	 -1
socializing 	 -1
relaxing 	 -1
switching trains 	 -1
lifting and transporting 	 -1
construction and maintenance 	 -1
entertainment 	 -1
maintaining order 	 -1
anchoring 	 -1
loading 	 -1
finding way 	 -1
getting lost 	 -1
traveling 	 -1
residence 	 -1
