facet_property	cluster_label
used for: identifying	0
access: biometric	0
access: biometric scan	0
uses: identification	0
access: password	0
accessory: umbrella	1
accessory: hat	1
equipment: umbrella	1
features: apron	1
accuracy: long-range	2
accuracy: high	2
accuracy: high-powered	2
accuracy: low	2
range: long	2
related skills: shooting accuracy	2
range: short	2
features: accurate	2
accuracy: highly accurate	2
achievement: runner-up	3
achievement: first-time winner	3
achievement: repeat champion	3
achievements: winning a gold medal	3
achievement: champion	3
achievement: highest jump	3
achievement: most improved	3
achievement: participant	3
achievements: being a role model	3
performance: historic win	3
winner: receives recognition	3
winner: title	3
achievements: fastest time	4
performance: personal best	4
record: fastest time	4
achievement: fastest time	4
awarded for: fastest time	4
achievement: record holder	4
goals: personal best	4
achievements: record-breaking	4
achievement: most goals scored	4
achievements: record-breaking performances	4
performance: record-breaking	4
achievements: team success	5
achievements: multiple awards	5
achievements: most goals	5
achievements: success in multiple fields	5
achievements: best performance	5
achievements: championships	5
achievements: winning competitions	5
achievements: success	5
challenges: performance	5
format: team performance	5
achievements: records	5
objective: best overall performance	5
achievements: awards	5
performance: getting medals	5
performance: winning championships	5
achievement: award	5
achievement: most points	5
achievement: title	5
achievement: first place	5
achievement: record	5
achievement: highest score	5
achievement: second place	5
achievement: third place	5
achievement: best performance	5
achievement: team victory	5
achievements: highest score	5
category: champions	6
reputation: championship-winning	6
achievements: century scorer	6
professional career: adored by fans	6
achievements: try scorer	6
record holders: mike powell	6
achievements: hat-trick taker	6
achievements: grand slam winner	6
definition: chasing something	7
disciplines: pursuit	7
definition: chasing after	7
events: pursuit	7
techniques: tracking	7
event: pursuit	7
meaning: chasing	7
avoidance: patrol	7
actions involved: chasing	7
actions involved: pursuing	7
definition: act of chasing	7
meaning: going after	7
activities: sailing	8
features: rowing	8
activities: cruising	8
activities: boating	8
activity: cruising	8
events: sailing	8
activity: sailing	8
goals: exploration	9
activity: exploring	9
activities: exploration	9
purpose: exploration	9
goal: observing marine life	9
activity: physical	10
definition: activity undertaken for pleasure	10
popular: recreational activity	10
category: recreational	10
activity: indoor	10
nature: recreational	10
usage: recreational	10
activity: adventure	10
events: free solo	10
event: recreational	10
uses: recreational	10
type: recreational	10
purpose: sport	10
type of activity: physical	10
importance: recreational	10
types: recreational	10
purpose: recreational activity	10
leisure: recreational	10
skill level: recreational	10
event type: recreational	10
activity type: indoor	10
activity type: recreational activity	10
purpose: for fun	10
social aspect: recreational fun	10
purpose: recreational	10
activity: thrilling	10
activity type: recreational	10
activity level: recreational	10
category: recreational activity	10
type: recreational activity	10
recreational: no	10
importance: recreational use	10
recreational: social event	10
reputation: recreational	10
recreational: family activity	10
recreational: yes	10
activities: competitive	10
activities: recreational	10
activity: recreational activity	10
activity: recreational	10
activity: playing	10
purpose: leisure	11
cultural significance: recreation	11
activity: relaxing	11
activity: leisure	11
importance: recreation	11
activity: daily routine	11
activity: leisure activity	11
purpose: recreation	11
activity: interest	11
activity level: leisure	11
type: leisure	11
leisure: hobby	11
type of activity: intellectual	11
event: leisure	11
activity: recreation	11
popularity: relaxing activity	11
goals: recreation	11
type of activity: mental	11
activity: horse training	12
definition: horse riding	12
activity: horse breeding	12
activity: riding	12
definition: riding	12
activity: horse riding	12
activity: horse care	12
training: horse riding lessons	12
activity: horseback riding	12
events: riding	12
disciplines: equestrian	12
discipline: dressage	12
distance: 1.5 km swim	13
distance: typically 1500m swim	13
purpose: compete in diving	13
water activity: swimming	13
swimming style: swimming	13
disciplines: swimming	13
activities: swimming	13
type: swimming	13
swimming style: competitive	13
sport: swimming	13
swimming style: recreational	13
definition: swimming	13
event: swimming	13
popular sports: swimming	13
activity: swimming	13
participate: swim	13
gameplay: swimming	13
event type: swimming	13
type: competitive swimming	13
type: recreational swimming	13
activity: water polo	13
activity: pool	13
activity: competitive swimming	13
physical demands: swimming	13
activity: water	13
rules: swimmers must stay together	13
category: swimming	13
events: swimming	13
physical activity: swimming	13
types: career	14
level: professional	14
professional aspects: getting endorsements	14
types: professional	14
time commitment: part-time	14
scope: professional	14
time commitment: full-time	14
occupation: professional	14
participant: professional	14
used by: professional	14
division: professional	14
context: career	14
type: career	14
style: professional	14
participants: professionals	14
activity level: professional	14
example: pursuing a career	14
professional career: long-lasting	14
activity type: job	14
skill level: professional	14
activity: job	14
professional career: successful	14
type: professional	14
examples: pursuing a career	14
level of expertise: professional	14
professional aspects: receiving sponsorships	14
sport: water	15
activities: water sports	15
activity: water sport	15
sport: water-based	15
type: aquatic sport	15
definition: aquatic sport	15
activities: surfing	15
water sport: recreational	15
purpose: water sports	15
sport: aquatic	15
activity: rowing	15
activity: water sports	15
water sport: competitive	15
activity type: water sport	15
sport: underwater	15
activity: aquatic sport	15
water sport: physical exercise	15
sport: triathlon	15
use: water sports	15
type: water sport	15
activity: aquatic sports	15
profession: water sport	15
water sport: recreational activity	15
water sport: competitive sport	15
sport: water sport	15
uses: water sports	15
sport: aquatic sport	15
activity: outdoor recreation	16
type: summer activity	16
activity type: lifestyle	16
sports: hiking	16
type: outdoor activity	16
activity: outdoor	16
type: hiking	16
objective: enjoying scenery	16
definition: goal-oriented activity	16
activity: camping	16
activity type: outdoor	16
activity: hiking	16
type: activity	16
activity type: outdoor activity	16
activity: outdoor activity	16
adaptations: fins	17
adaptations: gills	17
