concept	property	cluster_label
german mark	january 1, 1999	0
italian lira	abolished in 1999	0
german mark	2002	0
german mark	in 1999	0
french franc	1999	0
afghan afghani	widely accepted in afghanistan	1
afghan afghani	widely accepted in afghanistan	1
tajik somoni	widely accepted in tajikistan	1
japanese yen	widely accepted in japan	1
afghan afghani	less accepted internationally	2
euro dollar	widely accepted	2
japanese yen	widely accepted	2
british pound	widely accepted	2
british pound	internationally	2
british pound	in the uk	2
euro dollar	used globally	2
japanese yen	accepted in some countries	2
tajik somoni	accepted internationally	2
tajik somoni	accepted in some international locations	2
currency	general	2
tajik somoni	government institutions	2
japanese yen	accepted in some international locations	2
euro dollar	not widely accepted in some countries	2
japanese yen	accepted in many countries	2
japanese yen	not accepted in most countries	2
afghan afghani	accepted in some international locations	2
tajik somoni	some neighboring countries	2
senepol cattle	subtropical	3
forage crop	cold hardy	3
senepol cattle	subtropical	3
senepol cattle	tropical	3
sugar cane	subtropical	3
tropical fruit	subtropical	3
hoofed mammal	sharp teeth	4
hoofed mammal	sharp horns	4
hoofed mammal	sharp hooves	4
hoofed mammal	sharp claws	4
hoofed mammal	sharp teeth	4
hoofed mammal	fast runner	5
hoofed mammal	long neck	5
hoofed mammal	strong legs	5
hoofed mammal	strong legs	5
hoofed mammal	toe nails	5
hoofed mammal	good climber	5
hoofed mammal	strong jumper	5
hoofed mammal	good eyesight	5
economic attribute	additive	6
economic attribute	not additive	6
economic attribute	non-additive	6
vegetable oil	easy to use	7
cotton fiber	easy to clean	7
cotton fiber	easy to clean	7
cotton fiber	comfortable	7
jute fiber	cost-effective	7
cotton fiber	easy to clean	7
textile product	easy to clean	7
hemp fiber	recyclable	7
cotton fiber	easy to care for	7
financial transaction	small	8
financial transaction	fixed	8
financial transaction	large	8
financial transaction	significant	8
capital good	asset allocation	9
economic attribute	fiscal policy	9
economic attribute	monetary policy	9
capital good	investment opportunity	9
reproductive body	limbs	10
reproductive body	torso	10
reproductive body	lungs	10
reproductive body	liver	10
reproductive body	kidneys	10
reproductive body	ovaries	10
reproductive body	genitalia	10
reproductive body	uterus	10
reproductive body	pancreas	10
reproductive body	head	10
reproductive body	heart	10
reproductive body	womb	10
reproductive body	fallopian tubes	10
reproductive body	brain	10
water buffalo	cattle	11
water buffalo	cattle	11
senepol cattle	bovine	11
animal skin	sheep	11
water buffalo	cattle	11
water buffalo	cattle	11
animal skin	goat	11
animal skin	pig	11
animal skin	cow	11
hoofed mammal	ungulate	12
water buffalo	hoofed	12
water buffalo	hoofed	12
hoofed mammal	hoofed feet	12
handicraft product	sentimental	13
handicraft product	emotional	13
handicraft product	aesthetic	13
cut flower	romantic	13
copper ore	brown	14
cardamom	brown	14
jute fiber	brown	14
chicken meat	brown	14
sisal fiber	brown	14
rye grain	brown	14
shea nut	brown	14
barley grain	brown	14
nickel ore	brown	14
cashew nut	brown	14
date fruit	brown	14
wheat grain	brown	14
almond nut	brown	14
wheat grain	yellow	14
millet grain	yellow	14
cereal grain	yellow	14
sorghum grain	yellow	14
maize grain	yellow	14
passion fruit	yellow	14
wool fiber	brown	14
palm kernel	brown	14
kentia palm seed	brown	14
cow pea	brown	14
okoume	brown	14
passion fruit	orange	14
copper ore	dark brown	14
nickel ore	dark brown	14
rye grain	dark brown	14
iron ore	dark brown	14
cow pea	small, brown	14
tea leaf	brown	14
iron ore	brown	14
kentia palm seed	brown	14
zinc ore	brown	14
pecan nut	brown	14
paddy rice	brown	14
taro tuber	brown	14
cocoa bean	brown	14
cereal grain	brown	14
oat grain	brown	14
sorghum grain	brown	14
millet grain	brown	14
pepper	black	15
nickel ore	black	15
zinc ore	black	15
almond nut	white	15
iron ore	black	15
tea leaf	black	15
wheat grain	white	15
black pepper	black	15
cow pea	black	15
iron ore	red	15
rye grain	dark-colored	15
copper ore	red	15
