concept	facet	property	facet_property
french franc	abolished	replaced by euro	abolished: replaced by euro
german mark	abolished	replaced by the euro	abolished: replaced by the euro
german mark	abolished	2002	abolished: 2002
german mark	abolished	replaced by euro	abolished: replaced by euro
german mark	abolished	in 1999	abolished: in 1999
french franc	abolished	european union	abolished: european union
french franc	abolished in	1999	abolished in: 1999
french franc	abolished in	euro introduction	abolished in: euro introduction
afghan afghani	acceptability	widely accepted in afghanistan	acceptability: widely accepted in afghanistan
afghan afghani	acceptability	accepted in some international locations	acceptability: accepted in some international locations
british pound	acceptance	internationally	acceptance: internationally
japanese yen	acceptance	widely accepted in japan	acceptance: widely accepted in japan
british pound	acceptance	in the uk	acceptance: in the uk
euro dollar	acceptance	used globally	acceptance: used globally
afghan afghani	acceptance	widely accepted in afghanistan	acceptance: widely accepted in afghanistan
afghan afghani	acceptance	less accepted internationally	acceptance: less accepted internationally
tajik somoni	acceptance	accepted internationally	acceptance: accepted internationally
british pound	acceptance	widely accepted	acceptance: widely accepted
currency	acceptance	limited	acceptance: limited
currency	acceptance	general	acceptance: general
japanese yen	acceptance	used for international transactions	acceptance: used for international transactions
japanese yen	acceptance	widely accepted	acceptance: widely accepted
japanese yen	acceptance	accepted in some international locations	acceptance: accepted in some international locations
tajik somoni	acceptance	widely accepted in tajikistan	acceptance: widely accepted in tajikistan
tajik somoni	acceptance	accepted in some international locations	acceptance: accepted in some international locations
euro dollar	acceptance	not widely accepted in some countries	acceptance: not widely accepted in some countries
euro dollar	acceptance	widely accepted	acceptance: widely accepted
japanese yen	acceptance	accepted in many countries	acceptance: accepted in many countries
japanese yen	acceptance	not accepted in most countries	acceptance: not accepted in most countries
japanese yen	acceptance	accepted in some countries	acceptance: accepted in some countries
tajik somoni	accepted at	some neighboring countries	accepted at: some neighboring countries
tajik somoni	accepted at	tajikistan	accepted at: tajikistan
tajik somoni	accepted by	government institutions	accepted by: government institutions
tajik somoni	accepted by	tajikistan businesses	accepted by: tajikistan businesses
tajik somoni	accepted by	banks	accepted by: banks
pharmaceutical product	active ingredient	hormone	active ingredient: hormone
zinc product	active ingredient	zinc oxide	active ingredient: zinc oxide
pharmaceutical product	active ingredient	natural extract	active ingredient: natural extract
pharmaceutical product	active ingredient	natural substance	active ingredient: natural substance
zinc product	active ingredient	zinc sulfate	active ingredient: zinc sulfate
pharmaceutical product	active ingredient	chemical compound	active ingredient: chemical compound
pharmaceutical product	active ingredients	natural extracts	active ingredients: natural extracts
pharmaceutical product	active ingredients	chemical compounds	active ingredients: chemical compounds
senepol cattle	adaptability	tropical	adaptability: tropical
senepol cattle	adaptability	subtropical	adaptability: subtropical
hoofed mammal	adaptation	sharp horns	adaptation: sharp horns
hoofed mammal	adaptation	good climber	adaptation: good climber
hoofed mammal	adaptation	strong jumper	adaptation: strong jumper
hoofed mammal	adaptation	fast runner	adaptation: fast runner
