concept	facet	property	facet_property
individual	abilities	musical	abilities: musical
individual	abilities	artistic	abilities: artistic
individual	abilities	athletic	abilities: athletic
individual	abilities	creative	abilities: creative
individual	abilities	intelligent	abilities: intelligent
individual	abilities	can think	abilities: can think
individual	abilities	can create	abilities: can create
individual	abilities	can communicate	abilities: can communicate
individual	abilities	can learn	abilities: can learn
all-rounder	ability	excels in multiple areas	ability: excels in multiple areas
all-rounder	ability	good at multiple sports	ability: good at multiple sports
all-rounder	ability	multi-talented	ability: multi-talented
all-rounder	ability	exceptional	ability: exceptional
all-rounder	ability	versatile	ability: versatile
vault	access	password	access: password
vault	access	biometric scan	access: biometric scan
vault	access	combination	access: combination
vault	access	key	access: key
vault	access	biometric	access: biometric
walk	accessory	water bottle	accessory: water bottle
walk	accessory	shoes	accessory: shoes
walk	accessory	hat	accessory: hat
walk	accessory	umbrella	accessory: umbrella
air pistol	accuracy	high	accuracy: high
air rifle	accuracy	medium	accuracy: medium
rapid fire pistol	accuracy	low	accuracy: low
air rifle	accuracy	low	accuracy: low
air pistol	accuracy	precise	accuracy: precise
air pistol	accuracy	long-range	accuracy: long-range
air pistol	accuracy	variable	accuracy: variable
air rifle	accuracy	high	accuracy: high
air pistol	accuracy	highly accurate	accuracy: highly accurate
rapid fire pistol	accuracy	high	accuracy: high
air rifle	accuracy	high-powered	accuracy: high-powered
rapid fire pistol	accuracy	precise	accuracy: precise
rapid fire pistol	accuracy	medium	accuracy: medium
air pistol	accuracy	reliable	accuracy: reliable
air rifle	accuracy	precise	accuracy: precise
air rifle	accuracy	highly accurate	accuracy: highly accurate
medal winners	achievement	third place	achievement: third place
medal winners	achievement	best performance	achievement: best performance
medal winners	achievement	team victory	achievement: team victory
medal winners	achievement	second place	achievement: second place
medal winners	achievement	highest score	achievement: highest score
medal winners	achievement	most goals scored	achievement: most goals scored
athlete	achievement	record	achievement: record
medal winners	achievement	first place	achievement: first place
women's team	achievement	runner-up	achievement: runner-up
women's team	achievement	participant	achievement: participant
medal winners	achievement	first-time winner	achievement: first-time winner
medal winners	achievement	repeat champion	achievement: repeat champion
medal winners	achievement	overcoming adversity	achievement: overcoming adversity
women's team	achievement	champion	achievement: champion
athlete	achievement	title	achievement: title
medal winners	achievement	record holder	achievement: record holder
medal winners	achievement	fastest time	achievement: fastest time
medal winners	achievement	highest jump	achievement: highest jump
medal winners	achievement	most points	achievement: most points
athlete	achievement	award	achievement: award
medal winners	achievement	most improved	achievement: most improved
medal winners	achievements	highest score	achievements: highest score
medal winners	achievements	fastest time	achievements: fastest time
medal winners	achievements	most goals	achievements: most goals
all-rounder	achievements	team success	achievements: team success
all-rounder	achievements	multiple awards	achievements: multiple awards
all-rounder	achievements	record-breaking	achievements: record-breaking
all-rounder	achievements	record-breaking performances	achievements: record-breaking performances
all-rounder	achievements	success in multiple fields	achievements: success in multiple fields
medal winners	achievements	best performance	achievements: best performance
all-rounder	achievements	championships	achievements: championships
athlete	achievements	being a role model	achievements: being a role model
all-rounder	achievements	try scorer	achievements: try scorer
all-rounder	achievements	century scorer	achievements: century scorer
medal winners	achievements	improving personal best	achievements: improving personal best
athlete	achievements	winning competitions	achievements: winning competitions
medal winners	achievements	setting a new record	achievements: setting a new record
all-rounder	achievements	hat-trick taker	achievements: hat-trick taker
medal winners	achievements	winning a gold medal	achievements: winning a gold medal
all-round	achievements	success	achievements: success
all-round	achievements	recognition	achievements: recognition
athlete	achievements	setting records	achievements: setting records
all-round	achievements	awards	achievements: awards
all-rounder	achievements	records	achievements: records
all-rounder	achievements	awards	achievements: awards
all-rounder	achievements	grand slam winner	achievements: grand slam winner
walk	action	movement	action: movement
walk	action	physical activity	action: physical activity
walk	action	exercise	action: exercise
pursuit	actions involved	chasing	actions involved: chasing
pursuit	actions involved	pursuing	actions involved: pursuing
pursuit	actions involved	running	actions involved: running
aquatics	activities	fishing	activities: fishing
diving	activities	competitive	activities: competitive
dinghy	activities	sailing	activities: sailing
dinghy	activities	fishing	activities: fishing
dinghy	activities	water sports	activities: water sports
diving	activities	scientific research	activities: scientific research
skiff	activities	cruising	activities: cruising
skiff	activities	fishing	activities: fishing
aquatics	activities	boating	activities: boating
diving	activities	recreational	activities: recreational
aquatics	activities	swimming	activities: swimming
skiff	activities	sailing	activities: sailing
aquatics	activities	surfing	activities: surfing
aquatics	activities	snorkeling	activities: snorkeling
aquatics	activities	diving	activities: diving
diving	activities	exploration	activities: exploration
archery	activity	competitive	activity: competitive
trampoline	activity	playing	activity: playing
equestrian	activity	horse showing	activity: horse showing
swimmer	activity	aquatic sports	activity: aquatic sports
archery	activity	recreational	activity: recreational
trampoline	activity	practicing	activity: practicing
men's team	activity	basketball	activity: basketball
trampoline	activity	jumping	activity: jumping
swimmer	activity	water sport	activity: water sport
men's team	activity	football	activity: football
cycling	activity	recreational	activity: recreational
springboard	activity	water polo	activity: water polo
synchronized springboard	activity	water sports	activity: water sports
skating	activity	exercise	activity: exercise
skating	activity	competitive	activity: competitive
skating	activity	recreational	activity: recreational
springboard	activity	diving	activity: diving
archery	activity	outdoor	activity: outdoor
walk	activity	leisure	activity: leisure
diving	activity	recreational activity	activity: recreational activity
springboard	activity	swimming	activity: swimming
men's team	activity	soccer	activity: soccer
diving	activity	competitive sport	activity: competitive sport
synchronized springboard	activity	diving	activity: diving
downhill	activity	hiking	activity: hiking
downhill	activity	descending	activity: descending
downhill	activity	biking	activity: biking
downhill	activity	exploring	activity: exploring
downhill	activity	skiing	activity: skiing
diving	activity	water sport	activity: water sport
pursuit	activity	interest	activity: interest
synchronized springboard	activity	aquatic sport	activity: aquatic sport
downhill	activity	running	activity: running
archery	activity	recreational activity	activity: recreational activity
equestrian	activity	horseback riding	activity: horseback riding
sailing	activity	competitive sport	activity: competitive sport
athlete	activity	lifting	activity: lifting
athlete	activity	swimming	activity: swimming
athlete	activity	running	activity: running
sailing	activity	recreational activity	activity: recreational activity
sailing	activity	water sport	activity: water sport
skating	activity	outdoor activity	activity: outdoor activity
gymnast	activity	athletic	activity: athletic
parallel bars	activity	gymnastics training	activity: gymnastics training
skating	activity	recreational activity	activity: recreational activity
parallel bars	activity	gymnastics	activity: gymnastics
equestrian	activity	horse care	activity: horse care
gymnast	activity	gymnastics	activity: gymnastics
athlete	activity	recreation	activity: recreation
gymnast	activity	athletics	activity: athletics
swimmer	activity	training	activity: training
participates in	activity	championship	activity: championship
windsurfer	activity	outdoor recreation	activity: outdoor recreation
windsurfer	activity	water sports	activity: water sports
equestrian	activity	competing	activity: competing
equestrian	activity	training	activity: training
equestrian	activity	riding	activity: riding
cycling	activity	indoor	activity: indoor
cycling	activity	competitive	activity: competitive
gymnast	activity	physical activity	activity: physical activity
gymnast	activity	sport	activity: sport
