	0	1
0	industry: transportation	1691
1	industry: logistics	2573
2	ownership: private	1466
3	ownership: government	2815
4	services: passenger	2295
5	services: freight	612
6	services: tourist	991
7	equipment: trains	2154
8	equipment: locomotives	1240
9	equipment: tracks	865
10	operations: scheduling	27
11	operations: maintenance	934
12	operations: safety	366
13	location: global	2254
14	location: local	650
15	location: regional	2172
16	revenue source: ticket sales	603
17	revenue source: cargo fees	1174
18	revenue source: advertising	603
19	type: locomotive	1240
20	type: train car	2201
21	type: tram	0
22	size: large	1
23	size: small	2
24	function: carries passengers	464
25	function: carries goods	119
26	function: powers other trains	2831
27	propulsion: diesel	205
28	propulsion: electric	683
29	propulsion: steam	1062
30	speed: high	2972
31	speed: low	3
32	location: station	118
33	location: track	1417
34	location: yard	3067
35	used for: commuting	614
36	used for: freight transport	4
37	used for: tourist ride	1199
38	type: walking	1576
39	type: running	1576
40	type: jumping	1774
41	type: dancing	2036
42	purpose: exercise	87
43	purpose: play	5
44	purpose: transportation	1238
45	purpose: entertainment	6
46	body parts involved: legs	7
47	body parts involved: arms	604
48	body parts involved: torso	605
49	body parts involved: head	606
50	speed: fast	928
51	speed: slow	3
52	direction: forward	1255
53	direction: backward	2745
54	direction: sideways	2745
55	style: natural	2319
56	style: artistic	2188
57	style: athletic	2159
58	style: dramatic	1320
59	structure: wooden	2091
60	structure: metallic	8
61	function: harbor	686
62	function: beach	2131
63	function: fishing	1349
64	location: coast	112
65	location: lake	265
66	location: river	252
67	features: lights	147
68	features: restaurants	2431
69	features: shops	1288
70	usage: recreational	345
71	usage: commercial	494
72	usage: residential	1113
73	design: architectural	996
74	design: ornamental	264
75	type: vessel	9
76	type: ship	10
77	type: tanker	11
78	function: transporting chemicals	12
79	function: carrying hazardous materials	13
80	size: long	14
81	structure: steel	125
82	structure: tanker hull	89
83	equipment: pumps	172
84	equipment: valves	725
85	equipment: sensors	1887
86	safety features: containment systems	610
87	safety features: fire suppression systems	2721
88	operating environment: ocean	611
89	operating environment: seas	441
90	operating environment: ports	428
91	regulations: international maritime organization	936
92	regulations: maritime and coast guard act	936
93	type: moving	241
94	type: train	2154
95	purpose: provide food and drink	1761
96	purpose: accommodate passengers	1441
97	features: tables	1854
98	features: chairs	2807
99	features: kitchen	1126
100	features: bar	1583
101	features: waitstaff	678
102	services: food service	1514
103	services: beverage service	748
104	services: dining experience	549
105	location: train	118
106	location: route	2616
107	amenities: air conditioning	280
108	amenities: restrooms	721
109	amenities: seating	747
110	amenities: views	2642
111	location: land	185
112	location: terrain	1187
113	function: connecting tracks	2463
114	function: switching trains	2179
115	type: simple	782
116	type: complex	1022
117	type: double track	1711
118	features: tracks	865
119	features: platforms	639
120	features: signals	1393
121	features: switches	58
122	uses: transporting goods	1200
123	uses: moving people	335
124	uses: storing equipment	15
125	operations: manual	41
126	operations: automated	1165
127	operations: controlled	1256
128	importance: strategic	16
129	importance: busy	214
130	importance: critical	1753
131	function: aircraft landing and takeoff	228
132	function: pilot control	3012
133	function: air traffic control	887
134	location: aircraft	17
135	location: airplane	17
136	location: airport	1442
137	location: military base	18
138	size: covered	21
139	equipment: runway lights	2993
140	equipment: navigation aids	1296
141	equipment: communication equipment	368
142	personnel: pilots	1336
143	personnel: air traffic controllers	19
144	personnel: ground crew	1336
145	safety features: warning lights	1689
146	safety features: warning signals	1317
147	safety features: emergency response plans	20
148	category: mode of transportation	1997
149	category: railway vehicle	969
150	category: freight train	2296
151	function: transport goods	1200
152	function: carry heavy loads	531
153	size: heavy	720
154	design: open-top	651
155	design: covered	21
156	design: specialized	2837
157	materials: steel	22
158	materials: aluminum	1614
159	materials: composite	38
160	operating environment: industrial	2422
161	operating environment: commercial	2141
162	operating environment: agricultural	2417
163	usage: transporting raw materials	1200
164	usage: moving heavy equipment	1326
165	usage: delivering goods	1618
166	type: large vehicle	962
167	type: semi-truck	189
168	type: trailer truck	189
169	purpose: transporting goods	1200
170	purpose: hauling heavy loads	531
171	features: long	2707
172	features: heavy	720
173	features: tractor attached	1518
174	components: tractor unit	1518
175	components: trailer	1409
176	components: tires	106
177	components: engine	633
178	size: large wheels	466
179	used for: hauling cargo	322
180	used for: transporting goods	1200
181	used for: long-distance hauling	1604
182	associated with: highway	3043
183	associated with: freight	4
184	associated with: shipping	619
