****** Processing facet_no: 0, facet: industry, facet_count: 39 ******
property 	 cluster_label
transportation 	 -1
logistics 	 -1
supply chain 	 -1
it 	 -1
software development 	 -1
cloud computing 	 -1
oil refining 	 -1
petrochemical 	 -1
aviation 	 -1
shipping 	 -1
warehousing 	 -1
manufacturing 	 -1
freight 	 -1
trade 	 -1
maritime 	 -1
agriculture 	 -1
mining 	 -1
energy 	 -1
trucking 	 -1
construction 	 -1
logging 	 -1
logistics companies 	 -1
shipping companies 	 -1
transportation authorities 	 -1
delivery 	 -1
****** Finished processing facet: industry ******


****** Processing facet_no: 1, facet: type, facet_count: 320 ******
property 	 cluster_label
freight 	 -1
passenger 	 -1
tourist 	 -1
locomotive 	 -1
train 	 -1
tram 	 -1
tramcar 	 -1
walking 	 -1
running 	 -1
swimming 	 -1
jumping 	 -1
beach 	 -1
marina 	 -1
fishing 	 -1
tanker 	 -1
vessel 	 -1
ship 	 -1
transportation 	 -1
major 	 -1
minor 	 -1
interchange 	 -1
large truck 	 -1
semi-trailer 	 -1
transportation vehicle 	 -1
employee 	 -1
worker 	 -1
team member 	 -1
watercraft 	 -1
boat 	 -1
transportation company 	 -1
freight forwarder 	 -1
railway infrastructure 	 -1
transportation system 	 -1
containerized 	 -1
bulk 	 -1
liquid 	 -1
gasoline 	 -1
diesel 	 -1
jet fuel 	 -1
plastic 	 -1
freighter 	 -1
fixed 	 -1
floating 	 -1
buoy 	 -1
government 	 -1
regulatory body 	 -1
aircraft 	 -1
recreational 	 -1
non-powered 	 -1
thought 	 -1
action 	 -1
goal 	 -1
cargo ship 	 -1
ambulance 	 -1
fire truck 	 -1
police car 	 -1
rescue vehicle 	 -1
single-engine 	 -1
small plane 	 -1
yacht 	 -1
canoe 	 -1
raft 	 -1
vehicle 	 -1
family car 	 -1
accommodation 	 -1
room 	 -1
quarters 	 -1
commercial 	 -1
international 	 -1
private 	 -1
military 	 -1
industrial 	 -1
boxcar 	 -1
tank car 	 -1
flatcar 	 -1
gondola 	 -1
carriage 	 -1
wagon 	 -1
car 	 -1
truck 	 -1
motorcycle 	 -1
bus 	 -1
railway vehicle 	 -1
ground-based 	 -1
space-based 	 -1
beacon 	 -1
lighthouse 	 -1
gps 	 -1
waterway 	 -1
shipping route 	 -1
recreational area 	 -1
offshore 	 -1
oceanic 	 -1
coastal 	 -1
ocean-going 	 -1
freshwater 	 -1
sailboat 	 -1
trawler 	 -1
petroleum-based 	 -1
combustible liquid 	 -1
oceanographic 	 -1
scientific 	 -1
exploratory 	 -1
equipment 	 -1
horse-drawn 	 -1
ox-drawn 	 -1
donkey-drawn 	 -1
bacteria 	 -1
virus 	 -1
fungus 	 -1
parasite 	 -1
scooter 	 -1
local 	 -1
national 	 -1
jet ski 	 -1
dry 	 -1
shipping 	 -1
container 	 -1
airfield 	 -1
airstrip 	 -1
large passenger ship 	 -1
maritime transportation 	 -1
marine vessel 	 -1
real estate 	 -1
insurance 	 -1
financial 	 -1
natural 	 -1
man-made 	 -1
lock-based 	 -1
weight 	 -1
size 	 -1
amount 	 -1
timetable 	 -1
travel plan 	 -1
aviation schedule 	 -1
permanent 	 -1
structure 	 -1
jet engine 	 -1
aerospace 	 -1
marine 	 -1
heavy-lifting 	 -1
digital 	 -1
analog 	 -1
submarine 	 -1
dc 	 -1
ac 	 -1
stepper 	 -1
brushless 	 -1
forklift 	 -1
pallet jack 	 -1
crane 	 -1
conveyor belt 	 -1
lamp 	 -1
chandelier 	 -1
sconce 	 -1
ocean 	 -1
lake 	 -1
river 	 -1
pond 	 -1
sea 	 -1
bus stop 	 -1
train station 	 -1
subway station 	 -1
chemical 	 -1
explosive 	 -1
radioactive 	 -1
canal 	 -1
heavy-duty 	 -1
large 	 -1
powerful 	 -1
commuter rail 	 -1
freight rail 	 -1
high-speed rail 	 -1
cruise ship 	 -1
ferry 	 -1
ocean liner 	 -1
land 	 -1
winch 	 -1
pulley 	 -1
gantry crane 	 -1
model 	 -1
prototype 	 -1
experimental 	 -1
automobile 	 -1
plane 	 -1
bike 	 -1
foot 	 -1
utility vehicle 	 -1
pickup truck 	 -1
economic 	 -1
diplomatic 	 -1
sensory 	 -1
motor 	 -1
cognitive 	 -1
container ship 	 -1
bulk carrier 	 -1
passenger car 	 -1
airline 	 -1
shipping company 	 -1
bus company 	 -1
train company 	 -1
road 	 -1
highway 	 -1
freeway 	 -1
utility 	 -1
grains 	 -1
ores 	 -1
coal 	 -1
cement 	 -1
fishing gear 	 -1
propeller-driven 	 -1
regional airliner 	 -1
stratosphere 	 -1
troposphere 	 -1
mesosphere 	 -1
thermosphere 	 -1
intersection 	 -1
crossroads 	 -1
roundabout 	 -1
emergency hatch 	 -1
standard hatch 	 -1
off-road vehicle 	 -1
four-wheel drive 	 -1
fine 	 -1
penalty 	 -1
fee 	 -1
computer 	 -1
phone 	 -1
tv 	 -1
gaming console 	 -1
internal combustion 	 -1
service vessel 	 -1
commuter 	 -1
high-speed 	 -1
****** Finished processing facet: type ******


