concept	property	cluster_label
cab car	tram	0
gallery car	tram	0
local transit system	tram	0
rail transportation system	tram	0
railway vehicle	tram	0
rolling stock	tram	0
train assembly	tram	0
transit route	tram	0
transit stop	tram	0
electrified railway	electric tram	0
mode of transit	trolley	0
mode of transit	trolleybus	0
railway vehicle	tramcar	0
track gauge	tramway	0
standard gauge railway	tram	0
track gauge	tram	0
local transit system	trams	0
transitway	trams	0
mode of transit	tram	0
mode of transit	tramway	0
transitway	streetcar	0
standard gauge railway	tramway	0
transitway	tramway	0
transportation device	tram	0
transportation system	tram	0
local transit system	tram car	0
railway vehicle	trolley	0
land area	large	1
container terminal	mega	1
drilling ship	large	1
electric device	large	1
fishing trawler	large	1
truck trailer	large	1
railroad bridge	high	1
railroad track	high	1
refrigerated compartment	large	1
rocket engine	large	1
petroleum product pipeline	large diameter	1
airport classification	major	1
major air carrier	major	1
full size van	extra large	1
land vehicle	extra large	1
outfit car	extra large	1
container ship	hulking	1
ore carrier ship	hulking	1
head end car	larger	1
partial container ship	medium to large	1
tractor trailer	big	1
bulk cargo	large	1
cab car	large	1
commercial airport	large	1
crane ship	large	1
deck cargo	large	1
deck crane	large	1
deepwater port	large	1
flatcar	large	1
flight deck	large	1
freight car	large	1
freighter	large	1
gallery car	large	1
hangar bay	large	1
hopper dredger	large	1
international airport	large	1
jet airplane	large	1
offshore support ship	large	1
petroleum tanker ship	large	1
pusher tug	large	1
rolling stock	large	1
ship hold	large	1
terminal building	large	1
tractor trailer	large	1
water transportation system	large	1
truck trailer	large size	1
canal lock gate	can be large	1
chemical tanker ship	can be large	1
coach railcar	can be large	1
fire engine	can be large	1
passenger railway car	can be large	1
truck trailer	can be large	1
navigation buoy	typically 1-10 meters	1
pusher tug	large size	1
canal system	largest	1
fire boat	typically large	1
fuel tank	typically large	1
navigation buoy	typically large	1
partial container ship	typically large	1
registry ton	large	1
transit shelter	large	1
fire engine	big	1
freighter	big	1
truck tractor	big	1
water area	big	1
watercraft	big	1
head end car	large size	1
scale test car	large	1
whaling ship	large	1
airport classification	large	1
bulkhead	large	1
cable ship	large	1
canal	large	1
canal lock	large	1
canal lock gate	large	1
canal structure	large	1
canal system	large	1
cargo container	large	1
cargo ship	large	1
chemical tanker ship	large	1
coach railcar	large	1
commercial carrier	large	1
commercial shipping	large	1
container ship	large	1
container terminal	large	1
crew list	large	1
dining car	large	1
dry bulk cargo	large	1
electric motor	large	1
electronic device	large	1
