concept	property	cluster_label
cab car	tram	0
gallery car	tram	0
local transit system	tram	0
local transit system	trams	0
local transit system	tram	0
local transit system	trams	0
railway vehicle	tram	0
rail transportation system	tram	0
animal powered vehicle	cart	0
transitway	streetcar	0
local transit system	trains	0
transitway	trains	0
transit stop	tram	0
local transit system	tram	0
local transit system	tram car	0
transitway	trams	0
transit route	tram	0
transportation system	train	0
rail transportation system	tram	0
local transit system	tram	0
transportation device	tram	0
transportation system	tram	0
mode of transit	cable car	0
local transit system	train	0
transit stop	tram	0
transit stop	tram	0
animal powered vehicle	sleigh	0
railway vehicle	tramcar	0
train assembly	tram	0
transit route	tram	0
rolling stock	tram	0
common carrier	rail	1
mode of transit	tramway	1
transitway	busway	1
contract carrier	rail	1
rail transportation system	monorail	1
ship agent	customs	1
common carrier	railroad	1
standard gauge railway	branch line	1
hoisting device	elevator	1
standard gauge railway	tramway	1
electrical signalling	telegraphy	1
standard gauge railway	tram	1
transitway	tramway	1
taking off	space launch	1
track gauge	tramway	1
transit shelter	train shelter	1
electrified railway	monorail	1
outfit car	extra large	2
land vehicle	extra large	2
freighter	oversized	2
cargo ship	oversized	2
deck cargo	oversized	2
full size van	extra long	2
full size van	family-sized	2
full size van	extra	2
full size van	extra wide	2
truck trailer	extra-long	2
refrigerated compartment	large	2
rocket engine	large	2
full size van	extra large	2
fire engine	can be small	3
coach railcar	can be small	3
hopper dredger	varies from small to large	3
deck crane	varies from small to large	3
fire engine	can be large	3
passenger railway car	can be large	3
chemical tanker ship	can be large	3
coach railcar	can be large	3
truck trailer	can be large	3
fire engine	ranging from small to large	3
canal lock gate	can be large	3
passenger railway car	can be small	3
rolling stock	can be long or short	3
freight car	can be long and heavy	3
rolling stock	varies from small to large	3
passenger railway car	varies from small to large	3
navigation buoy	typically small	4
paved runway	typically long	4
navigation buoy	typically large	4
fuel tank	typically large	4
navigation buoy	typically tall	4
partial container ship	typically large	4
passenger railway car	typically long and narrow	4
fire boat	typically large	4
freight car	closed	5
shipping channel	narrow width	5
aid to navigation	visible	5
offshore anchorage	visible	5
signalling	visible	5
shipping lane	busy	5
glider airplane	silent	5
pusher tug	strong	5
shipping channel	straight	5
flatcar	standard	5
partial container ship	partial	5
flight deck	covered	5
containerization	images	5
land area	large	5
scale test car	large	5
whaling ship	large	5
traffic light	display	5
ship cabin	private	5
deck cargo	heavy	5
scale test car	heavy	5
spine car	heavy	5
tractor trailer	heavy	5
scale test car	small	5
