concept	facet	property
railroad company	industry	transportation
railroad company	industry	logistics
railroad company	type	freight
railroad company	type	passenger
railroad company	type	tourist
railroad company	operations	tracks
railroad company	operations	trains
railroad company	operations	stations
railroad company	operations	schedules
railroad company	ownership	private
railroad company	ownership	public
railroad company	ownership	government
railroad company	scope	local
railroad company	scope	regional
railroad company	scope	national
railroad company	scope	international
railroad company	goals	efficiency
railroad company	goals	safety
railroad company	goals	revenue
railroad company	goals	expansion
railroad company	employees	train engineers
railroad company	employees	conductors
railroad company	employees	mechanics
railroad company	employees	customer service
railway vehicle	type	locomotive
railway vehicle	type	train
railway vehicle	type	tram
railway vehicle	type	tramcar
railway vehicle	purpose	transporting people
railway vehicle	purpose	transporting goods
railway vehicle	purpose	construction
railway vehicle	purpose	maintenance
railway vehicle	propulsion	diesel
railway vehicle	propulsion	electric
railway vehicle	propulsion	steam
railway vehicle	propulsion	hybrid
railway vehicle	speed	high speed
railway vehicle	speed	medium speed
railway vehicle	speed	low speed
railway vehicle	design	streamlined
railway vehicle	design	boxy
railway vehicle	design	open top
railway vehicle	design	covered
railway vehicle	location	station
railway vehicle	location	track
railway vehicle	location	yard
railway vehicle	location	depot
railway vehicle	features	air conditioning
railway vehicle	features	canteen
railway vehicle	features	lavatory
railway vehicle	features	safety features
body motion	type	walking
body motion	type	running
body motion	type	swimming
body motion	type	jumping
body motion	purpose	exercise
body motion	purpose	transportation
body motion	purpose	play
body motion	purpose	self-defense
body motion	body part	legs
body motion	body part	arms
body motion	body part	core
body motion	body part	whole body
body motion	speed	fast
body motion	speed	slow
body motion	speed	medium
body motion	location	outdoors
body motion	location	gym
body motion	location	pool
body motion	location	track
body motion	style	casual
body motion	style	formal
body motion	style	professional
body motion	style	athletic
pier	structure	man-made
pier	structure	built over water
pier	purpose	recreational
pier	purpose	commercial
pier	purpose	fishing
pier	location	coastal
pier	location	lake
pier	location	river
pier	design	sturdy
pier	design	cantilevered
pier	features	docks
pier	features	restaurants
pier	features	shops
pier	function	mooring
pier	function	loading
pier	function	unloading
pier	type	beach
pier	type	marina
pier	type	fishing
chemical tanker ship	type	tanker
chemical tanker ship	type	vessel
chemical tanker ship	type	ship
chemical tanker ship	function	transport chemicals
chemical tanker ship	function	carry hazardous materials
chemical tanker ship	design	specialized hull
chemical tanker ship	design	separate compartments
chemical tanker ship	size	large
chemical tanker ship	size	long
chemical tanker ship	operation	requires specialized crew
chemical tanker ship	operation	needs careful handling
chemical tanker ship	safety features	containment systems
chemical tanker ship	safety features	emergency response plans
chemical tanker ship	environmental impact	pollution risk
chemical tanker ship	environmental impact	hazardous cargo
dining car	type	train
dining car	type	transportation
dining car	function	serving food
dining car	function	providing drinks
dining car	amenities	tables
dining car	amenities	chairs
dining car	amenities	kitchen
dining car	amenities	bar
dining car	features	windows
dining car	features	views
dining car	features	air conditioning
dining car	features	heating
dining car	location	train
dining car	location	station
dining car	location	route
dining car	location	journey
dining car	purpose	enjoying meal
dining car	purpose	socializing
dining car	purpose	relaxing
railway junction	type	major
railway junction	type	minor
railway junction	type	interchange
railway junction	location	city
railway junction	location	town
railway junction	location	countryside
