facet_property	cluster_label
type: tram	0
vehicle type: cart	0
type: streetcar	0
vehicle type: trams	0
vehicles: trams	0
vehicle: tram	0
mode: tram	0
mode: cable car	0
vehicle type: train	0
vehicle type: sleigh	0
type: tramcar	0
transportation: tram	0
vehicle type: trains	0
vehicle type: tram	0
transportation type: tram	0
vehicle type: tram car	0
types: monorail	1
types: branch line	1
types: elevator	1
types: customs	1
types: railroad	1
types: train shelter	1
types: rail	1
types: busway	1
examples: tramway	1
features: tram	1
types: telegraphy	1
types: tramway	1
uses: tramway	1
types: space launch	1
size: extra long	2
size: family-sized	2
size: extra	2
size: extra wide	2
size: extra-long	2
size range: large	2
size: extra large	2
size: oversized	2
size: can be small	3
size: can be large	3
size: ranging from small to large	3
size: varies from small to large	3
size: can be long and heavy	3
size: can be long or short	3
length: typically long	4
size: typically small	4
size: typically long and narrow	4
size: typically large	4
size: typically tall	4
features: display	5
features: private	5
features: heavy	5
features: small	5
features: closed	5
features: narrow width	5
features: visible	5
features: busy	5
features: silent	5
features: strong	5
features: straight	5
features: standard	5
features: partial	5
size: covered	5
features: images	5
comparison: large	5
features: large	5
structure: enclosed	6
structure: horizontal	6
structure: simple	6
structure: large	6
medium: example	6
structure: narrow	6
structure: modern	6
structure: small	6
structure: long	6
structure: open	6
characteristics: less complex	7
characteristics: stronger	7
characteristics: longer	7
characteristics: size	7
characteristics: larger	7
features: smaller	7
characteristics: small	7
characteristics: medium size	7
characteristics: thicker	7
characteristics: compact	7
characteristics: relatively small	7
characteristics: smaller	7
comparison: small	7
size: extra space	8
size: mobile	8
size: full-size	8
size: wide	8
size: narrow	8
size: high	8
size: standard	8
size: custom	8
type: small	8
size: full size	8
size: tiny	8
size: standard size	8
height: medium	8
size: small	8
size: large	8
size: medium	8
size: reduced	8
size: light	8
size: larger	8
speed: slower than air	9
speed: less than jet speed	9
size: smaller than jetliners	9
noise level: quieter than jet	9
speed: lower than jet	9
speed: faster than propeller plane	9
speed: slower than jet plane	9
characteristics: noisier than jet plane	9
characteristics: slow climb	10
characteristics: not fully loaded	10
characteristics: following a specific path	10
characteristics: rapid flow	10
characteristics: gaining speed	10
operational characteristics: slower speed	10
characteristics: least modern	10
characteristics: automatic operation	10
characteristics: gradual	10
characteristics: slow to take off	10
characteristics: vertical movement	10
characteristics: slow to respond	10
characteristics: noisy	10
features: slow speed	10
characteristics: changing colors	10
characteristics: slow-moving	10
characteristics: increased speed	10
characteristics: faster	10
characteristics: low speed	10
characteristics: slow	10
characteristics: slow moving	10
characteristic: slow	10
characteristics: slow speed	10
characteristics: rapid acceleration	10
characteristics: rapid	10
speed: steady	11
speed: slow speed	11
speed: controlled	11
speed: slow	11
speed: slow-speed	11
speed: relaxed pace	11
speed: emergency speed	11
used for: freight	12
used for: freight transportation	12
used in: freight rail	12
used for: heavy freight transport	12
used for: freight trains	12
storage: transported by truck	12
used for: coal transport	12
operation: common in highway commerce	12
commonly used for: freight transportation	12
shipping: by land	12
used for: trucking	12
transportation: separate from regular cargo	12
transportation: label and mark	12
used by: carriers	12
used for: freight transport	12
used for: heavy freight transportation	12
used for: heavy freight	12
used in: freight transportation	12
used for: industrial transport	12
used for: freight shipping	12
transportation: separate from other goods	12
related concepts: freight	13
associated concepts: shipping	13
related to: freight	13
associated with: freight industry	13
associated with: trucks	13
associated with: warehouse	13
related concepts: freight transportation	13
associated with: freight	13
associated with: seaport	13
purpose: providing escape	14
function: providing entertainment	14
purpose: providing entertainment	14
purpose: provide entertainment	14
used for: providing entertainment	14
used for: entertaining	14
use: entertainment	15
function: gaming	15
function: healthcare	15
function: comfort	15
function: entertainment	15
function: amusement	15
function: gaming console	15
function: research	15
function: education	15
purpose: entertainment	15
function: entertain	15
purpose: entertaining	15
functions: entertaining	15
structure: crystalline	16
structure: metallic	16
composition: non-metallic	16
structure: non-metallic	16
structure: aluminum	17
structure: glass	17
structure: functional groups	17
example: metals	17
structure: alloy	17
structure: plastic	17
structure: atomic	17
structure: metal	17
