concept	property	cluster_label
railroad company	transport goods	0
intermodal transportation	moves people	0
intermodal transportation	moves goods	0
contract carrier	transport goods	0
transportation system	moves people	0
container ship	carry cargo	0
transportation system	moves goods	0
contract carrier	deliver goods	0
common carrier	transport goods or people	0
commercial carrier	transports goods	0
cargo handling	transporting goods	0
railroad company	transport people	0
cargo container	located in ports	1
unpaved runway	located at airports	1
government organization	located in cities	1
crane ship	located in ports	1
transitway	located in cities	1
jet airplane	located in airports	1
commercial shipping	located in ports	1
animal powered vehicle	located in fields	1
transit route	located in cities	1
animal powered vehicle	located in farms	1
canal system	located in cities	1
canal system	located in Italy	1
ship agent	located in ports	1
ocean liner	located in ports	1
private railcar	located in train stations	1
road junction	located in cities	1
gallery car	located in art galleries	1
gallery car	located in museums	1
transit terminal	located in cities	1
transit terminal	located in downtown	1
waterway junction	located in ports	1
radar facility	located in airports	1
traffic light	located in intersections	1
traffic light	located in cities	1
port crane	located in ports	1
railroad track	located in countryside	1
railroad track	located in cities	1
freighter	located in ports	1
air traffic control tower	located at airports	1
container ship	located in ports	1
train station	located in cities	1
paved runway	located in airports	1
cargo ship	located in ports	1
terminal building	located in airports	1
air traffic control center	located in airports	1
petroleum pipeline	located in countries	1
ship berth	located in ports	1
water transportation system	located in ports	1
railcar carrier ship	located in ports	1
air route	between cities	1
electronic device	located in offices	1
electronic device	located in homes	1
minivan	located in suburbs	1
radio navigation beacon	located in airports	1
fire boat	located in ports	1
traffic signal	located in cities	1
surfaced roadway	located in cities	1
transportation company	located in cities	1
general cargo ship	located in ports	1
railroad company	located in countryside	1
railroad company	located in cities	1
emergency road vehicle	located in hospitals	1
international airport	located near cities	1
water area	located in nature	1
transit shelter	common in cities	1
parking garage	located in cities	1
hopper dredger	located in ports	1
parking garage	located in buildings	1
refrigerated compartment	located in supermarkets	1
chemical tanker ship	located in ports	1
canal structure	located in ports	1
canal structure	located in cities	1
cab car	located in cities	1
portable bridge	made of wood	2
ore carrier ship	made of steel	2
petroleum pipeline	built with steel	2
watercraft	made of fiber	2
military watercraft	made of steel	2
glider airplane	made of lightweight materials	2
light fixture	made of plastic	2
fishing vessel	made of steel	2
lighter	made of metal	2
general cargo ship	made of steel	2
light fixture	attached to ceiling	2
ship deck	made of wood	2
bulkhead	made of steel	2
fixed bridge	made of concrete	2
paved runway	made of asphalt	2
transit route	made of rails	2
canal structure	made of concrete	2
portable bridge	made of metal	2
unpaved runway	made of dirt	2
railroad bridge	made of concrete	2
railroad bridge	made of steel	2
tank car	made of metal	2
fixed bridge	made of steel	2
navigation buoy	made of plastic	2
ship hull	made of metal	2
rolling stock	made of metal	2
freight car	made of metal	2
cargo container	made of metal	2
tugboat	made of steel	2
personal watercraft	made of fiberglass	2
vehicle wheel	made of rubber	2
land vehicle	made of steel	2
ship hull	made of steel	2
canal lock gate	made of metal	2
chemical tanker ship	made of steel	2
railway vehicle	made of metal	2
organic object	made of cells	2
sport utility vehicle	made of steel	2
cargo ship	made of steel	2
surfaced roadway	made of asphalt	2
outfit car	made of metal	2
fuel tank	made of plastic	2
railroad track	made of steel	2
light truck	made of steel	2
organic compound	made of atoms	2
organic compound	made of hydrogen and oxygen	2
ship hatch	made of metal	2
surfaced roadway	made of concrete	2
water area	made of water	2
dangerous goods	handled with gloves	2
canal lock	made of concrete	2
offshore supply ship	made of steel	2
pier	made of steel	2
pier	made of wood	2
cargo container	have wheels	3
land vehicle	have wheels	3
tank car	has wheels	3
dining car	has breakfast	3
freight car	have wheels	3
motor scooter	have wheels	3
motor scooter	have brakes	3
rolling stock	have wheels	3
road vehicle	have wheels	3
passenger car	has wheels	3
ship hatch	have handles	3
transportation device	have wheels	3
jet airplane	have wings	3
fishing vessel	have sails	3
train assembly	has wheels	3
truck tractor	have wheels	3
tractor trailer	have wheels	3
light truck	have four wheels	3
coach railcar	has wheels	3
railway vehicle	have wheels	3
watercraft	have sails	3
flatcar	has wheels	3
outfit car	have wheels	3
glider airplane	has wings	3
propeller airplane	has wings	3
vehicle wheel	have tires	3
emergency vehicle	has horns	3
truck trailer	have wheels	3
port crane	have wheels	3
flatcar	has no sides	3
broad gauge railway	tracks are wider	3
body motion	includes running	4
body motion	includes moving	4
body motion	includes sitting	4
body motion	includes standing	4
body motion	includes falling	4
body motion	includes climbing	4
body motion	includes dancing	4
body motion	includes jumping	4
body motion	includes walking	4
body motion	includes exercising	4
shipping lane	located in oceans	5
fishing vessel	located in oceans	5
offshore supply ship	located in oceans	5
pier	located in water	5
partial container ship	located in oceans	5
watercraft	located in bodies of water	5
deepwater port	located near ocean	5
fire boat	located in water	5
railroad bridge	located over water	5
navigation buoy	located in water	5
pier	extend into water	5
fish factory ship	located in oceans	5
ore carrier ship	located in oceans	5
fishing boat	located in bodies of water	5
port city	located by water	5
drilling ship	located in arctic	5
passenger ship	located in oceans	5
petroleum tanker ship	located in oceans	5
personal watercraft	located in oceans	5
sea lane	located in oceans	5
whaling ship	located in oceans	5
port facility	located near oceans	5
etiologic agent	found in water	5
vehicle carrier ship	located in oceans	5
atmospheric region	located above the earth	5
ship hull	located underwater	5
research ship	located in oceans	5
fixed bridge	located in oceans	5
drilling ship	located in oceans	5
freight car	located in railways	6
deepwater port	located in coastal areas	6
military watercraft	located in harbors	6
offshore anchorage	located in open sea	6
canal lock gate	located in canals	6
river port	located near rivers	6
canal system	connects rivers	6
fishing vessel	located in harbors	6
fixed bridge	located in rivers	6
ship berthing	located in harbors	6
canal lock	located in canals	6
canal structure	connected to rivers	6
pier	located in rivers	6
pier	located in lakes	6
navigation buoy	located in harbors	6
fishing trawler	located in seas	6
tugboat	located in harbors	6
radar facility	located in mountains	6
shipping channel	located in seas	6
personal watercraft	located in lakes	6
navigation buoy	located in channels	6
sea lane	used for trade	7
transportation company	used for goods	7
material handling equipment	used for distribution	7
waterway junction	used for commerce	7
land area	used for real estate	7
vehicle carrier ship	used for commerce	7
mass measure	used for commerce	7
ship register	used for taxation	7
canal structure	used for commerce	7
petroleum pipeline	used for economy	7
bulk cargo	used for economies	7
shipping channel	used for commerce	7
shipping channel	used for trade	7
petroleum tanker ship	used for trade	7
port city	used for trade	7
port city	used for commerce	7
rolling stock	used for goods	7
petroleum tanker ship	used for commerce	7
cubic foot	used in trade	7
fishing vessel	used for commerce	7
freight car	used for goods	7
commercial agent	has knowledge of market	7
commercial carrier	used for commerce	7
commercial carrier	used for trade	7
petroleum product pipeline	used for commerce	7
vehicle registration	used for taxation	7
canal system	used for trade	7
chemical tanker ship	used for trade	7
ship hold	used for goods	7
flatcar	used for goods	7
electric device	used for productivity	7
water transportation system	used for commerce	7
common carrier	publicly accessible	7
chemical tanker ship	used for commerce	7
material handling equipment	used for manufacturing	8
fish factory ship	used for export	8
diesel fuel	used in agriculture	8
long ton	used in industry	8
tractor trailer	used for industries	8
commercial carrier	used for business	8
cubic foot	used in industry	8
chemical tanker ship	used for industry	8
glider airplane	used for research	8
jet airplane	used for business	8
attaching	used for manufacturing	8
drilling ship	used for research	8
transportation device	used for business	8
road vehicle	used for business	8
material handling equipment	used in industries	8
crew list	used for management	8
commercial agent	has expertise in industry	8
land area	used for agriculture	8
offshore supply ship	used for supporting industries	8
freight car	used for businesses	8
freight car	used for industries	8
mass measure	used for engineering	8
private railcar	used for business	8
tank car	used for industry	8
petroleum product	used for electricity	8
petroleum product	used for manufacturing	8
diesel fuel	used in industry	8
diesel engine	used in agriculture	8
diesel engine	used in industry	8
offshore anchorage	requires permits	9
chemical tanker ship	have special permits	9
dangerous goods	stored in special facilities	9
cab car	has special licenses	9
cabotage	allowed with permits	9
electric device	used for entertainment	10
vehicle registration	used for identification	10
crew list	used for organization	10
signalling	way of communication	10
electric device	used for communication	10
glider airplane	used for education	10
signalling	used for languages	10
flight deck	used for communication	10
radar facility	used for surveillance	10
navigation light	used for visibility	10
electrical signalling	used in communication	10
air traffic control center	used for communicating	10
electronic signalling	used in communication	10
ship register	used for identification	10
electronic device	used for entertainment	10
electronic device	used for communication	10
cargo manifest	digital or printed	10
full size van	have sliding doors	11
air traffic control tower	have air traffic controllers	11
petroleum tanker ship	have cargo holds	11
canal lock gate	controlled by operators	11
rail transportation system	have signaling systems	11
air traffic control tower	have radar systems	11
freighter	have cargo holds	11
commercial airport	have runways	11
propeller airplane	has control panel	11
partial container ship	have cargo holds	11
vehicle carrier ship	have cargo holds	11
road vehicle	have license plates	11
container ship	have cargo holds	11
terminal building	have ticket counters	11
canal lock gate	have mechanical systems	11
flight deck	have control panels	11
train station	have ticket counters	11
transit terminal	have information centers	11
whaling ship	had first aid kits	11
major air carrier	has multiple aircraft	11
offshore supply ship	have cargo holds	11
air route	have flight plans	11
parking garage	have payment systems	11
chemical tanker ship	have cargo holds	11
international airport	have runways	11
truck trailer	have hitching systems	11
ore carrier ship	have cargo holds	11
atmospheric region	divided into layers	11
atmospheric region	contains particles	12
cargo manifest	includes weights	12
cargo manifest	describes contents	12
legal charge	amount varies	12
transportation authority	issues permits	12
ship berthing	requires clearance	12
atmospheric region	contains gases	12
cargo manifest	includes quantities	12
crew list	contains names	12
crew list	contains ranks	12
crew list	contains roles	12
crew list	contains positions	12
transit shelter	provide protection from weather	13
deck cargo	exposed to weather	13
deck cargo	not protected from elements	13
ship hold	protected from weather	13
sea lane	subject to weather conditions	13
ship hold	used for storage	14
ship compartment	used for storage	14
volume measure	used for liquids	14
ship hold	used for containers	14
ship hold	used for supplies	14
ship hold	used for equipment	14
fish factory ship	used for seafood	14
dangerous goods	used with masks	14
partial container ship	partially filled with containers	14
gallery car	used for exhibitions	14
volume measure	used for solids	14
set or class	collection of items	14
tank car	used for oil	14
ship berth	used for storage	14
petroleum product	used for plastics	14
flatcar	used for containers	14
petroleum product	used for heating	14
fishing trawler	used for seafood	14
refrigerated compartment	used for storage	14
tank car	used for gas	14
commercial shipping	used for containers	14
whaling ship	used for harvesting	14
cargo container	used for storage	14
material handling equipment	used for storage	14
refrigerated compartment	used for food storage	14
lighter	used for cigarettes	14
attaching	used for assembly	14
tank car	used for chemicals	14
contract carrier	have trucks	15
turbojet engine	have turbines	15
container terminal	have ships	15
railroad company	have trains	15
port city	have cargo	15
watercraft	have motors	15
transportation company	have vehicles	15
transit stop	have buses	15
port city	have ships	15
railway vehicle	have cars	15
transit stop	have trains	15
fire boat	have pumps	15
truck tractor	have cabs	15
container terminal	have trucks	15
standard gauge railway	have trains	15
railway junction	have trains	15
vehicle wheel	have hubs	15
cargo handling	using trucks	15
chemical tanker ship	have pumps	15
rail transportation system	have trains	15
offshore support ship	have helicopters	15
transit shelter	have benches	15
train station	have trains	15
mode of transit	have vehicles	15
fishing vessel	have motors	15
outfit car	have transmission	15
tractor trailer	have trailers	15
airport classification	based on location	16
airport classification	based on size	16
cabotage	within a country	16
airport classification	based on traffic	16
airport classification	based on facilities	16
airport classification	small airports	17
local transit system	public transportation	17
turboprop airplane	used for small airports	17
airport classification	domestic airports	17
airport classification	large airports	17
transitway	public transportation	17
airport classification	military airports	17
airport classification	international airports	17
airport classification	private airports	17
canal structure	used for irrigation	18
hopper dredger	used for construction	18
hopper dredger	used for mining	18
diesel fuel	used in construction	18
ship berth	used for maintenance	18
mass measure	used for construction	18
hopper dredger	used for excavation	18
mass measure	used for cooking	18
hopper dredger	used for maintenance	18
crane ship	used for construction	18
canal system	used for irrigation	18
tugboat	used for construction	18
petroleum pipeline	used for fuel	18
offshore support ship	used for maintenance	18
ship berth	used for repairs	18
hangar bay	used for maintenance	18
track gauge	used for construction	18
pusher tug	used for maintenance	18
long ton	used in construction	18
attaching	used for repair	18
portable bridge	used for construction	18
portable bridge	temporary structures	18
attaching	used for construction	18
cubic foot	used in construction	18
land area	used for buildings	18
hoisting device	used in construction	18
light truck	used for construction	18
fire boat	used for salvage	18
offshore anchorage	used for repairs	18
truck tractor	used for farming	18
truck tractor	used for construction	18
offshore anchorage	used for maintenance	18
light fixture	used for decoration	18
flatcar	used for construction	18
deck crane	used for construction	18
diesel engine	used in construction	18
truck trailer	used for construction	18
bulkhead	used in buildings	18
offshore supply ship	used for maintenance	18
offshore supply ship	used for construction	18
petroleum product	used for fuel	18
land area	used for construction	18
bulkhead	used in construction	18
arriving	end of a trip	19
arriving	end of a journey	19
arriving	reach a destination	20
arriving	reach a place	20
pier	used for recreation	21
rocket engine	used for space travel	21
multiple track railway	used for passenger	21
local transit system	used for low cost travel	21
full size van	used for transportation	21
international airport	used for travel	21
cab car	used for transportation	21
transportation device	used for travel	21
shipping lane	used for transportation	21
passenger car	used for transportation	21
jet airplane	used for tourism	21
motor scooter	used for recreation	21
standard gauge railway	used for commuting	21
truck trailer	used for transport	21
motor scooter	used for commuting	21
motor scooter	used for transport	21
transportation device	used for daily life	21
transportation device	used for recreation	21
transportation device	used for commuting	21
sport utility vehicle	used for outdoor activities	21
ship hatch	used for passengers	21
fuel tank	used for transportation	21
liner service	used for passengers	21
rolling stock	used for transportation	21
rolling stock	used for passengers	21
passenger railway car	used for transportation	21
transportation company	used for people	21
ship berth	used for passenger	21
land vehicle	used for transport	21
land vehicle	used for commuting	21
land vehicle	used for recreation	21
land vehicle	used for work	21
land vehicle	used for daily life	21
transportation company	used for commuting	21
tank car	used for transportation	21
surfaced roadway	used for travel	21
surfaced roadway	used for commuting	21
railway vehicle	used for transport	21
water transportation system	used for tourism	21
water transportation system	used for passengers	21
railroad bridge	used for transportation	21
water transportation system	used for recreation	21
cabotage	used for transportation	21
local transit system	used for daily routine	21
railway vehicle	used for commuting	21
canal structure	used for transportation	21
water transportation system	used for travel	21
liner service	used for international travel	21
electronic device	used for work	21
petroleum tanker ship	used for transportation	21
animal powered vehicle	used for transportation	21
arriving	used for travel	21
rail transportation system	used for passengers	21
