concept	facet	property	facet_property	cluster_label
german wine	acidity	medium	acidity: medium	0
red table wine	ingredients	sulfites	ingredients: sulfites	0
dry wine	level of acidity	high	level of acidity: high	0
pinot noir	characteristics	light acidity	characteristics: light acidity	0
dry wine	level of acidity	medium	level of acidity: medium	0
wine grape	flavor profile	acidity	flavor profile: acidity	0
semillon	characteristics	high acidity	characteristics: high acidity	0
wine descriptor	acidity level	low	acidity level: low	0
riesling	acidity level	low	acidity level: low	0
petite syrah	acidity level	low	acidity level: low	0
dry wine	acidity level	low	acidity level: low	0
wine flavor	acidity level	low	acidity level: low	0
chenin blanc	acidity level	high	acidity level: high	0
wine taste	acidity level	high	acidity level: high	0
muscadet	acidity level	high	acidity level: high	0
chianti	acidity level	high	acidity level: high	0
chardonnay	acidity	medium	acidity: medium	0
alsatian wine	acidity	medium	acidity: medium	0
pinot blanc	acidity	medium	acidity: medium	0
cabernet sauvignon	acidity	medium	acidity: medium	0
wine taste	acidity level	balanced	acidity level: balanced	0
petite syrah	acidity level	balanced	acidity level: balanced	0
cabernet sauvignon	chemical composition	has high acidity	chemical composition: has high acidity	0
riesling	acidity	high	acidity: high	0
wine flavor	acidity	high	acidity: high	0
dry white wine	acidity	high	acidity: high	0
cabernet sauvignon	acidity	high	acidity: high	0
white burgundy	acidity	high	acidity: high	0
chenin blanc	acidity	high	acidity: high	0
potable liquid	properties	purifying	properties: purifying	0
wine descriptor	acidity level	high	acidity level: high	0
riesling	acidity level	high	acidity level: high	0
dry riesling	acidity level	high	acidity level: high	0
dry wine	acidity level	high	acidity level: high	0
wine flavor	acidity level	high	acidity level: high	0
white bordeaux	acidity level	high	acidity level: high	0
white burgundy	acidity level	high	acidity level: high	0
sauvignon blanc	acidity level	high	acidity level: high	0
alsace wine	acidity	high acidity	acidity: high acidity	0
chenin blanc	acidity	refreshing	acidity: refreshing	0
chenin blanc	acidity level	low	acidity level: low	0
petite syrah	characteristics	low acidity	characteristics: low acidity	0
red wine	components	acidity	components: acidity	0
wine grape	components	acidity	components: acidity	0
alsace wine	acidity	balanced	acidity: balanced	0
wine taste	sensory characteristics	acidity	sensory characteristics: acidity	0
wine descriptor	characteristic	acidity	characteristic: acidity	0
dry white wine	ingredients	acid	ingredients: acid	0
wine descriptor	type of	acidity	type of: acidity	0
pinot noir	characteristics	high acidity	characteristics: high acidity	0
pinot blanc	characteristics	high acidity	characteristics: high acidity	0
chenin blanc	characteristics	high acidity	characteristics: high acidity	0
dry wine	characteristics	high acidity	characteristics: high acidity	0
cabernet franc	characteristics	high acidity	characteristics: high acidity	0
potable liquid	properties	ph level	properties: ph level	0
muscadet	characteristics	low acidity	characteristics: low acidity	0
gamay	characteristics	low acidity	characteristics: low acidity	0
white table wine	acidity level	high	acidity level: high	0
alsatian wine	acidity	low	acidity: low	0
chardonnay	acidity	low	acidity: low	0
merlot	acidity	low	acidity: low	0
pinot blanc	acidity	low	acidity: low	0
red wine	ingredients	acidity	ingredients: acidity	0
cabernet franc	characteristics	medium acidity	characteristics: medium acidity	0
wine descriptor	appearance descriptors	viscosity	appearance descriptors: viscosity	0
wine descriptor	wine characteristic	acidity	wine characteristic: acidity	0
sauvignon blanc	acidity level	medium	acidity level: medium	0
wine flavor	acidity level	medium	acidity level: medium	0
wine descriptor	acidity level	medium	acidity level: medium	0
dry riesling	acidity level	refreshing	acidity level: refreshing	0
dry riesling	acidity level	medium-high	acidity level: medium-high	0
wine taste	acidity	low	acidity: low	0
riesling	acidity	low	acidity: low	0
merlot	acidity	medium	acidity: medium	0
wine descriptor	sensory characteristic	acidity	sensory characteristic: acidity	0
chenin blanc	acidity level	medium	acidity level: medium	0
white table wine	acidity level	medium	acidity level: medium	0
petite syrah	acidity level	medium	acidity level: medium	0
chianti	acidity level	medium	acidity level: medium	0
riesling	acidity	balanced	acidity: balanced	0
riesling	acidity level	medium	acidity level: medium	0
dry wine	acidity level	medium	acidity level: medium	0
white table wine	acidity level	low	acidity level: low	0
wine taste	acidity level	low	acidity level: low	0
wine grape	components	acids	components: acids	0
wine taste	acidity	balanced	acidity: balanced	0
wine taste	acidity level	medium	acidity level: medium	0
wine flavor	acidity	low	acidity: low	0
alsatian wine	acidity	high	acidity: high	0
cabernet sauvignon	acidity	medium to high	acidity: medium to high	0
muscadet	acidity	high	acidity: high	0
german wine	acidity	high	acidity: high	0
wine taste	acidity	high	acidity: high	0
pinot blanc	acidity	high	acidity: high	0
alsace wine	acidity	high	acidity: high	0
dry wine	acidity	high	acidity: high	0
dry riesling	acidity level	medium high	acidity level: medium high	0
riesling	acidity	medium	acidity: medium	0
red wine	preservation	stored	preservation: stored	1
port	activities	storing	activities: storing	1
late harvest	process	storing	process: storing	1
port	operations	storage	operations: storage	1
port	activities	storage	activities: storage	1
port	function	unloading	function: unloading	2
port	activities	handling	activities: handling	2
port	activities	transshipping	activities: transshipping	2
port	activities	cargo handling	activities: cargo handling	2
port	operations	weather dependent	operations: weather dependent	2
port	activities	loading	activities: loading	2
port	activities	unloading	activities: unloading	2
port	type	docking	type: docking	2
port	operations	unloading	operations: unloading	2
port	function	loading	function: loading	2
port	operations	loading	operations: loading	2
wine taste	aftertaste	lingering	aftertaste: lingering	3
edible thing	appearance	odorless	appearance: odorless	3
wine taste	aftertaste	pleasant	aftertaste: pleasant	3
wine descriptor	sensory quality	unpleasant	sensory quality: unpleasant	3
wine descriptor	characteristic	aftertaste	characteristic: aftertaste	3
wine taste	aftertaste	unpleasant	aftertaste: unpleasant	3
wine color	effects	affects taste	effects: affects taste	3
chardonnay	age	aged	age: aged	4
chianti	age	aged	age: aged	4
wine flavor	age	aged	age: aged	4
dry wine	age	young	age: young	4
red wine	age	young	age: young	4
dry red wine	age	aged	age: aged	4
italian wine	age	aged	age: aged	4
red burgundy	age	aged	age: aged	4
late harvest	result	mature	result: mature	4
ice wine	age	develops complexity	age: develops complexity	4
white burgundy	age	develops complexity	age: develops complexity	4
dry wine	age	mature	age: mature	4
red wine	age	mature	age: mature	4
dry red wine	age	mature	age: mature	4
italian wine	age	mature	age: mature	4
red burgundy	age	mature	age: mature	4
muscadet	best served	young	best served: young	4
beaujolais	best served	young	best served: young	4
french wine	ageing	young	ageing: young	4
chianti	ageing	young	ageing: young	4
french wine	ageing	mature	ageing: mature	4
cabernet franc	characteristics	age-worthy	characteristics: age-worthy	4
beaujolais	ageing	drink young	ageing: drink young	4
margaux	characteristics	well-aged	characteristics: well-aged	4
petite syrah	ageability	can age for 5-7 years	ageability: can age for 5-7 years	4
pauillac	age	can be aged	age: can be aged	4
red burgundy	age	can be aged	age: can be aged	4
dry red wine	age	young	age: young	4
st emilion	age	developed	age: developed	4
wine flavor	age	old	age: old	4
red bordeaux	age	can be aged for years	age: can be aged for years	4
ice wine	age	aged for years	age: aged for years	4
full bodied wine	age	aged for years	age: aged for years	4
late harvest	stage	mature	stage: mature	4
white burgundy	age	ages well	age: ages well	4
margaux	ageing	long-aged	ageing: long-aged	4
italian wine	age	young	age: young	4
red burgundy	age	young	age: young	4
chardonnay	age	young	age: young	4
chianti	age	young	age: young	4
zinfandel	age	young	age: young	4
st emilion	age	young	age: young	4
wine flavor	age	young	age: young	4
chardonnay	age	mature	age: mature	4
zinfandel	age	aged	age: aged	4
dry wine	age	aged	age: aged	4
st emilion	age	aged	age: aged	4
sauterne	age	aged	age: aged	4
medoc	ageing potential	improves with age	ageing potential: improves with age	5
cabernet sauvignon	ageing	improves with age	ageing: improves with age	5
margaux	ageing	improves with age	ageing: improves with age	5
red burgundy	age	improves with age	age: improves with age	5
pauillac	age	improves with age	age: improves with age	5
full bodied wine	aging process	improves with time	aging process: improves with time	5
wine color	dependent on	aging time	dependent on: aging time	5
medoc	ageing process	improves with age	ageing process: improves with age	5
wine color	related to	aging	related to: aging	5
meursault	ageing	develops complexity over time	ageing: develops complexity over time	5
ice wine	age	complex flavor	age: complex flavor	6
full bodied wine	ageing	complex flavor profile	ageing: complex flavor profile	6
full bodied wine	aging process	complex flavor	aging process: complex flavor	6
full bodied wine	age	complex flavor profile	age: complex flavor profile	6
red wine	ingredients	aging	ingredients: aging	6
chenin blanc	production method	aged	production method: aged	7
dry white wine	production method	aged	production method: aged	7
zinfandel	ageing	can be aged for 10 to 20 years	ageing: can be aged for 10 to 20 years	7
margaux	ageing	aged for several years	ageing: aged for several years	7
california wine	production method	aged	production method: aged	7
chardonnay	production method	aged	production method: aged	7
meursault	production method	aged for several years	production method: aged for several years	7
texas wine	production method	aged	production method: aged	7
american wine	production method	aged	production method: aged	7
cabernet sauvignon	production	aged	production: aged	7
white wine	making process	aged	making process: aged	7
riesling	making process	aged	making process: aged	7
dry red wine	production method	aged	production method: aged	7
chenin blanc	processing	aged	processing: aged	7
cabernet franc	production method	aged	production method: aged	7
red burgundy	production method	aged	production method: aged	7
dry riesling	production method	aged	production method: aged	7
cabernet sauvignon	ageing	can be aged for years	ageing: can be aged for years	7
dry wine	production method	aged	production method: aged	7
cabernet sauvignon	production method	aged for several years	production method: aged for several years	7
pauillac	ageing potential	can be aged for 10-20 years	ageing potential: can be aged for 10-20 years	7
medoc	ageing potential	can be aged for many years	ageing potential: can be aged for many years	7
sweet riesling	production method	aged	production method: aged	7
sancerre	production method	aged	production method: aged	7
white burgundy	production method	aged	production method: aged	7
margaux	production method	aged	production method: aged	7
pinot blanc	production method	aged	production method: aged	7
meursault	ageing	can be aged for years	ageing: can be aged for years	7
sweet wine	production process	aged	production process: aged	7
dry wine	production process	aged	production process: aged	7
chenin blanc	ageing potential	can be aged for 5-10 years	ageing potential: can be aged for 5-10 years	7
chenin blanc	ageing potential	can age for 5-10 years	ageing potential: can age for 5-10 years	8
petite syrah	ageing potential	5-7 years	ageing potential: 5-7 years	8
full bodied wine	ageing potential	develops complexity over time	ageing potential: develops complexity over time	8
white table wine	type	still	type: still	8
chenin blanc	ageing potential	short	ageing potential: short	8
chenin blanc	ageing potential	long	ageing potential: long	8
pauillac	ageing	aged	ageing: aged	8
chianti	ageing	aged	ageing: aged	8
ice wine	ageing process	long	ageing process: long	8
alsace wine	type	still	type: still	8
chenin blanc	ageing potential	medium	ageing potential: medium	8
petite syrah	ageing potential	long-lived	ageing potential: long-lived	8
medoc	age	can be aged for decades	age: can be aged for decades	8
french wine	ageing	aged	ageing: aged	8
full bodied wine	ageing potential	can age for years	ageing potential: can age for years	8
white bordeaux	ageing potential	long	ageing potential: long	8
chianti	ageing	medium	ageing: medium	9
full bodied wine	aging process	longer aging	aging process: longer aging	9
full bodied wine	ageing	long ageing process	ageing: long ageing process	9
wine color	caused by	aging process	caused by: aging process	9
white table wine	process	aging	process: aging	9
medoc	ageing process	long ageing	ageing process: long ageing	9
bordeaux	ageing process	long ageing	ageing process: long ageing	9
rose wine	process	aging	process: aging	9
ice wine	ageing process	complex	ageing process: complex	9
red bordeaux	ageing process	develops complexity over time	ageing process: develops complexity over time	9
medoc	ageing process	required to age	ageing process: required to age	9
dessert wine	process	aging	process: aging	9
red table wine	process	aging	process: aging	9
cabernet franc	used for	aging	used for: aging	9
wine color	determinants	aging process	determinants: aging process	9
dry riesling	alcohol content	around 12%	alcohol content: around 12%	10
dry red wine	alcohol content	12%	alcohol content: 12%	10
medoc	type	alcoholic	type: alcoholic	10
dry red wine	ingredients	alcohol	ingredients: alcohol	10
table wine	alcoholic content	usually around 12%	alcoholic content: usually around 12%	10
full bodied wine	alcohol content	14% or higher	alcohol content: 14% or higher	10
dessert wine	alcohol content	fortified	alcohol content: fortified	10
ice wine	alcohol content	typically above 20%	alcohol content: typically above 20%	10
dry riesling	alcohol content	12% - 14%	alcohol content: 12% - 14%	10
dry red wine	alcohol content	medium	alcohol content: medium	10
sweet riesling	alcohol content	11-14%	alcohol content: 11-14%	10
sweet riesling	alcohol content	lower than 12%	alcohol content: lower than 12%	10
full bodied wine	strength	high alcohol content	strength: high alcohol content	10
zinfandel	alcohol content	13-15%	alcohol content: 13-15%	10
red burgundy	alcohol content	13-15%	alcohol content: 13-15%	10
wine color	category	alcoholic	category: alcoholic	10
zinfandel	alcohol content	12% to 16%	alcohol content: 12% to 16%	10
sweet riesling	alcohol content	10-12%	alcohol content: 10-12%	10
dry white wine	alcohol content	12% to 14%	alcohol content: 12% to 14%	10
table wine	alcohol content	12% to 15%	alcohol content: 12% to 15%	10
riesling	alcohol content	12% to 15%	alcohol content: 12% to 15%	10
dry riesling	alcohol content	12%	alcohol content: 12%	10
sweet riesling	alcohol content	sweet	alcohol content: sweet	10
dry riesling	alcohol content	14% abv	alcohol content: 14% abv	10
chardonnay	alcohol content	12% to 14%	alcohol content: 12% to 14%	10
rose wine	alcohol content	12% to 14%	alcohol content: 12% to 14%	10
pinot noir	alcohol content	12% to 14%	alcohol content: 12% to 14%	10
riesling	alcohol content	high	alcohol content: high	10
dry riesling	alcohol content	12% to 14%	alcohol content: 12% to 14%	10
riesling	alcohol content	varies	alcohol content: varies	10
petite syrah	alcohol content	13% to 14%	alcohol content: 13% to 14%	10
chenin blanc	ageing potential	can be drunk young	ageing potential: can be drunk young	10
dry wine	alcohol content	medium	alcohol content: medium	10
