concept	property	cluster_label
german wine	medium	0
red table wine	sulfites	0
dry wine	high	0
pinot noir	light acidity	0
dry wine	medium	0
wine grape	acidity	0
semillon	high acidity	0
wine descriptor	low	0
riesling	low	0
petite syrah	low	0
dry wine	low	0
wine flavor	low	0
chenin blanc	high	0
wine taste	high	0
muscadet	high	0
chianti	high	0
chardonnay	medium	0
alsatian wine	medium	0
pinot blanc	medium	0
cabernet sauvignon	medium	0
wine taste	balanced	0
petite syrah	balanced	0
cabernet sauvignon	has high acidity	0
riesling	high	0
wine flavor	high	0
dry white wine	high	0
cabernet sauvignon	high	0
white burgundy	high	0
chenin blanc	high	0
potable liquid	purifying	0
wine descriptor	high	0
riesling	high	0
dry riesling	high	0
dry wine	high	0
wine flavor	high	0
white bordeaux	high	0
white burgundy	high	0
sauvignon blanc	high	0
alsace wine	high acidity	0
chenin blanc	refreshing	0
chenin blanc	low	0
petite syrah	low acidity	0
red wine	acidity	0
wine grape	acidity	0
alsace wine	balanced	0
wine taste	acidity	0
wine descriptor	acidity	0
dry white wine	acid	0
wine descriptor	acidity	0
pinot noir	high acidity	0
pinot blanc	high acidity	0
chenin blanc	high acidity	0
dry wine	high acidity	0
cabernet franc	high acidity	0
potable liquid	ph level	0
muscadet	low acidity	0
gamay	low acidity	0
white table wine	high	0
alsatian wine	low	0
chardonnay	low	0
merlot	low	0
pinot blanc	low	0
red wine	acidity	0
cabernet franc	medium acidity	0
wine descriptor	viscosity	0
wine descriptor	acidity	0
sauvignon blanc	medium	0
wine flavor	medium	0
wine descriptor	medium	0
dry riesling	refreshing	0
dry riesling	medium-high	0
wine taste	low	0
riesling	low	0
merlot	medium	0
wine descriptor	acidity	0
chenin blanc	medium	0
white table wine	medium	0
petite syrah	medium	0
chianti	medium	0
riesling	balanced	0
riesling	medium	0
dry wine	medium	0
white table wine	low	0
wine taste	low	0
wine grape	acids	0
wine taste	balanced	0
wine taste	medium	0
wine flavor	low	0
alsatian wine	high	0
cabernet sauvignon	medium to high	0
muscadet	high	0
german wine	high	0
wine taste	high	0
pinot blanc	high	0
alsace wine	high	0
dry wine	high	0
dry riesling	medium high	0
riesling	medium	0
