concept	facet	property	facet_property
riesling	acidity	balanced	acidity: balanced
cabernet sauvignon	acidity	medium to high	acidity: medium to high
chenin blanc	acidity	high	acidity: high
white burgundy	acidity	high	acidity: high
cabernet sauvignon	acidity	medium	acidity: medium
cabernet sauvignon	acidity	high	acidity: high
pinot blanc	acidity	medium	acidity: medium
dry white wine	acidity	high	acidity: high
pinot blanc	acidity	low	acidity: low
wine flavor	acidity	high	acidity: high
riesling	acidity	high	acidity: high
merlot	acidity	low	acidity: low
alsatian wine	acidity	high	acidity: high
alsatian wine	acidity	medium	acidity: medium
chardonnay	acidity	low	acidity: low
wine flavor	acidity	low	acidity: low
chardonnay	acidity	medium	acidity: medium
muscadet	acidity	high	acidity: high
alsatian wine	acidity	low	acidity: low
alsace wine	acidity	balanced	acidity: balanced
german wine	acidity	medium	acidity: medium
german wine	acidity	high	acidity: high
alsace wine	acidity	high acidity	acidity: high acidity
wine taste	acidity	high	acidity: high
merlot	acidity	medium	acidity: medium
pinot blanc	acidity	high	acidity: high
chenin blanc	acidity	refreshing	acidity: refreshing
alsace wine	acidity	high	acidity: high
riesling	acidity	low	acidity: low
riesling	acidity	medium	acidity: medium
dry wine	acidity	high	acidity: high
wine taste	acidity	low	acidity: low
wine taste	acidity	balanced	acidity: balanced
wine flavor	acidity level	low	acidity level: low
white burgundy	acidity level	high	acidity level: high
wine descriptor	acidity level	medium	acidity level: medium
white bordeaux	acidity level	high	acidity level: high
wine flavor	acidity level	medium	acidity level: medium
wine flavor	acidity level	high	acidity level: high
dry wine	acidity level	low	acidity level: low
sauvignon blanc	acidity level	medium	acidity level: medium
dry wine	acidity level	high	acidity level: high
dry wine	acidity level	medium	acidity level: medium
petite syrah	acidity level	low	acidity level: low
dry riesling	acidity level	high	acidity level: high
dry riesling	acidity level	refreshing	acidity level: refreshing
riesling	acidity level	high	acidity level: high
riesling	acidity level	medium	acidity level: medium
riesling	acidity level	low	acidity level: low
wine taste	acidity level	medium	acidity level: medium
wine descriptor	acidity level	high	acidity level: high
petite syrah	acidity level	balanced	acidity level: balanced
wine descriptor	acidity level	low	acidity level: low
wine taste	acidity level	low	acidity level: low
sauvignon blanc	acidity level	high	acidity level: high
chianti	acidity level	high	acidity level: high
chianti	acidity level	medium	acidity level: medium
white table wine	acidity level	high	acidity level: high
muscadet	acidity level	high	acidity level: high
wine taste	acidity level	balanced	acidity level: balanced
petite syrah	acidity level	medium	acidity level: medium
wine taste	acidity level	high	acidity level: high
white table wine	acidity level	medium	acidity level: medium
white table wine	acidity level	low	acidity level: low
dry riesling	acidity level	medium high	acidity level: medium high
chenin blanc	acidity level	high	acidity level: high
dry riesling	acidity level	medium-high	acidity level: medium-high
chenin blanc	acidity level	medium	acidity level: medium
chenin blanc	acidity level	low	acidity level: low
loire	activities	boating	activities: boating
loire	activities	fishing	activities: fishing
loire	activities	picnicking	activities: picnicking
port	activities	storage	activities: storage
port	activities	transshipping	activities: transshipping
port	activities	shipping	activities: shipping
port	activities	handling	activities: handling
port	activities	storing	activities: storing
port	activities	unloading	activities: unloading
port	activities	loading	activities: loading
