entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q187702,Church of the Holy Sepulchre,http://www.wikidata.org/entity/Q187702,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q493133,Matthias Church,http://www.wikidata.org/entity/Q493133,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q638519,Wawel Cathedral,http://www.wikidata.org/entity/Q638519,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q256486,Naples Cathedral,http://www.wikidata.org/entity/Q256486,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q733577,San Thome Basilica,http://www.wikidata.org/entity/Q733577,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q910124,Black Church,http://www.wikidata.org/entity/Q910124,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q250212,Freiburg Minster,http://www.wikidata.org/entity/Q250212,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q1547466,St Giles' Cathedral,http://www.wikidata.org/entity/Q1547466,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q1441255,Porto Cathedral,http://www.wikidata.org/entity/Q1441255,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q938154,Saint Bavo Cathedral,http://www.wikidata.org/entity/Q938154,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q668341,Cathedral of Magdeburg,http://www.wikidata.org/entity/Q668341,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q936545,"St. Martin's Cathedral, Utrecht",http://www.wikidata.org/entity/Q936545,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q1306549,Genoa Cathedral,http://www.wikidata.org/entity/Q1306549,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q936285,Pannonhalma Archabbey,http://www.wikidata.org/entity/Q936285,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
Q701567,Erfurt Cathedral,http://www.wikidata.org/entity/Q701567,http://www.wikidata.org/prop/direct/P149,architectural style,http://www.wikidata.org/entity/Q176483,Gothic architecture,cathedrals,1
