entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q191739,Florence Cathedral,http://www.wikidata.org/entity/Q191739,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q1303856,Cattedrale di Monreale,http://www.wikidata.org/entity/Q1303856,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q493133,Matthias Church,http://www.wikidata.org/entity/Q493133,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q428129,Saigon Notre-Dame Basilica,http://www.wikidata.org/entity/Q428129,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q910124,Black Church,http://www.wikidata.org/entity/Q910124,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q250212,Freiburg Minster,http://www.wikidata.org/entity/Q250212,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q991832,Esztergom Basilica,http://www.wikidata.org/entity/Q991832,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q701567,Erfurt Cathedral,http://www.wikidata.org/entity/Q701567,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q971514,St Mary’s Cathedral,http://www.wikidata.org/entity/Q971514,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q667450,Cathedral of Our Lady Immaculate,http://www.wikidata.org/entity/Q667450,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
Q1348719,Notre-Dame Cathedral,http://www.wikidata.org/entity/Q1348719,http://www.wikidata.org/prop/direct/P825,dedicated to,http://www.wikidata.org/entity/Q345,Virgin Mary,cathedrals,1
