entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q191739,Florence Cathedral,http://www.wikidata.org/entity/Q191739,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q172988,St Mark's Basilica,http://www.wikidata.org/entity/Q172988,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1294648,Etchmiadzin Cathedral,http://www.wikidata.org/entity/Q1294648,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1303856,Cattedrale di Monreale,http://www.wikidata.org/entity/Q1303856,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1478407,Palermo Cathedral,http://www.wikidata.org/entity/Q1478407,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q613619,St. John's Co-Cathedral,http://www.wikidata.org/entity/Q613619,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1441255,Porto Cathedral,http://www.wikidata.org/entity/Q1441255,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q753721,Modena Cathedral,http://www.wikidata.org/entity/Q753721,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1354756,Cefalù Cathedral,http://www.wikidata.org/entity/Q1354756,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1499188,Catania Cathedral,http://www.wikidata.org/entity/Q1499188,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1086358,St. Rumbold's Cathedral,http://www.wikidata.org/entity/Q1086358,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q749677,Noto Cathedral,http://www.wikidata.org/entity/Q749677,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q3434349,Trogir Cathedral,http://www.wikidata.org/entity/Q3434349,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q671933,Ferrara Cathedral,http://www.wikidata.org/entity/Q671933,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q587824,Duomo of San Giorgio,http://www.wikidata.org/entity/Q587824,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q2754576,Cathedral of Urbino,http://www.wikidata.org/entity/Q2754576,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1972822,Enda Mariam Coptic Cathedral,http://www.wikidata.org/entity/Q1972822,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q5192604,Cuernavaca Cathedral,http://www.wikidata.org/entity/Q5192604,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q2942289,Saint-Bertrand-de-Comminges Cathedral,http://www.wikidata.org/entity/Q2942289,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q2310816,Oloron Cathedral,http://www.wikidata.org/entity/Q2310816,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q2942348,Bazas Cathedral,http://www.wikidata.org/entity/Q2942348,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1388065,Cathedral of San Giuliano,http://www.wikidata.org/entity/Q1388065,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q43113623,part of UNESCO World Heritage Site,cathedrals,1
Q1349239,Lavaur Cathedral,http://www.wikidata.org/entity/Q1349239,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q10387684,classified historical monument,cathedrals,0
Q2942713,Cathedral Basilica of Our Lady of the Assumption,http://www.wikidata.org/entity/Q2942713,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q26971668,Italian national heritage,cathedrals,0
Q2942862,Cathedral of the Assumption,http://www.wikidata.org/entity/Q2942862,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q19558910,National Register of Historic Places listed place,cathedrals,0
Q771584,Lapua Cathedral,http://www.wikidata.org/entity/Q771584,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q54824226,church-protected building,cathedrals,0
Q1138670,St Patrick's Cathedral,http://www.wikidata.org/entity/Q1138670,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q28147634,listed on the Victorian Heritage Register,cathedrals,0
Q2307632,Brechin Cathedral,http://www.wikidata.org/entity/Q2307632,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q10729054,category A listed building,cathedrals,0
Q5052203,Cathedral Building,http://www.wikidata.org/entity/Q5052203,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q19558910,National Register of Historic Places listed place,cathedrals,0
Q2942438,St. Peter's Cathedral,http://www.wikidata.org/entity/Q2942438,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q19558910,National Register of Historic Places listed place,cathedrals,0
Q5052407,Cathedral of St. Joseph,http://www.wikidata.org/entity/Q5052407,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q1129142,National Register of Historic Places contributing property,cathedrals,0
Q1106554,Igreja da Sé,http://www.wikidata.org/entity/Q1106554,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q38080272,Heritage of Portuguese Influence,cathedrals,0
Q2491785,Saint Dominic's Cathedral,http://www.wikidata.org/entity/Q2491785,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q15894873,Historical and Cultural Sites Protected at the Provincial Level in Fujian,cathedrals,0
Q2361738,"St Andrews Cathedral, Saint Andrews",http://www.wikidata.org/entity/Q2361738,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q219538,scheduled monument,cathedrals,0
Q941763,St. Patrick's Old Cathedral,http://www.wikidata.org/entity/Q941763,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q19825927,New York City Landmark,cathedrals,0
Q3045557,Lodi Cathedral,http://www.wikidata.org/entity/Q3045557,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q3323404,national monument of Italy,cathedrals,0
Q1736229,"Cathedral of the Holy Cross, Opole",http://www.wikidata.org/entity/Q1736229,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q29940414,immovable monument,cathedrals,0
Q2395780,St. Gertrude's Cathedral,http://www.wikidata.org/entity/Q2395780,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q916333,Rijksmonument,cathedrals,0
Q3663664,Cathedral of Aveiro,http://www.wikidata.org/entity/Q3663664,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q15697324,Immovable Cultural Heritage of Public Interest,cathedrals,0
Q2942578,co-cathedral of Bagnoregio,http://www.wikidata.org/entity/Q2942578,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q26971668,Italian national heritage,cathedrals,0
Q4451245,Cathedral of Our Lady of Perpetual Succour,http://www.wikidata.org/entity/Q4451245,http://www.wikidata.org/prop/direct/P1435,heritage designation,http://www.wikidata.org/entity/Q6906963,Cultural heritage monument of Kosovo,cathedrals,0
