entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q191739,Florence Cathedral,http://www.wikidata.org/entity/Q191739,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q172988,St Mark's Basilica,http://www.wikidata.org/entity/Q172988,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q2886950,Basilica of the National Shrine of Our Lady of Aparecida,http://www.wikidata.org/entity/Q2886950,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1303856,Cattedrale di Monreale,http://www.wikidata.org/entity/Q1303856,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q493133,Matthias Church,http://www.wikidata.org/entity/Q493133,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1478407,Palermo Cathedral,http://www.wikidata.org/entity/Q1478407,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q550514,Basilica of Saint Nicholas,http://www.wikidata.org/entity/Q550514,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q638519,Wawel Cathedral,http://www.wikidata.org/entity/Q638519,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q256486,Naples Cathedral,http://www.wikidata.org/entity/Q256486,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q428129,Saigon Notre-Dame Basilica,http://www.wikidata.org/entity/Q428129,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q733577,San Thome Basilica,http://www.wikidata.org/entity/Q733577,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1051217,Crystal Cathedral,http://www.wikidata.org/entity/Q1051217,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q613619,St. John's Co-Cathedral,http://www.wikidata.org/entity/Q613619,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q250212,Freiburg Minster,http://www.wikidata.org/entity/Q250212,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1441255,Porto Cathedral,http://www.wikidata.org/entity/Q1441255,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q753721,Modena Cathedral,http://www.wikidata.org/entity/Q753721,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q938154,Saint Bavo Cathedral,http://www.wikidata.org/entity/Q938154,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1923783,Saint Joseph Cathedral,http://www.wikidata.org/entity/Q1923783,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q958699,Turin Cathedral,http://www.wikidata.org/entity/Q958699,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1736222,Cathedral of Syracuse,http://www.wikidata.org/entity/Q1736222,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1354756,Cefalù Cathedral,http://www.wikidata.org/entity/Q1354756,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1050668,São Paulo Cathedral,http://www.wikidata.org/entity/Q1050668,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1268593,Tempio Malatestiano,http://www.wikidata.org/entity/Q1268593,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q686306,Amalfi Cathedral,http://www.wikidata.org/entity/Q686306,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q666935,Dresden Cathedral,http://www.wikidata.org/entity/Q666935,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q991832,Esztergom Basilica,http://www.wikidata.org/entity/Q991832,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1306549,Genoa Cathedral,http://www.wikidata.org/entity/Q1306549,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q936285,Pannonhalma Archabbey,http://www.wikidata.org/entity/Q936285,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1436463,"St. Philomena's Church, Mysore",http://www.wikidata.org/entity/Q1436463,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q701567,Erfurt Cathedral,http://www.wikidata.org/entity/Q701567,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q569428,Cathedral of St. Elizabeth,http://www.wikidata.org/entity/Q569428,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1282278,Lucca Cathedral,http://www.wikidata.org/entity/Q1282278,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1499188,Catania Cathedral,http://www.wikidata.org/entity/Q1499188,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1281237,Vilnius Cathedral,http://www.wikidata.org/entity/Q1281237,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q971514,St Mary’s Cathedral,http://www.wikidata.org/entity/Q971514,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q239560,"St. Martin's Cathedral, Bratislava",http://www.wikidata.org/entity/Q239560,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q667450,Cathedral of Our Lady Immaculate,http://www.wikidata.org/entity/Q667450,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1706069,Guadalajara Cathedral,http://www.wikidata.org/entity/Q1706069,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1348719,Notre-Dame Cathedral,http://www.wikidata.org/entity/Q1348719,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
Q1193480,St. Mary's Cathedral,http://www.wikidata.org/entity/Q1193480,http://www.wikidata.org/prop/direct/P140,religion or worldview,http://www.wikidata.org/entity/Q1841,Catholicism,cathedrals,1
