entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q349375,Fortnite,http://www.wikidata.org/entity/Q349375,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q223341,League of Legends,http://www.wikidata.org/entity/Q223341,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q131007,World of Warcraft,http://www.wikidata.org/entity/Q131007,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q382108,Team Fortress 2,http://www.wikidata.org/entity/Q382108,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q187732,RuneScape,http://www.wikidata.org/entity/Q187732,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q336177,EVE Online,http://www.wikidata.org/entity/Q336177,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q475628,Ragnarok Online,http://www.wikidata.org/entity/Q475628,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q484907,Guild Wars 2,http://www.wikidata.org/entity/Q484907,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q115508,The Idolmaster Cinderella Girls,http://www.wikidata.org/entity/Q115508,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q483207,TERA,http://www.wikidata.org/entity/Q483207,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q180434,Heroes of Newerth,http://www.wikidata.org/entity/Q180434,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q142972,Perfect World,http://www.wikidata.org/entity/Q142972,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q27107,DC Universe Online,http://www.wikidata.org/entity/Q27107,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q406414,Aion,http://www.wikidata.org/entity/Q406414,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q509269,Silkroad Online,http://www.wikidata.org/entity/Q509269,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q333367,PlanetSide 2,http://www.wikidata.org/entity/Q333367,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q144728,Bad Piggies,http://www.wikidata.org/entity/Q144728,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q495763,GunZ: The Duel,http://www.wikidata.org/entity/Q495763,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q392183,Age of Conan,http://www.wikidata.org/entity/Q392183,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q48721,Curiosity – What's Inside the Cube?,http://www.wikidata.org/entity/Q48721,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q515279,Tribes: Ascend,http://www.wikidata.org/entity/Q515279,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q495263,Cabal Online,http://www.wikidata.org/entity/Q495263,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q296101,APB: All Points Bulletin,http://www.wikidata.org/entity/Q296101,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q34920,Age of Empires Online,http://www.wikidata.org/entity/Q34920,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q19419,Rappelz,http://www.wikidata.org/entity/Q19419,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q495044,Knight Online,http://www.wikidata.org/entity/Q495044,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q486410,Anarchy Online,http://www.wikidata.org/entity/Q486410,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q494227,Little Fighter,http://www.wikidata.org/entity/Q494227,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q54851,Clone Wars Adventures,http://www.wikidata.org/entity/Q54851,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q497016,Battlefield Online,http://www.wikidata.org/entity/Q497016,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q241377,Archlord,http://www.wikidata.org/entity/Q241377,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
Q74245,GetAmped,http://www.wikidata.org/entity/Q74245,http://www.wikidata.org/prop/direct/P7936,business model,http://www.wikidata.org/entity/Q1414510,free-to-play,games,1
