entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q17452,Grand Theft Auto V,http://www.wikidata.org/entity/Q17452,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q94671,Grand Theft Auto: Vice City,http://www.wikidata.org/entity/Q94671,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q275950,Resident Evil 4,http://www.wikidata.org/entity/Q275950,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q94797,Grand Theft Auto IV,http://www.wikidata.org/entity/Q94797,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q323862,The Elder Scrolls V: Skyrim,http://www.wikidata.org/entity/Q323862,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q486233,Call of Duty: Modern Warfare 3,http://www.wikidata.org/entity/Q486233,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q214232,Final Fantasy VII,http://www.wikidata.org/entity/Q214232,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q486351,Call of Duty: Modern Warfare 2,http://www.wikidata.org/entity/Q486351,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q149106,Grand Theft Auto III,http://www.wikidata.org/entity/Q149106,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q200864,Assassin's Creed,http://www.wikidata.org/entity/Q200864,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q279744,Half-Life,http://www.wikidata.org/entity/Q279744,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q76255,Call of Duty 4: Modern Warfare,http://www.wikidata.org/entity/Q76255,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q57270,BioShock,http://www.wikidata.org/entity/Q57270,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q163628,Counter-Strike,http://www.wikidata.org/entity/Q163628,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q189784,Doom,http://www.wikidata.org/entity/Q189784,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q207986,Call of Duty: Black Ops,http://www.wikidata.org/entity/Q207986,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q40166,Assassin's Creed III,http://www.wikidata.org/entity/Q40166,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q482494,Steins;Gate,http://www.wikidata.org/entity/Q482494,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q162751,Metro 2033,http://www.wikidata.org/entity/Q162751,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q94501,Grand Theft Auto,http://www.wikidata.org/entity/Q94501,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q380918,Call of Duty: Black Ops II,http://www.wikidata.org/entity/Q380918,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q211096,Call of Duty,http://www.wikidata.org/entity/Q211096,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q211735,Assassin's Creed II,http://www.wikidata.org/entity/Q211735,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q193581,Half-Life 2,http://www.wikidata.org/entity/Q193581,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q332697,Terraria,http://www.wikidata.org/entity/Q332697,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q287637,The Witcher,http://www.wikidata.org/entity/Q287637,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q59154,Mafia II,http://www.wikidata.org/entity/Q59154,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q288811,Batman: Arkham City,http://www.wikidata.org/entity/Q288811,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q207797,Call of Duty: World at War,http://www.wikidata.org/entity/Q207797,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q49607,The Elder Scrolls IV: Oblivion,http://www.wikidata.org/entity/Q49607,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q221164,Fallout 3,http://www.wikidata.org/entity/Q221164,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q274897,Portal,http://www.wikidata.org/entity/Q274897,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q535940,Final Fantasy VI,http://www.wikidata.org/entity/Q535940,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q382108,Team Fortress 2,http://www.wikidata.org/entity/Q382108,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q60102,Fallout,http://www.wikidata.org/entity/Q60102,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q166226,Beyond: Two Souls,http://www.wikidata.org/entity/Q166226,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q327594,Final Fantasy XII,http://www.wikidata.org/entity/Q327594,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
Q213217,Mafia,http://www.wikidata.org/entity/Q213217,http://www.wikidata.org/prop/direct/P750,distributed by,http://www.wikidata.org/entity/Q337535,Steam,games,1
