entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q49740,Minecraft,http://www.wikidata.org/entity/Q49740,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q17452,Grand Theft Auto V,http://www.wikidata.org/entity/Q17452,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q83265,Grand Theft Auto: San Andreas,http://www.wikidata.org/entity/Q83265,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q71910,Tetris,http://www.wikidata.org/entity/Q71910,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q349375,Fortnite,http://www.wikidata.org/entity/Q349375,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q94671,Grand Theft Auto: Vice City,http://www.wikidata.org/entity/Q94671,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q11168,Super Mario Bros.,http://www.wikidata.org/entity/Q11168,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q275950,Resident Evil 4,http://www.wikidata.org/entity/Q275950,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q94797,Grand Theft Auto IV,http://www.wikidata.org/entity/Q94797,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q323862,The Elder Scrolls V: Skyrim,http://www.wikidata.org/entity/Q323862,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q486233,Call of Duty: Modern Warfare 3,http://www.wikidata.org/entity/Q486233,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q173626,Pac-Man,http://www.wikidata.org/entity/Q173626,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q214232,Final Fantasy VII,http://www.wikidata.org/entity/Q214232,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q486351,Call of Duty: Modern Warfare 2,http://www.wikidata.org/entity/Q486351,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q149106,Grand Theft Auto III,http://www.wikidata.org/entity/Q149106,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q200864,Assassin's Creed,http://www.wikidata.org/entity/Q200864,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q213911,The Legend of Zelda: Ocarina of Time,http://www.wikidata.org/entity/Q213911,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q279744,Half-Life,http://www.wikidata.org/entity/Q279744,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q76255,Call of Duty 4: Modern Warfare,http://www.wikidata.org/entity/Q76255,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q220365,Need for Speed: Most Wanted,http://www.wikidata.org/entity/Q220365,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q57270,BioShock,http://www.wikidata.org/entity/Q57270,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q189784,Doom,http://www.wikidata.org/entity/Q189784,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q207986,Call of Duty: Black Ops,http://www.wikidata.org/entity/Q207986,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q244030,Diablo III,http://www.wikidata.org/entity/Q244030,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q40166,Assassin's Creed III,http://www.wikidata.org/entity/Q40166,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q482494,Steins;Gate,http://www.wikidata.org/entity/Q482494,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q216995,Super Mario 64,http://www.wikidata.org/entity/Q216995,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q247935,Metal Gear Solid 3: Snake Eater,http://www.wikidata.org/entity/Q247935,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q162751,Metro 2033,http://www.wikidata.org/entity/Q162751,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q94501,Grand Theft Auto,http://www.wikidata.org/entity/Q94501,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q12395,The Legend of Zelda,http://www.wikidata.org/entity/Q12395,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q380918,Call of Duty: Black Ops II,http://www.wikidata.org/entity/Q380918,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q211096,Call of Duty,http://www.wikidata.org/entity/Q211096,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q223381,Final Fantasy X,http://www.wikidata.org/entity/Q223381,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q220960,Diablo,http://www.wikidata.org/entity/Q220960,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q211735,Assassin's Creed II,http://www.wikidata.org/entity/Q211735,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q193581,Half-Life 2,http://www.wikidata.org/entity/Q193581,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q332697,Terraria,http://www.wikidata.org/entity/Q332697,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q287637,The Witcher,http://www.wikidata.org/entity/Q287637,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
Q94640,Grand Theft Auto: Vice City Stories,http://www.wikidata.org/entity/Q94640,http://www.wikidata.org/prop/direct/P404,game mode,http://www.wikidata.org/entity/Q208850,single-player video game,games,1
