entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q106827,Second Life,http://www.wikidata.org/entity/Q106827,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q336177,EVE Online,http://www.wikidata.org/entity/Q336177,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q390223,Club Penguin,http://www.wikidata.org/entity/Q390223,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q219743,OGame,http://www.wikidata.org/entity/Q219743,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q327602,Ikariam,http://www.wikidata.org/entity/Q327602,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q486189,Elsword,http://www.wikidata.org/entity/Q486189,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q495763,GunZ: The Duel,http://www.wikidata.org/entity/Q495763,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q48721,Curiosity – What's Inside the Cube?,http://www.wikidata.org/entity/Q48721,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q487975,Grand Chase,http://www.wikidata.org/entity/Q487975,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q202934,Hattrick,http://www.wikidata.org/entity/Q202934,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q244503,eRepublik,http://www.wikidata.org/entity/Q244503,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q54851,Clone Wars Adventures,http://www.wikidata.org/entity/Q54851,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q484863,Ace Online,http://www.wikidata.org/entity/Q484863,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q74245,GetAmped,http://www.wikidata.org/entity/Q74245,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q862490,massively multiplayer online game,games,1
Q388247,Might and Magic III: Isles of Terra,http://www.wikidata.org/entity/Q388247,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q744038,role-playing video game,games,0
Q210552,Darwinia,http://www.wikidata.org/entity/Q210552,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q208189,real-time strategy,games,0
Q167359,Pirates of the Caribbean: Dead Man's Chest,http://www.wikidata.org/entity/Q167359,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q343568,action-adventure game,games,0
Q268616,Metin2,http://www.wikidata.org/entity/Q268616,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q175173,massively multiplayer online role-playing game,games,0
Q49607,The Elder Scrolls IV: Oblivion,http://www.wikidata.org/entity/Q49607,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q744038,role-playing video game,games,0
Q55313,Star Wars: X-Wing Alliance,http://www.wikidata.org/entity/Q55313,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q21154509,space combat simulation game,games,0
Q427050,Witchaven,http://www.wikidata.org/entity/Q427050,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q111184276,dark fantasy video game,games,0
