entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q49740,Minecraft,http://www.wikidata.org/entity/Q49740,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q17452,Grand Theft Auto V,http://www.wikidata.org/entity/Q17452,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q83265,Grand Theft Auto: San Andreas,http://www.wikidata.org/entity/Q83265,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q275950,Resident Evil 4,http://www.wikidata.org/entity/Q275950,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q94797,Grand Theft Auto IV,http://www.wikidata.org/entity/Q94797,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q323862,The Elder Scrolls V: Skyrim,http://www.wikidata.org/entity/Q323862,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q486233,Call of Duty: Modern Warfare 3,http://www.wikidata.org/entity/Q486233,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q173626,Pac-Man,http://www.wikidata.org/entity/Q173626,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q486351,Call of Duty: Modern Warfare 2,http://www.wikidata.org/entity/Q486351,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
Q200864,Assassin's Creed,http://www.wikidata.org/entity/Q200864,http://www.wikidata.org/prop/direct/P400,platform,http://www.wikidata.org/entity/Q48263,Xbox 360,games,1
