entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q288811,Batman: Arkham City,http://www.wikidata.org/entity/Q288811,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q323264,Dishonored,http://www.wikidata.org/entity/Q323264,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q275960,Mass Effect,http://www.wikidata.org/entity/Q275960,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q526350,Mirror's Edge,http://www.wikidata.org/entity/Q526350,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q288596,Silent Hill: Downpour,http://www.wikidata.org/entity/Q288596,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q483207,TERA,http://www.wikidata.org/entity/Q483207,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q26097,XCOM: Enemy Unknown,http://www.wikidata.org/entity/Q26097,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q349413,Homefront,http://www.wikidata.org/entity/Q349413,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q349433,Turok,http://www.wikidata.org/entity/Q349433,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q392311,Saw,http://www.wikidata.org/entity/Q392311,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q379438,Enslaved: Odyssey to the West,http://www.wikidata.org/entity/Q379438,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q27107,DC Universe Online,http://www.wikidata.org/entity/Q27107,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q266079,Alpha Protocol,http://www.wikidata.org/entity/Q266079,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q392689,Saw II: Flesh & Blood,http://www.wikidata.org/entity/Q392689,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q392698,Stranglehold,http://www.wikidata.org/entity/Q392698,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q257507,Too Human,http://www.wikidata.org/entity/Q257507,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q532743,I Am Alive,http://www.wikidata.org/entity/Q532743,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q483850,Alliance of Valiant Arms,http://www.wikidata.org/entity/Q483850,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
Q349087,Tron: Evolution,http://www.wikidata.org/entity/Q349087,http://www.wikidata.org/prop/direct/P408,software engine,http://www.wikidata.org/entity/Q13156651,Unreal Engine 3,games,1
