entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q220960,Diablo,http://www.wikidata.org/entity/Q220960,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q244033,Diablo II,http://www.wikidata.org/entity/Q244033,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q60102,Fallout,http://www.wikidata.org/entity/Q60102,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q34852,Age of Empires II: The Age of Kings,http://www.wikidata.org/entity/Q34852,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q2374,Civilization III,http://www.wikidata.org/entity/Q2374,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q392321,Age of Wonders,http://www.wikidata.org/entity/Q392321,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q424271,Freeciv,http://www.wikidata.org/entity/Q424271,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q254723,Cannon Fodder,http://www.wikidata.org/entity/Q254723,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q91247,Zaxxon,http://www.wikidata.org/entity/Q91247,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q510054,Emperor: Rise of the Middle Kingdom,http://www.wikidata.org/entity/Q510054,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q389215,Afterlife,http://www.wikidata.org/entity/Q389215,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q162028,FreeCol,http://www.wikidata.org/entity/Q162028,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q494842,Darkeden,http://www.wikidata.org/entity/Q494842,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q509832,CyberStorm 2: Corporate Wars,http://www.wikidata.org/entity/Q509832,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
Q455853,Amaurote,http://www.wikidata.org/entity/Q455853,http://www.wikidata.org/prop/direct/P2283,uses,http://www.wikidata.org/entity/Q4503635,isometric view,games,1
