entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q22686,Donald Trump,http://www.wikidata.org/entity/Q22686,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q131814,Tina Turner,http://www.wikidata.org/entity/Q131814,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q2685,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q2831,Michael Jackson,http://www.wikidata.org/entity/Q2831,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q37079,Tom Cruise,http://www.wikidata.org/entity/Q37079,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q303,Elvis Presley,http://www.wikidata.org/entity/Q303,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q43416,Keanu Reeves,http://www.wikidata.org/entity/Q43416,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q40026,Sylvester Stallone,http://www.wikidata.org/entity/Q40026,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q2680,Bruce Willis,http://www.wikidata.org/entity/Q2680,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q10738,Dwayne Johnson,http://www.wikidata.org/entity/Q10738,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
Q5105,Céline Dion,http://www.wikidata.org/entity/Q5105,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q17985761,Star on Hollywood Walk of Fame,humans,1
