entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q352,Adolf Hitler,http://www.wikidata.org/entity/Q352,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q1001,Mahatma Gandhi,http://www.wikidata.org/entity/Q1001,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q187447,Pablo Escobar,http://www.wikidata.org/entity/Q187447,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q9696,John F. Kennedy,http://www.wikidata.org/entity/Q9696,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q5582,Vincent van Gogh,http://www.wikidata.org/entity/Q5582,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q8027,Martin Luther King Jr.,http://www.wikidata.org/entity/Q8027,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q1203,John Lennon,http://www.wikidata.org/entity/Q1203,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q5809,Che Guevara,http://www.wikidata.org/entity/Q5809,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q1317,Osama bin Laden,http://www.wikidata.org/entity/Q1317,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q23559,Benito Mussolini,http://www.wikidata.org/entity/Q23559,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q8446,Kurt Cobain,http://www.wikidata.org/entity/Q8446,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q19878,Muammar Gaddafi,http://www.wikidata.org/entity/Q19878,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q43989,Grigori Rasputin,http://www.wikidata.org/entity/Q43989,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q25310,Robert F. Kennedy,http://www.wikidata.org/entity/Q25310,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q23434,Ernest Hemingway,http://www.wikidata.org/entity/Q23434,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q43303,Malcolm X,http://www.wikidata.org/entity/Q43303,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q41749,Joseph Goebbels,http://www.wikidata.org/entity/Q41749,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q1149,Indira Gandhi,http://www.wikidata.org/entity/Q1149,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q179157,The Notorious B.I.G.,http://www.wikidata.org/entity/Q179157,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q23543,Selena,http://www.wikidata.org/entity/Q23543,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q48745,Lee Harvey Oswald,http://www.wikidata.org/entity/Q48745,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q40787,Nicholas II of Russia,http://www.wikidata.org/entity/Q40787,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q7200,Alexander Pushkin,http://www.wikidata.org/entity/Q7200,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q178903,Alexander Hamilton,http://www.wikidata.org/entity/Q178903,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q211462,Brandon Lee,http://www.wikidata.org/entity/Q211462,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q44496,Andréi Chikatilo,http://www.wikidata.org/entity/Q44496,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q132345,Shinzō Abe,http://www.wikidata.org/entity/Q132345,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q80504,Nicolae Ceaușescu,http://www.wikidata.org/entity/Q80504,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q44200,Billy the Kid,http://www.wikidata.org/entity/Q44200,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q189758,Marvin Gaye,http://www.wikidata.org/entity/Q189758,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q2140674,gunshot wound,humans,1
Q3335,George Orwell,http://www.wikidata.org/entity/Q3335,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q12204,tuberculosis,humans,0
Q106481,Alan Rickman,http://www.wikidata.org/entity/Q106481,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q212961,pancreatic cancer,humans,0
Q318165,Luke Perry,http://www.wikidata.org/entity/Q318165,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q12202,stroke,humans,0
Q151935,Kirstie Alley,http://www.wikidata.org/entity/Q151935,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q188874,colorectal cancer,humans,0
Q8423,Cyrus the Great,http://www.wikidata.org/entity/Q8423,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q210392,killed in action,humans,0
Q36105,Charles Bronson,http://www.wikidata.org/entity/Q36105,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q11081,Alzheimer's disease,humans,0
Q40531,John Wayne,http://www.wikidata.org/entity/Q40531,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q189588,stomach cancer,humans,0
Q7327,Yuri Gagarin,http://www.wikidata.org/entity/Q7327,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q744913,aviation accident,humans,0
Q4573,Sean Connery,http://www.wikidata.org/entity/Q4573,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q815819,atrial fibrillation,humans,0
Q4616,Marilyn Monroe,http://www.wikidata.org/entity/Q4616,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q1184752,barbiturate overdose,humans,0
Q991,Fyodor Dostoyevsky,http://www.wikidata.org/entity/Q991,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q188605,pulmonary emphysema,humans,0
Q1316,Saddam Hussein,http://www.wikidata.org/entity/Q1316,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q175111,hanging,humans,0
Q8479,Peter the Great,http://www.wikidata.org/entity/Q8479,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q168805,gangrene,humans,0
Q368,Augusto Pinochet,http://www.wikidata.org/entity/Q368,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q12152,myocardial infarction,humans,0
Q30487,Mikhail Gorbachev,http://www.wikidata.org/entity/Q30487,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q476921,kidney failure,humans,0
Q49004,Patrick Swayze,http://www.wikidata.org/entity/Q49004,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q212961,pancreatic cancer,humans,0
Q5577,Salvador Dalí,http://www.wikidata.org/entity/Q5577,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q202837,cardiac arrest,humans,0
Q16574,Chiang Kai-shek,http://www.wikidata.org/entity/Q16574,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q623031,liver cancer,humans,0
Q36014,Ho Chi Minh,http://www.wikidata.org/entity/Q36014,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q181754,heart failure,humans,0
Q28085,Adolf Eichmann,http://www.wikidata.org/entity/Q28085,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q175111,hanging,humans,0
Q5152,Mustafa Kemal Atatürk,http://www.wikidata.org/entity/Q5152,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q147778,liver cirrhosis,humans,0
Q12154,Tutankhamun,http://www.wikidata.org/entity/Q12154,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q12156,malaria,humans,0
Q242939,Suzanne Somers,http://www.wikidata.org/entity/Q242939,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q128581,breast cancer,humans,0
Q47906,Hermann Göring,http://www.wikidata.org/entity/Q47906,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q883082,cyanide poisoning,humans,0
Q991,Fyodor Dostoyevsky,http://www.wikidata.org/entity/Q991,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q41571,epilepsy,humans,0
Q12897,Pelé,http://www.wikidata.org/entity/Q12897,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q1193870,multiple organ dysfunction syndrome,humans,0
Q83410,Cary Grant,http://www.wikidata.org/entity/Q83410,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q12202,stroke,humans,0
Q40904,Werner Heisenberg,http://www.wikidata.org/entity/Q40904,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q1164529,renal cell carcinoma,humans,0
Q989,John Paul II,http://www.wikidata.org/entity/Q989,http://www.wikidata.org/prop/direct/P509,cause of death,http://www.wikidata.org/entity/Q183134,sepsis,humans,0
