entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q36949,Robert De Niro,http://www.wikidata.org/entity/Q36949,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q13909,Angelina Jolie,http://www.wikidata.org/entity/Q13909,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q34436,Scarlett Johansson,http://www.wikidata.org/entity/Q34436,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q40523,Julia Roberts,http://www.wikidata.org/entity/Q40523,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q19848,Lady Gaga,http://www.wikidata.org/entity/Q19848,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q41163,Al Pacino,http://www.wikidata.org/entity/Q41163,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q178348,Chris Evans,http://www.wikidata.org/entity/Q178348,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q211280,Ray Liotta,http://www.wikidata.org/entity/Q211280,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q4636,Barbra Streisand,http://www.wikidata.org/entity/Q4636,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q170572,Alec Baldwin,http://www.wikidata.org/entity/Q170572,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q125017,Uma Thurman,http://www.wikidata.org/entity/Q125017,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q228692,Rosario Dawson,http://www.wikidata.org/entity/Q228692,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q308722,James Gandolfini,http://www.wikidata.org/entity/Q308722,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q192812,Hayden Christensen,http://www.wikidata.org/entity/Q192812,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q211462,Brandon Lee,http://www.wikidata.org/entity/Q211462,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q167520,Jon Voight,http://www.wikidata.org/entity/Q167520,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q76819,Christoph Waltz,http://www.wikidata.org/entity/Q76819,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q232902,Jennifer Jason Leigh,http://www.wikidata.org/entity/Q232902,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q267330,Miles Teller,http://www.wikidata.org/entity/Q267330,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q193458,Sienna Miller,http://www.wikidata.org/entity/Q193458,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q1542213,Lee Strasberg Theatre and Film Institute,humans,1
Q55400,Hayao Miyazaki,http://www.wikidata.org/entity/Q55400,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q11525620,"Toyotama High School, Tokyo",humans,0
Q2494,Benedict XVI,http://www.wikidata.org/entity/Q2494,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q533069,Ducal Georgianum,humans,0
Q189400,Brooke Shields,http://www.wikidata.org/entity/Q189400,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q5318097,Dwight-Englewood School,humans,0
Q1835,Zinedine Zidane,http://www.wikidata.org/entity/Q1835,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q2661290,University of Limoges,humans,0
Q9049,Noam Chomsky,http://www.wikidata.org/entity/Q9049,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,humans,0
Q151892,Ariana Grande,http://www.wikidata.org/entity/Q151892,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q7195122,Pine Crest School,humans,0
Q295803,Tom Hiddleston,http://www.wikidata.org/entity/Q295803,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q192088,Eton College,humans,0
Q14441,Liza Minnelli,http://www.wikidata.org/entity/Q14441,http://www.wikidata.org/prop/direct/P69,educated at,http://www.wikidata.org/entity/Q14707276,Scarsdale High School,humans,0
