entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q10520,David Beckham,http://www.wikidata.org/entity/Q10520,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q5383,David Bowie,http://www.wikidata.org/entity/Q5383,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q152316,"Prince Harry, Duke of Sussex",http://www.wikidata.org/entity/Q152316,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q9916,Dwight D. Eisenhower,http://www.wikidata.org/entity/Q9916,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q45229,Zac Efron,http://www.wikidata.org/entity/Q45229,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q144622,Phil Collins,http://www.wikidata.org/entity/Q144622,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q150268,David de Gea,http://www.wikidata.org/entity/Q150268,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q214601,David Tennant,http://www.wikidata.org/entity/Q214601,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q313023,David McCallum,http://www.wikidata.org/entity/Q313023,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q183337,David Attenborough,http://www.wikidata.org/entity/Q183337,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q160432,Jude Law,http://www.wikidata.org/entity/Q160432,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q44158,Dave Bautista,http://www.wikidata.org/entity/Q44158,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q188792,David Schwimmer,http://www.wikidata.org/entity/Q188792,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q12006,Dave Grohl,http://www.wikidata.org/entity/Q12006,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q182655,Rod Stewart,http://www.wikidata.org/entity/Q182655,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q184903,David Fincher,http://www.wikidata.org/entity/Q184903,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q2071,David Lynch,http://www.wikidata.org/entity/Q2071,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18057751,David,humans,1
Q178166,Vin Diesel,http://www.wikidata.org/entity/Q178166,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q13610143,Mark,humans,0
Q8446,Kurt Cobain,http://www.wikidata.org/entity/Q8446,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q1158489,Kurt,humans,0
Q1316,Saddam Hussein,http://www.wikidata.org/entity/Q1316,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q649085,Saddam,humans,0
