entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q517,Napoleon,http://www.wikidata.org/entity/Q517,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q60809,Ansel Adams,http://www.wikidata.org/entity/Q60809,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q9439,Victoria,http://www.wikidata.org/entity/Q9439,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q161159,Charlotte of Mecklenburg-Strelitz,http://www.wikidata.org/entity/Q161159,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q762,Leonardo da Vinci,http://www.wikidata.org/entity/Q762,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q1048,Julius Caesar,http://www.wikidata.org/entity/Q1048,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q1394,Vladimir Lenin,http://www.wikidata.org/entity/Q1394,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q5383,David Bowie,http://www.wikidata.org/entity/Q5383,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q859,Plato,http://www.wikidata.org/entity/Q859,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q307,Galileo Galilei,http://www.wikidata.org/entity/Q307,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q5592,Michelangelo,http://www.wikidata.org/entity/Q5592,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q131412,"Mary, Queen of Scots",http://www.wikidata.org/entity/Q131412,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q172653,Maggie Smith,http://www.wikidata.org/entity/Q172653,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q11998,Kylie Minogue,http://www.wikidata.org/entity/Q11998,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q5686,Charles Dickens,http://www.wikidata.org/entity/Q5686,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q7241,Rabindranath Tagore,http://www.wikidata.org/entity/Q7241,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q8413,Constantine the Great,http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q1511,Richard Wagner,http://www.wikidata.org/entity/Q1511,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q9068,Voltaire,http://www.wikidata.org/entity/Q9068,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q40909,Virginia Woolf,http://www.wikidata.org/entity/Q40909,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q213322,Victoria and Albert Museum,humans,1
Q5593,Pablo Picasso,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q1568434,Yale University Art Gallery,humans,0
Q8704,Walt Disney,http://www.wikidata.org/entity/Q8704,http://www.wikidata.org/prop/direct/P6379,has works in the collection,http://www.wikidata.org/entity/Q260913,Centraal Museum,humans,0
