entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q26876,Taylor Swift,http://www.wikidata.org/entity/Q26876,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q193982,Sinéad O'Connor,http://www.wikidata.org/entity/Q193982,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q2831,Michael Jackson,http://www.wikidata.org/entity/Q2831,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q303,Elvis Presley,http://www.wikidata.org/entity/Q303,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q60809,Ansel Adams,http://www.wikidata.org/entity/Q60809,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q15869,Freddie Mercury,http://www.wikidata.org/entity/Q15869,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q43203,Clint Eastwood,http://www.wikidata.org/entity/Q43203,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q4235,Miley Cyrus,http://www.wikidata.org/entity/Q4235,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q19848,Lady Gaga,http://www.wikidata.org/entity/Q19848,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q189489,Zendaya,http://www.wikidata.org/entity/Q189489,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q151892,Ariana Grande,http://www.wikidata.org/entity/Q151892,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q152505,Leonard Bernstein,http://www.wikidata.org/entity/Q152505,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q1203,John Lennon,http://www.wikidata.org/entity/Q1203,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q11975,Britney Spears,http://www.wikidata.org/entity/Q11975,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q5383,David Bowie,http://www.wikidata.org/entity/Q5383,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q254,Wolfgang Amadeus Mozart,http://www.wikidata.org/entity/Q254,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q2808,Elton John,http://www.wikidata.org/entity/Q2808,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q34086,Justin Bieber,http://www.wikidata.org/entity/Q34086,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q44437,John Cena,http://www.wikidata.org/entity/Q44437,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q10479,"Catherine, Princess of Wales",http://www.wikidata.org/entity/Q10479,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q2599,Paul McCartney,http://www.wikidata.org/entity/Q2599,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q255,Ludwig van Beethoven,http://www.wikidata.org/entity/Q255,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q7542,Prince,http://www.wikidata.org/entity/Q7542,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q43432,Justin Timberlake,http://www.wikidata.org/entity/Q43432,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q392,Bob Dylan,http://www.wikidata.org/entity/Q392,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q128121,Mick Jagger,http://www.wikidata.org/entity/Q128121,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q41076,Mariah Carey,http://www.wikidata.org/entity/Q41076,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q2643,George Harrison,http://www.wikidata.org/entity/Q2643,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q171905,Jamie Foxx,http://www.wikidata.org/entity/Q171905,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q23215,Adele,http://www.wikidata.org/entity/Q23215,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q168847,Brittany Murphy,http://www.wikidata.org/entity/Q168847,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q36767,Robert Pattinson,http://www.wikidata.org/entity/Q36767,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q144622,Phil Collins,http://www.wikidata.org/entity/Q144622,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q1225,Bruce Springsteen,http://www.wikidata.org/entity/Q1225,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q30449,Avril Lavigne,http://www.wikidata.org/entity/Q30449,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
Q1450,Bruno Mars,http://www.wikidata.org/entity/Q1450,http://www.wikidata.org/prop/direct/P1303,instrument,http://www.wikidata.org/entity/Q5994,piano,humans,1
