entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q11571,Cristiano Ronaldo,http://www.wikidata.org/entity/Q11571,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q615,Lionel Messi,http://www.wikidata.org/entity/Q615,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q46896,Zlatan Ibrahimović,http://www.wikidata.org/entity/Q46896,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q187447,Pablo Escobar,http://www.wikidata.org/entity/Q187447,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q83287,Selena Gomez,http://www.wikidata.org/entity/Q83287,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q23685,Jimmy Carter,http://www.wikidata.org/entity/Q23685,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q40715,Jennifer Lopez,http://www.wikidata.org/entity/Q40715,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q164038,Pep Guardiola,http://www.wikidata.org/entity/Q164038,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q25369,Kobe Bryant,http://www.wikidata.org/entity/Q25369,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q37150,Lana Del Rey,http://www.wikidata.org/entity/Q37150,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q7322,Christopher Columbus,http://www.wikidata.org/entity/Q7322,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q34424,Shakira,http://www.wikidata.org/entity/Q34424,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q5809,Che Guevara,http://www.wikidata.org/entity/Q5809,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q5593,Pablo Picasso,http://www.wikidata.org/entity/Q5593,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
Q185140,Joaquin Phoenix,http://www.wikidata.org/entity/Q185140,http://www.wikidata.org/prop/direct/P1412,"languages spoken, written or signed",http://www.wikidata.org/entity/Q1321,Spanish,humans,1
