entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q517,Napoleon,http://www.wikidata.org/entity/Q517,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q352,Adolf Hitler,http://www.wikidata.org/entity/Q352,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q7747,Vladimir Putin,http://www.wikidata.org/entity/Q7747,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q43274,Charles III of the United Kingdom,http://www.wikidata.org/entity/Q43274,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q22686,Donald Trump,http://www.wikidata.org/entity/Q22686,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q2685,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q6279,Joe Biden,http://www.wikidata.org/entity/Q6279,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q9458,Muhammad,http://www.wikidata.org/entity/Q9458,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q8409,Alexander the Great,http://www.wikidata.org/entity/Q8409,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q855,Joseph Stalin,http://www.wikidata.org/entity/Q855,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q127318,George III of Great Britain,http://www.wikidata.org/entity/Q127318,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q1001,Mahatma Gandhi,http://www.wikidata.org/entity/Q1001,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q187447,Pablo Escobar,http://www.wikidata.org/entity/Q187447,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q9696,John F. Kennedy,http://www.wikidata.org/entity/Q9696,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q66107,Henry Kissinger,http://www.wikidata.org/entity/Q66107,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q155979,Alexei Navalny,http://www.wikidata.org/entity/Q155979,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
Q23685,Jimmy Carter,http://www.wikidata.org/entity/Q23685,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q82955,politician,humans,1
