entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q15869,Freddie Mercury,http://www.wikidata.org/entity/Q15869,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q5105,Céline Dion,http://www.wikidata.org/entity/Q5105,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q4235,Miley Cyrus,http://www.wikidata.org/entity/Q4235,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q36107,Muhammad Ali,http://www.wikidata.org/entity/Q36107,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q83338,Robin Williams,http://www.wikidata.org/entity/Q83338,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q130311,George Michael,http://www.wikidata.org/entity/Q130311,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q36153,Beyoncé,http://www.wikidata.org/entity/Q36153,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q34424,Shakira,http://www.wikidata.org/entity/Q34424,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q152505,Leonard Bernstein,http://www.wikidata.org/entity/Q152505,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q12003,Cher,http://www.wikidata.org/entity/Q12003,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q5383,David Bowie,http://www.wikidata.org/entity/Q5383,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q44437,John Cena,http://www.wikidata.org/entity/Q44437,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
Q40096,Will Smith,http://www.wikidata.org/entity/Q40096,http://www.wikidata.org/prop/direct/P264,record label,http://www.wikidata.org/entity/Q183387,Columbia Records,humans,1
