entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q513,Mount Everest,http://www.wikidata.org/entity/Q513,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q43512,K2,http://www.wikidata.org/entity/Q43512,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q39231,Mount Fuji,http://www.wikidata.org/entity/Q39231,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q229107,Mount Kailash,http://www.wikidata.org/entity/Q229107,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q72303,Mount Ararat,http://www.wikidata.org/entity/Q72303,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q43105,Mount Elbrus,http://www.wikidata.org/entity/Q43105,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q82019,Kanchenjunga,http://www.wikidata.org/entity/Q82019,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q130736,Nanga Parbat,http://www.wikidata.org/entity/Q130736,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q1484,Mayon Volcano,http://www.wikidata.org/entity/Q1484,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q168714,Tambora,http://www.wikidata.org/entity/Q168714,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q205976,Mount of Olives,http://www.wikidata.org/entity/Q205976,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q215471,Mount Hermon,http://www.wikidata.org/entity/Q215471,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q1451,Pinatubo,http://www.wikidata.org/entity/Q1451,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q107635,Baekdu Mountain,http://www.wikidata.org/entity/Q107635,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q168702,Lhotse,http://www.wikidata.org/entity/Q168702,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
Q40758,Damavand,http://www.wikidata.org/entity/Q40758,http://www.wikidata.org/prop/direct/P30,continent,http://www.wikidata.org/entity/Q48,Asia,mountains,1
