entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q14081,Chimborazo,http://www.wikidata.org/entity/Q14081,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q181476,Cotopaxi volcano,http://www.wikidata.org/entity/Q181476,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q233836,Ojos del Salado,http://www.wikidata.org/entity/Q233836,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q214916,Llullaillaco,http://www.wikidata.org/entity/Q214916,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q235062,Galeras,http://www.wikidata.org/entity/Q235062,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q164121,Llaima,http://www.wikidata.org/entity/Q164121,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q14082,Antisana volcano,http://www.wikidata.org/entity/Q14082,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q323302,Abra del Acay,http://www.wikidata.org/entity/Q323302,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q202629,Lonquimay,http://www.wikidata.org/entity/Q202629,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q312770,Domuyo,http://www.wikidata.org/entity/Q312770,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q312866,Antofalla,http://www.wikidata.org/entity/Q312866,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q337644,Acamarachi,http://www.wikidata.org/entity/Q337644,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q117822,Acotango,http://www.wikidata.org/entity/Q117822,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q288259,Isla del Pescado,http://www.wikidata.org/entity/Q288259,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q313632,Cerro Bayo,http://www.wikidata.org/entity/Q313632,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q312936,Antofagasta de la Sierra,http://www.wikidata.org/entity/Q312936,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q312862,Aracar,http://www.wikidata.org/entity/Q312862,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q130145,Kunturiri,http://www.wikidata.org/entity/Q130145,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q312929,Viedma,http://www.wikidata.org/entity/Q312929,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q313635,Cordón del Azufre,http://www.wikidata.org/entity/Q313635,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q313628,Cerro Escorial,http://www.wikidata.org/entity/Q313628,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q312932,Caldera del Atuel,http://www.wikidata.org/entity/Q312932,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q139838,Kunturiri,http://www.wikidata.org/entity/Q139838,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q75624,Pukintika,http://www.wikidata.org/entity/Q75624,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q312432,Cerro Volcánico,http://www.wikidata.org/entity/Q312432,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q312884,Cochiquito Volcanic Group,http://www.wikidata.org/entity/Q312884,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
Q213370,Machu Such'i Qhuchi,http://www.wikidata.org/entity/Q213370,http://www.wikidata.org/prop/direct/P4552,mountain range,http://www.wikidata.org/entity/Q5456,Andes,mountains,1
