entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q517,Napoleon,http://www.wikidata.org/entity/Q517,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q7747,Vladimir Putin,http://www.wikidata.org/entity/Q7747,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q1058,Narendra Modi,http://www.wikidata.org/entity/Q1058,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q20875,Edward VII,http://www.wikidata.org/entity/Q20875,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q9916,Dwight D. Eisenhower,http://www.wikidata.org/entity/Q9916,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q7721,Napoleon III,http://www.wikidata.org/entity/Q7721,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q2042,Charles de Gaulle,http://www.wikidata.org/entity/Q2042,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q16574,Chiang Kai-shek,http://www.wikidata.org/entity/Q16574,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q34453,Boris Yeltsin,http://www.wikidata.org/entity/Q34453,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q567,Angela Merkel,http://www.wikidata.org/entity/Q567,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q5879,Johann Wolfgang von Goethe,http://www.wikidata.org/entity/Q5879,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q9161,Josip Broz,http://www.wikidata.org/entity/Q9161,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q7750,Louis XVIII of France,http://www.wikidata.org/entity/Q7750,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q329,Nicolas Sarkozy,http://www.wikidata.org/entity/Q329,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q3910,"Albert II, Prince of Monaco",http://www.wikidata.org/entity/Q3910,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q5721,Philippe Pétain,http://www.wikidata.org/entity/Q5721,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q7771,Louis-Philippe I,http://www.wikidata.org/entity/Q7771,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q2105,Jacques Chirac,http://www.wikidata.org/entity/Q2105,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q2038,François Mitterrand,http://www.wikidata.org/entity/Q2038,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q7317,Giuseppe Verdi,http://www.wikidata.org/entity/Q7317,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q2492,Konrad Adenauer,http://www.wikidata.org/entity/Q2492,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
Q1253,Ban Ki-moon,http://www.wikidata.org/entity/Q1253,http://www.wikidata.org/prop/direct/P166,award received,http://www.wikidata.org/entity/Q10855226,Grand Cross of the Legion of Honour,politicians,1
