entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q9696,John F. Kennedy,http://www.wikidata.org/entity/Q9696,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q11806,John Adams,http://www.wikidata.org/entity/Q11806,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q9353,John Locke,http://www.wikidata.org/entity/Q9353,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q36023,Calvin Coolidge,http://www.wikidata.org/entity/Q36023,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q10390,John McCain,http://www.wikidata.org/entity/Q10390,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q9559,John Major,http://www.wikidata.org/entity/Q9559,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q22316,John Kerry,http://www.wikidata.org/entity/Q22316,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q11816,John Quincy Adams,http://www.wikidata.org/entity/Q11816,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q9317,John Maynard Keynes,http://www.wikidata.org/entity/Q9317,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q11881,John Tyler,http://www.wikidata.org/entity/Q11881,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q11153,John Roberts,http://www.wikidata.org/entity/Q11153,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q19825,Cecil Rhodes,http://www.wikidata.org/entity/Q19825,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q11702,John Boehner,http://www.wikidata.org/entity/Q11702,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q23375,John Curtin,http://www.wikidata.org/entity/Q23375,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q23386,John McEwen,http://www.wikidata.org/entity/Q23386,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q19225,John Tsang,http://www.wikidata.org/entity/Q19225,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q23347,Chris Watson,http://www.wikidata.org/entity/Q23347,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q25690,"John Russell, 6th Duke of Bedford",http://www.wikidata.org/entity/Q25690,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q17889,John M. Clayton,http://www.wikidata.org/entity/Q17889,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q11595,John Adair,http://www.wikidata.org/entity/Q11595,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q4735,John Hamilton,http://www.wikidata.org/entity/Q4735,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q3288,John Gregg,http://www.wikidata.org/entity/Q3288,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q38200,John Thynne,http://www.wikidata.org/entity/Q38200,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q15469,William John Hamilton,http://www.wikidata.org/entity/Q15469,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q24236,John Crittenden,http://www.wikidata.org/entity/Q24236,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4925477,John,politicians,1
Q1331,Manuel Blanco Encalada,http://www.wikidata.org/entity/Q1331,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q11113719,Manuel,politicians,0
Q36450,Catherine II of Russia,http://www.wikidata.org/entity/Q36450,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q16277712,Katharina,politicians,0
Q567,Angela Merkel,http://www.wikidata.org/entity/Q567,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q4851436,Angela,politicians,0
Q1149,Indira Gandhi,http://www.wikidata.org/entity/Q1149,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q3798293,Indira,politicians,0
Q15981,Robert Schuman,http://www.wikidata.org/entity/Q15981,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q1499767,Jean-Baptiste,politicians,0
Q885,Józef Piłsudski,http://www.wikidata.org/entity/Q885,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q19688659,Józef,politicians,0
Q28978,Ignacy Łukasiewicz,http://www.wikidata.org/entity/Q28978,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q18220021,Ignacy,politicians,0
Q24039,Digby Jones,http://www.wikidata.org/entity/Q24039,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q2519633,Dick,politicians,0
Q16849,Matti Nykänen,http://www.wikidata.org/entity/Q16849,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q11858012,Ensio,politicians,0
Q22360,Lisa Murkowski,http://www.wikidata.org/entity/Q22360,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q558067,Ann,politicians,0
Q13014,Franz Jonas,http://www.wikidata.org/entity/Q13014,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q15730712,Josef,politicians,0
Q15056,Jean-Luc Dehaene,http://www.wikidata.org/entity/Q15056,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q1685008,Jean-Luc,politicians,0
Q3048,Charles Maurras,http://www.wikidata.org/entity/Q3048,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q101426414,Photius,politicians,0
Q32968,Toshiko Takeya,http://www.wikidata.org/entity/Q32968,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q1609557,Toshiko,politicians,0
Q37731,Usman ibn Affan,http://www.wikidata.org/entity/Q37731,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q841383,Uthman,politicians,0
Q23362,James Scullin,http://www.wikidata.org/entity/Q23362,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q1158477,Henry,politicians,0
Q9123,Ernest Rutherford,http://www.wikidata.org/entity/Q9123,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q595105,Ernest,politicians,0
Q36023,Calvin Coolidge,http://www.wikidata.org/entity/Q36023,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q5024307,Calvin,politicians,0
Q12706,Maxim Gorky,http://www.wikidata.org/entity/Q12706,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q29014670,Alexey,politicians,0
Q35686,Rutherford B. Hayes,http://www.wikidata.org/entity/Q35686,http://www.wikidata.org/prop/direct/P735,given name,http://www.wikidata.org/entity/Q20747494,Rutherford,politicians,0
