entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q1001,Mahatma Gandhi,http://www.wikidata.org/entity/Q1001,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q9696,John F. Kennedy,http://www.wikidata.org/entity/Q9696,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q1048,Julius Caesar,http://www.wikidata.org/entity/Q1048,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q91,Abraham Lincoln,http://www.wikidata.org/entity/Q91,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q8027,Martin Luther King Jr.,http://www.wikidata.org/entity/Q8027,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q23559,Benito Mussolini,http://www.wikidata.org/entity/Q23559,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q19878,Muammar Gaddafi,http://www.wikidata.org/entity/Q19878,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q25310,Robert F. Kennedy,http://www.wikidata.org/entity/Q25310,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q1149,Indira Gandhi,http://www.wikidata.org/entity/Q1149,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q33391,Leon Trotsky,http://www.wikidata.org/entity/Q33391,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q1409,Caligula,http://www.wikidata.org/entity/Q1409,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q1541,Cicero,http://www.wikidata.org/entity/Q1541,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q34060,Yizhak Rabin,http://www.wikidata.org/entity/Q34060,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q4593,Rajiv Gandhi,http://www.wikidata.org/entity/Q4593,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q1411,Claudius,http://www.wikidata.org/entity/Q1411,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q1762,Elagabalus,http://www.wikidata.org/entity/Q1762,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q35041,William McKinley,http://www.wikidata.org/entity/Q35041,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q7231,Rosa Luxemburg,http://www.wikidata.org/entity/Q7231,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q37731,Usman ibn Affan,http://www.wikidata.org/entity/Q37731,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q34597,James A. Garfield,http://www.wikidata.org/entity/Q34597,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
Q34413,Benazir Bhutto,http://www.wikidata.org/entity/Q34413,http://www.wikidata.org/prop/direct/P1196,manner of death,http://www.wikidata.org/entity/Q149086,homicide,politicians,1
