entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q22686,Donald Trump,http://www.wikidata.org/entity/Q22686,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q2685,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q11668,Nikki Haley,http://www.wikidata.org/entity/Q11668,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q91,Abraham Lincoln,http://www.wikidata.org/entity/Q91,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q9960,Ronald Reagan,http://www.wikidata.org/entity/Q9960,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q207,George W. Bush,http://www.wikidata.org/entity/Q207,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q9588,Richard Nixon,http://www.wikidata.org/entity/Q9588,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q23505,George H. W. Bush,http://www.wikidata.org/entity/Q23505,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q9916,Dwight D. Eisenhower,http://www.wikidata.org/entity/Q9916,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q33866,Theodore Roosevelt,http://www.wikidata.org/entity/Q33866,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q9582,Gerald Ford,http://www.wikidata.org/entity/Q9582,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
Q34836,Ulysses S. Grant,http://www.wikidata.org/entity/Q34836,http://www.wikidata.org/prop/direct/P102,member of political party,http://www.wikidata.org/entity/Q29468,Republican Party,politicians,1
