entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q1048,Julius Caesar,http://www.wikidata.org/entity/Q1048,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q9061,Karl Marx,http://www.wikidata.org/entity/Q9061,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q5816,Mao Zedong,http://www.wikidata.org/entity/Q5816,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q8474,Suleiman the Magnificent,http://www.wikidata.org/entity/Q8474,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q989,John Paul II,http://www.wikidata.org/entity/Q989,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q1413,Nero,http://www.wikidata.org/entity/Q1413,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q535,Victor Hugo,http://www.wikidata.org/entity/Q535,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q38823,Ruhollah Khomeini,http://www.wikidata.org/entity/Q38823,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q1067,Dante Alighieri,http://www.wikidata.org/entity/Q1067,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q1399,Niccolò Machiavelli,http://www.wikidata.org/entity/Q1399,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q5879,Johann Wolfgang von Goethe,http://www.wikidata.org/entity/Q5879,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q1541,Cicero,http://www.wikidata.org/entity/Q1541,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q2054,Seneca,http://www.wikidata.org/entity/Q2054,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q5679,Lord Byron,http://www.wikidata.org/entity/Q5679,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q1427,Hadrian,http://www.wikidata.org/entity/Q1427,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q34189,Pablo Neruda,http://www.wikidata.org/entity/Q34189,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q12706,Maxim Gorky,http://www.wikidata.org/entity/Q12706,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q9294,Ibn Khaldun,http://www.wikidata.org/entity/Q9294,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q5683,Geoffrey Chaucer,http://www.wikidata.org/entity/Q5683,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q36233,Václav Havel,http://www.wikidata.org/entity/Q36233,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q939,Pedro I of Brazil,http://www.wikidata.org/entity/Q939,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q1267,Dag Hammarskjöld,http://www.wikidata.org/entity/Q1267,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q2161,Tacitus,http://www.wikidata.org/entity/Q2161,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q9575,Harivansh Rai Bachchan,http://www.wikidata.org/entity/Q9575,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q1064,Alessandro Manzoni,http://www.wikidata.org/entity/Q1064,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q37217,Fyodor Tyutchev,http://www.wikidata.org/entity/Q37217,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q16285,Mario Benedetti,http://www.wikidata.org/entity/Q16285,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q36020,Su Shi,http://www.wikidata.org/entity/Q36020,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q27764,Louis Antoine de Saint-Just,http://www.wikidata.org/entity/Q27764,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q4128,Louis Aragon,http://www.wikidata.org/entity/Q4128,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q36878,Rasul Gamzatov,http://www.wikidata.org/entity/Q36878,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q36760,David IV of Georgia,http://www.wikidata.org/entity/Q36760,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q3048,Charles Maurras,http://www.wikidata.org/entity/Q3048,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q18404,Henri Barbusse,http://www.wikidata.org/entity/Q18404,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q11362,Avempace,http://www.wikidata.org/entity/Q11362,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q15809,Ivan Cankar,http://www.wikidata.org/entity/Q15809,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q34601,Chilon of Sparta,http://www.wikidata.org/entity/Q34601,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q28779,"Íñigo López de Mendoza, 1st Marquis of Santillana",http://www.wikidata.org/entity/Q28779,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q4381,Carlos Pellicer,http://www.wikidata.org/entity/Q4381,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q27357,Francisco de Paula Martínez de la Rosa y Berdejo,http://www.wikidata.org/entity/Q27357,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q30556,Abbad II al-Mu'tadid,http://www.wikidata.org/entity/Q30556,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q8825,Gaius Cornelius Gallus,http://www.wikidata.org/entity/Q8825,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q13982,Alberto Bayo,http://www.wikidata.org/entity/Q13982,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q15800,Fran Levstik,http://www.wikidata.org/entity/Q15800,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q15803,Simon Jenko,http://www.wikidata.org/entity/Q15803,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q651,Friedrich Theodor Vischer,http://www.wikidata.org/entity/Q651,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q4774,András Fáy,http://www.wikidata.org/entity/Q4774,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q29284,Gómez Manrique,http://www.wikidata.org/entity/Q29284,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q19532,Jānis Akuraters,http://www.wikidata.org/entity/Q19532,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q24348,Pyotr Yakubovich,http://www.wikidata.org/entity/Q24348,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q8817,Gaius Valgius Rufus,http://www.wikidata.org/entity/Q8817,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q31047,José Eduardo de Cárdenas,http://www.wikidata.org/entity/Q31047,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
Q13000,Karel Lodewijk Ledeganck,http://www.wikidata.org/entity/Q13000,http://www.wikidata.org/prop/direct/P106,occupation,http://www.wikidata.org/entity/Q49757,poet,politicians,1
