entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q1430,Marcus Aurelius,http://www.wikidata.org/entity/Q1430,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1413,Nero,http://www.wikidata.org/entity/Q1413,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1409,Caligula,http://www.wikidata.org/entity/Q1409,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q8413,Constantine the Great,http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1407,Tiberius,http://www.wikidata.org/entity/Q1407,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1427,Hadrian,http://www.wikidata.org/entity/Q1427,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1411,Claudius,http://www.wikidata.org/entity/Q1411,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1762,Elagabalus,http://www.wikidata.org/entity/Q1762,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1425,Trajan,http://www.wikidata.org/entity/Q1425,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1419,Vespasian,http://www.wikidata.org/entity/Q1419,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1442,Septimius Severus,http://www.wikidata.org/entity/Q1442,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1421,Titus,http://www.wikidata.org/entity/Q1421,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1446,Caracalla,http://www.wikidata.org/entity/Q1446,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1423,Domitian,http://www.wikidata.org/entity/Q1423,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1429,Antoninus Pius,http://www.wikidata.org/entity/Q1429,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q33941,Julian,http://www.wikidata.org/entity/Q33941,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
Q1414,Galba,http://www.wikidata.org/entity/Q1414,http://www.wikidata.org/prop/direct/P39,position held,http://www.wikidata.org/entity/Q842606,Roman emperor,politicians,1
