entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q517,Napoleon,http://www.wikidata.org/entity/Q517,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q352,Adolf Hitler,http://www.wikidata.org/entity/Q352,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q7747,Vladimir Putin,http://www.wikidata.org/entity/Q7747,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q22686,Donald Trump,http://www.wikidata.org/entity/Q22686,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q2685,Arnold Schwarzenegger,http://www.wikidata.org/entity/Q2685,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q6279,Joe Biden,http://www.wikidata.org/entity/Q6279,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9458,Muhammad,http://www.wikidata.org/entity/Q9458,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8409,Alexander the Great,http://www.wikidata.org/entity/Q8409,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q855,Joseph Stalin,http://www.wikidata.org/entity/Q855,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1001,Mahatma Gandhi,http://www.wikidata.org/entity/Q1001,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9696,John F. Kennedy,http://www.wikidata.org/entity/Q9696,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q23685,Jimmy Carter,http://www.wikidata.org/entity/Q23685,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q76,Barack Obama,http://www.wikidata.org/entity/Q76,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q15031,Xi Jinping,http://www.wikidata.org/entity/Q15031,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1048,Julius Caesar,http://www.wikidata.org/entity/Q1048,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8016,Winston Churchill,http://www.wikidata.org/entity/Q8016,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8023,Nelson Mandela,http://www.wikidata.org/entity/Q8023,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q91,Abraham Lincoln,http://www.wikidata.org/entity/Q91,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1316,Saddam Hussein,http://www.wikidata.org/entity/Q1316,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8027,Martin Luther King Jr.,http://www.wikidata.org/entity/Q8027,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1394,Vladimir Lenin,http://www.wikidata.org/entity/Q1394,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1058,Narendra Modi,http://www.wikidata.org/entity/Q1058,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9960,Ronald Reagan,http://www.wikidata.org/entity/Q9960,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q207,George W. Bush,http://www.wikidata.org/entity/Q207,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q23559,Benito Mussolini,http://www.wikidata.org/entity/Q23559,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9061,Karl Marx,http://www.wikidata.org/entity/Q9061,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q11860,Silvio Berlusconi,http://www.wikidata.org/entity/Q11860,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q5816,Mao Zedong,http://www.wikidata.org/entity/Q5816,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q12897,Pelé,http://www.wikidata.org/entity/Q12897,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q5152,Mustafa Kemal Atatürk,http://www.wikidata.org/entity/Q5152,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q20875,Edward VII,http://www.wikidata.org/entity/Q20875,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1124,Bill Clinton,http://www.wikidata.org/entity/Q1124,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q7742,Louis XIV of France,http://www.wikidata.org/entity/Q7742,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q23,George Washington,http://www.wikidata.org/entity/Q23,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q19878,Muammar Gaddafi,http://www.wikidata.org/entity/Q19878,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q34211,Yasser Arafat,http://www.wikidata.org/entity/Q34211,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q25310,Robert F. Kennedy,http://www.wikidata.org/entity/Q25310,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9588,Richard Nixon,http://www.wikidata.org/entity/Q9588,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8474,Suleiman the Magnificent,http://www.wikidata.org/entity/Q8474,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q23505,George H. W. Bush,http://www.wikidata.org/entity/Q23505,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q7732,Louis XVI of France,http://www.wikidata.org/entity/Q7732,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q34969,Benjamin Franklin,http://www.wikidata.org/entity/Q34969,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q30487,Mikhail Gorbachev,http://www.wikidata.org/entity/Q30487,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9916,Dwight D. Eisenhower,http://www.wikidata.org/entity/Q9916,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9513,A. P. J. Abdul Kalam,http://www.wikidata.org/entity/Q9513,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q33866,Theodore Roosevelt,http://www.wikidata.org/entity/Q33866,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1430,Marcus Aurelius,http://www.wikidata.org/entity/Q1430,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q11613,Harry S. Truman,http://www.wikidata.org/entity/Q11613,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q11256,Fidel Castro,http://www.wikidata.org/entity/Q11256,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q989,John Paul II,http://www.wikidata.org/entity/Q989,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q27214,Jerry Springer,http://www.wikidata.org/entity/Q27214,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q35314,Nikita Khrushchev,http://www.wikidata.org/entity/Q35314,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q29179,Francisco Franco,http://www.wikidata.org/entity/Q29179,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9488,Sachin Tendulkar,http://www.wikidata.org/entity/Q9488,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q28085,Adolf Eichmann,http://www.wikidata.org/entity/Q28085,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9640,Lyndon B. Johnson,http://www.wikidata.org/entity/Q9640,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1413,Nero,http://www.wikidata.org/entity/Q1413,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q7721,Napoleon III,http://www.wikidata.org/entity/Q7721,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q33391,Leon Trotsky,http://www.wikidata.org/entity/Q33391,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1047,Jawaharlal Nehru,http://www.wikidata.org/entity/Q1047,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q11812,Thomas Jefferson,http://www.wikidata.org/entity/Q11812,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q2042,Charles de Gaulle,http://www.wikidata.org/entity/Q2042,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q7327,Yuri Gagarin,http://www.wikidata.org/entity/Q7327,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8442,Otto von Bismarck,http://www.wikidata.org/entity/Q8442,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9582,Gerald Ford,http://www.wikidata.org/entity/Q9582,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q10261,Pythagoras,http://www.wikidata.org/entity/Q10261,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q36456,Hannibal,http://www.wikidata.org/entity/Q36456,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q16574,Chiang Kai-shek,http://www.wikidata.org/entity/Q16574,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q17293,Tenzin Gyatso,http://www.wikidata.org/entity/Q17293,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q535,Victor Hugo,http://www.wikidata.org/entity/Q535,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1409,Caligula,http://www.wikidata.org/entity/Q1409,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q32024,Sergei Shoigu,http://www.wikidata.org/entity/Q32024,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9545,Tony Blair,http://www.wikidata.org/entity/Q9545,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q7192,Qin Shi Huangdi,http://www.wikidata.org/entity/Q7192,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q2153,Subhas Chandra Bose,http://www.wikidata.org/entity/Q2153,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8605,Simón Bolívar,http://www.wikidata.org/entity/Q8605,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q38823,Ruhollah Khomeini,http://www.wikidata.org/entity/Q38823,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1067,Dante Alighieri,http://www.wikidata.org/entity/Q1067,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q34453,Boris Yeltsin,http://www.wikidata.org/entity/Q34453,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1399,Niccolò Machiavelli,http://www.wikidata.org/entity/Q1399,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q2866,Alexander Lukashenko,http://www.wikidata.org/entity/Q2866,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q23530,Dmitry Medvedev,http://www.wikidata.org/entity/Q23530,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8413,Constantine the Great,http://www.wikidata.org/entity/Q8413,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q36014,Ho Chi Minh,http://www.wikidata.org/entity/Q36014,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q7996,Ivan IV Vasilyevich,http://www.wikidata.org/entity/Q7996,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q5879,Johann Wolfgang von Goethe,http://www.wikidata.org/entity/Q5879,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q368,Augusto Pinochet,http://www.wikidata.org/entity/Q368,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q18111,Li Keqiang,http://www.wikidata.org/entity/Q18111,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q10665,Kim Jong-il,http://www.wikidata.org/entity/Q10665,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q10218,Rahul Gandhi,http://www.wikidata.org/entity/Q10218,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q39246,Richard Feynman,http://www.wikidata.org/entity/Q39246,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q1541,Cicero,http://www.wikidata.org/entity/Q1541,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q34060,Yizhak Rabin,http://www.wikidata.org/entity/Q34060,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q192,David Cameron,http://www.wikidata.org/entity/Q192,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q9161,Josip Broz,http://www.wikidata.org/entity/Q9161,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q8768,Henry Ford,http://www.wikidata.org/entity/Q8768,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
Q946,Donald Tusk,http://www.wikidata.org/entity/Q946,http://www.wikidata.org/prop/direct/P21,sex or gender,http://www.wikidata.org/entity/Q6581097,male,politicians,1
