entity,entity_human_readable,subject,predicate,predicate_human_readable,object,object_human_readable,category,label
Q850750,Aku no musume,http://www.wikidata.org/entity/Q850750,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1340881,Flying Get,http://www.wikidata.org/entity/Q1340881,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q239217,Someday,http://www.wikidata.org/entity/Q239217,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q909265,Planetarium,http://www.wikidata.org/entity/Q909265,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1189830,Ponytail to Shushu,http://www.wikidata.org/entity/Q1189830,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1375893,Gingham Check,http://www.wikidata.org/entity/Q1375893,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1320158,"Everyday, Katyusha",http://www.wikidata.org/entity/Q1320158,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1320167,Manatsu no Sounds Good!,http://www.wikidata.org/entity/Q1320167,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1372642,Ue kara Mariko,http://www.wikidata.org/entity/Q1372642,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1189402,Ōgoe Diamond,http://www.wikidata.org/entity/Q1189402,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q740836,Passion,http://www.wikidata.org/entity/Q740836,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1189863,Iiwake Maybe,http://www.wikidata.org/entity/Q1189863,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1370891,Give Me Five!,http://www.wikidata.org/entity/Q1370891,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1320150,Chance no Junban,http://www.wikidata.org/entity/Q1320150,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1320188,Beginner,http://www.wikidata.org/entity/Q1320188,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1155374,After Dark,http://www.wikidata.org/entity/Q1155374,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1190121,Uza,http://www.wikidata.org/entity/Q1190121,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q186991,Sakura no Ki ni Narō,http://www.wikidata.org/entity/Q186991,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1340851,Kaze wa Fuiteiru,http://www.wikidata.org/entity/Q1340851,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q597735,Namida Surprise!,http://www.wikidata.org/entity/Q597735,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q25936,Bingo!,http://www.wikidata.org/entity/Q25936,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1189845,Sakura no Shiori,http://www.wikidata.org/entity/Q1189845,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1042342,Gloria,http://www.wikidata.org/entity/Q1042342,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1189831,10nen Sakura,http://www.wikidata.org/entity/Q1189831,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q308054,Always,http://www.wikidata.org/entity/Q308054,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1088514,Orion,http://www.wikidata.org/entity/Q1088514,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1189858,Boku no Taiyō,http://www.wikidata.org/entity/Q1189858,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q374946,Reach for the Sky,http://www.wikidata.org/entity/Q374946,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1139620,"Romance, Irane",http://www.wikidata.org/entity/Q1139620,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1107279,Always,http://www.wikidata.org/entity/Q1107279,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1058543,Kimi wa Boku da,http://www.wikidata.org/entity/Q1058543,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q781599,Endless Story,http://www.wikidata.org/entity/Q781599,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q641217,Gravity,http://www.wikidata.org/entity/Q641217,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1049290,Rain,http://www.wikidata.org/entity/Q1049290,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q754382,Pride,http://www.wikidata.org/entity/Q754382,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q869406,Ah,http://www.wikidata.org/entity/Q869406,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1107217,Seven,http://www.wikidata.org/entity/Q1107217,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1138540,Panorama,http://www.wikidata.org/entity/Q1138540,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1089421,Beautiful,http://www.wikidata.org/entity/Q1089421,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q1654346,Moshimo Watashi ga Sora ni Sundeitara,http://www.wikidata.org/entity/Q1654346,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q131578,J-pop,songs,1
Q746270,Tears Are Not Enough,http://www.wikidata.org/entity/Q746270,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q484641,pop rock,songs,0
Q611381,Innuendo,http://www.wikidata.org/entity/Q611381,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q484344,progressive metal,songs,0
Q850999,Father Time,http://www.wikidata.org/entity/Q850999,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q38848,heavy metal,songs,0
Q1387955,Rock Brigade,http://www.wikidata.org/entity/Q1387955,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q38848,heavy metal,songs,0
Q939762,Turn Me On,http://www.wikidata.org/entity/Q939762,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q851213,electronic dance music,songs,0
Q153044,Alejandro,http://www.wikidata.org/entity/Q153044,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q188450,electropop,songs,0
Q1748935,Il avait les mots,http://www.wikidata.org/entity/Q1748935,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q850412,contemporary R&B,songs,0
Q598455,Don't Lose My Number,http://www.wikidata.org/entity/Q598455,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q484641,pop rock,songs,0
Q739330,First Time,http://www.wikidata.org/entity/Q739330,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q217191,soft rock,songs,0
Q300390,A Different Corner,http://www.wikidata.org/entity/Q300390,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q37073,pop music,songs,0
Q577442,Born to Die,http://www.wikidata.org/entity/Q577442,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q37073,pop music,songs,0
Q842130,Invincible,http://www.wikidata.org/entity/Q842130,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q959583,schlager music,songs,0
Q370983,Still D.R.E.,http://www.wikidata.org/entity/Q370983,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q753679,gangsta rap,songs,0
Q594560,I Stand Alone,http://www.wikidata.org/entity/Q594560,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q263734,nu metal,songs,0
Q908253,I Belong to You,http://www.wikidata.org/entity/Q908253,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q37073,pop music,songs,0
Q418833,Wannabe,http://www.wikidata.org/entity/Q418833,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q211756,dance-pop,songs,0
Q701966,Good Feeling,http://www.wikidata.org/entity/Q701966,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q217597,electro,songs,0
Q1399992,Ur So Gay,http://www.wikidata.org/entity/Q1399992,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q37073,pop music,songs,0
Q1423989,Rêver,http://www.wikidata.org/entity/Q1423989,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q383982,psychedelic pop,songs,0
Q1648248,Sunburn,http://www.wikidata.org/entity/Q1648248,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q11366,alternative rock,songs,0
Q263085,Crockett's Theme,http://www.wikidata.org/entity/Q263085,http://www.wikidata.org/prop/direct/P136,genre,http://www.wikidata.org/entity/Q9778,electronic music,songs,0
